en,fr,Alignment Score
indescribable,indescriptible,0.1384615384615382
conservative,conservateur,0.14444444444444438
vis,vis,0.0
disgust,degouter,0.40000000000000013
lapse,laps,0.033333333333333326
expectation,attente,0.5333333333333334
transcendental,transcendantal,0.06666666666666665
shine,briller,0.5733333333333334
divergent,divergent,0.0
multiplicity,multiplicite,0.07777777777777772
hybrid,hybride,0.022222222222222143
where,ou,0.9666666666666667
rejoice,rejouir,0.2571428571428571
suppression,suppression,0.0
xibiu,xibiu,0.0
random,aleatoire,0.6222222222222222
entertainment,divertissement,0.3384615384615385
imminence,imminence,0.0
quibble,ergoter,0.7047619047619048
outcome,resultat,0.6190476190476191
inconsistency,incoherence,0.3272727272727274
disposition,disposition,0.0
sporadic,sporadique,0.1333333333333333
go,aller,0.9666666666666667
idem,idem,0.0
legacy,heritage,0.6111111111111112
bocal,bocal,0.0
receptivity,receptivite,0.08484848484848473
internalization,internalisation,0.06222222222222218
jeez,ouais,0.85
house,maison,0.7066666666666668
jurisprudence,jurisprudence,0.0
admonition,admonition,0.0
rectify,rectifier,0.1523809523809524
to go out,sortir,0.6222222222222222
cynical,cynique,0.36190476190476195
sense,sens,0.033333333333333326
counterpart,homologue,0.5851851851851853
subjectivity,subjectivite,0.07777777777777772
recipient,destinataire,0.5185185185185186
retrograde,retrograde,0.0
conformity,conformite,0.09333333333333327
abstract,abstrait,0.1166666666666667
jurisdiction,juridiction,0.012121212121212088
father,pere,0.4833333333333334
partial,partiel,0.13333333333333341
for the,pour le,0.39047619047619053
contentment,contentement,0.012121212121212088
been,a ete,0.4833333333333334
come over,venir,0.4
essence,essence,0.0
i give,je donne,0.6000000000000001
will,volonte,0.7
ineffable,ineffable,0.0
alienated,aliene,0.05555555555555558
prominence,importance,0.42666666666666664
conventional,conventionnel,0.08333333333333337
kindness,gentillesse,0.45833333333333337
mocker,moqueur,0.3111111111111112
concise,concis,0.022222222222222143
gradually,progressivement,0.6888888888888889
be,etre,0.5333333333333334
resentment,ressentiment,0.026666666666666727
fornication,fornication,0.0
subsistence,subsistance,0.08484848484848484
idea,idee,0.2333333333333334
defendant,defendeur,0.28148148148148144
give way,laisser passer,0.5250000000000001
functionality,fonctionnalite,0.15384615384615385
synthesis,la synthese,0.2148148148148148
feasibility,faisabilite,0.24848484848484853
nuance,nuancer,0.022222222222222143
about,a propos,0.5733333333333334
per,par,0.3111111111111112
execrable,execrable,0.0
misfortune,malheur,0.6285714285714286
accreditation,accreditation,0.0
access,acceder,0.30000000000000016
excess,exces,0.026666666666666727
subordinate,subalterne,0.34666666666666657
papibaquigrapher,papibaquigraphe,0.008888888888888835
omen,presage,0.7
me,moi,0.5
yours sincerely,cordialement,0.5444444444444445
subservience,asservissement,0.3055555555555556
dawn,aube,0.6500000000000001
condescending,condescendant,0.1435897435897434
substantiate,justifier,0.4296296296296297
carelessness,negligence,0.4600000000000001
denigrate,denigrer,0.125
contingency,contingence,0.08484848484848473
promiscuity,la promiscuite,0.10909090909090902
constantly,en permanence,0.6200000000000001
incandescent,incandescent,0.0
perspective,perspective,0.0
goal,but,0.8666666666666667
yoke,joug,0.6666666666666667
eloquent,eloquent,0.0
relationship,relation,0.04166666666666663
art,art,0.0
intensity,intensite,0.10370370370370374
corroborate,corroborer,0.09999999999999998
safety,securite,0.4666666666666667
systematic,systematique,0.10666666666666658
authoritarian,autoritaire,0.18181818181818166
to share,partager,0.5333333333333334
overloaded,surcharge,0.5925925925925926
vogue,vogue,0.0
introvert,introverti,0.014814814814814725
derogatory,desobligeant,0.3733333333333334
pandemic,pandemie,0.1166666666666667
thirst,la soif,0.7222222222222222
core,coeur,0.25
stigmatize,stigmatiser,0.10666666666666669
divergence,divergence,0.0
bias,biais,0.033333333333333326
cunning,ruse,0.7166666666666668
meaning,signification,0.5523809523809524
airtight,hermetique,0.5583333333333333
