pt,en,Alignment Score
indescritivel,indescribable,0.2615384615384614
conservador,conservative,0.23636363636363633
vis,vis,0.0
nojo,disgust,0.8833333333333334
lapso,lapse,0.18666666666666676
expectativa,expectation,0.15757575757575748
transcendental,transcendental,0.0
resplandecer,shine,0.48
divergente,divergent,0.014814814814814725
multiplicidade,multiplicity,0.15555555555555545
hibrido,hybrid,0.1777777777777778
onde,where,0.6499999999999999
regozijar,rejoice,0.4095238095238096
supressao,suppression,0.13333333333333341
xibiu,xibiu,0.0
aleatorio,random,0.6111111111111112
entretenimento,entertainment,0.2205128205128205
iminencia,imminence,0.19999999999999996
tergiversar,quibble,0.6571428571428573
desfecho,outcome,0.6190476190476191
inconsistencia,inconsistency,0.07692307692307687
disposicao,disposition,0.18666666666666676
esporadico,sporadic,0.033333333333333326
vao,go,0.5
idem,idem,0.0
legado,legacy,0.288888888888889
bocal,bocal,0.0
receptividade,receptivity,0.16969696969696957
internalizacao,internalization,0.1333333333333332
eita,jeez,0.6499999999999999
casa,house,0.6833333333333333
jurisprudencia,jurisprudence,0.07692307692307687
admoestacao,admonition,0.3600000000000001
retificar,rectify,0.2761904761904761
sair,to go out,0.9166666666666667
cinico,cynical,0.3222222222222223
sentido,sense,0.3733333333333334
contrapartida,counterpart,0.18181818181818177
subjetividade,subjectivity,0.222222222222222
destinatario,recipient,0.5185185185185186
retrogrado,retrograde,0.09333333333333327
conformidade,conformity,0.18666666666666665
abstrato,abstract,0.1166666666666667
alcada,jurisdiction,0.7777777777777778
pai,father,0.6888888888888889
parcial,partial,0.13333333333333341
pelo,for the,0.7
contentamento,contentment,0.024242424242424176
sido,been,0.8333333333333334
vir,come over,0.4666666666666667
essencia,essence,0.1428571428571429
dou,i give,0.9111111111111111
irao,will,0.6500000000000001
inefavel,ineffable,0.2416666666666667
alienado,alienated,0.125
proeminencia,prominence,0.11333333333333317
convencional,conventional,0.07777777777777772
benignidade,kindness,0.4750000000000001
escarnecedor,mocker,0.5111111111111111
conciso,concise,0.13333333333333341
paulatinamente,gradually,0.6148148148148148
estar,be,0.5666666666666667
ressentimento,resentment,0.039999999999999925
fornicacao,fornication,0.18666666666666676
subsistencia,subsistence,0.09090909090909083
ideia,idea,0.033333333333333326
reu,defendant,0.7555555555555555
ceder,give way,0.7333333333333334
funcionalidade,functionality,0.20512820512820495
sintese,synthesis,0.2952380952380953
exequibilidade,feasibility,0.4121212121212121
nuance,nuance,0.0
sobre,about,0.6933333333333334
por,per,0.3111111111111112
execravel,execrable,0.19999999999999996
infortunio,misfortune,0.2733333333333333
credenciamento,accreditation,0.3435897435897436
acesso,access,0.15555555555555556
excesso,excess,0.022222222222222143
subordinado,subordinate,0.15757575757575748
papibaquigrafo,papibaquigrapher,0.1333333333333332
pressagio,omen,0.7166666666666667
mim,me,0.5
atenciosamente,yours sincerely,0.6047619047619048
subserviencia,subservience,0.08333333333333337
alva,dawn,0.6500000000000001
condescendente,condescending,0.14871794871794863
consubstanciar,substantiate,0.23888888888888893
displicencia,carelessness,0.6277777777777778
denegrir,denigrate,0.33333333333333337
contingencia,contingency,0.09090909090909083
promiscuidade,promiscuity,0.16969696969696957
constantemente,constantly,0.19999999999999984
incandescente,incandescent,0.011111111111111072
perspectiva,perspective,0.08484848484848473
objetivo,goal,0.7166666666666667
jugo,yoke,0.6500000000000001
eloquente,eloquent,0.016666666666666607
relacionamento,relationship,0.3666666666666666
arte,art,0.04444444444444451
intensidade,intensity,0.20740740740740737
corroborar,corroborate,0.09999999999999987
incolumidade,safety,0.6555555555555557
sistematico,systematic,0.10666666666666669
autoritario,authoritarian,0.10303030303030292
compartilhar,to share,0.4666666666666667
sobrecarregado,overloaded,0.4733333333333334
voga,vogue,0.25
introvertido,introvert,0.02962962962962956
depreciativo,derogatory,0.3666666666666667
pandemia,pandemic,0.1166666666666667
sede,thirst,0.6833333333333333
cerne,core,0.2666666666666666
estigmatizar,stigmatize,0.11333333333333317
divergencia,divergence,0.09999999999999987
vies,bias,0.4666666666666667
astucia,cunning,0.6095238095238096
acepcao,meaning,0.6190476190476191
hermetico,airtight,0.55
