fr,it,Alignment Score
indescriptible,indescrivibile,0.12857142857142856
conservateur,conservatore,0.14444444444444438
vis,vis,0.0
degouter,disgusto,0.45000000000000007
laps,periodo,0.7
attente,aspettativa,0.4285714285714286
transcendantal,trascendentale,0.13333333333333341
briller,splendore,0.5142857142857143
divergent,divergente,0.014814814814814725
multiplicite,molteplicita,0.2333333333333334
hybride,ibrido,0.3222222222222223
ou,dove,0.5666666666666667
rejouir,rallegrarsi,0.5333333333333333
suppression,soppressione,0.09696969696969693
xibiu,xibiu,0.0
aleatoire,casuale,0.49523809523809526
divertissement,divertimento,0.0888888888888888
imminence,imminenza,0.19259259259259254
ergoter,cavillare,0.6285714285714286
resultat,risultato,0.13333333333333341
incoherence,incoerenza,0.18666666666666676
disposition,disposizione,0.09696969696969693
sporadique,sporadico,0.19999999999999996
aller,andare,0.5333333333333333
idem,idem,0.0
heritage,eredita,0.2666666666666666
bocal,bocal,0.0
receptivite,ricettivita,0.25454545454545463
internalisation,interiorizzazione,0.30222222222222206
ouais,cavolo,0.6799999999999999
maison,casa,0.5166666666666666
jurisprudence,giurisprudenza,0.21025641025641018
admonition,ammonizione,0.19999999999999996
rectifier,rettificare,0.2222222222222222
sortir,uscire,0.4444444444444444
cynique,cinico,0.4555555555555556
sens,senso,0.033333333333333326
homologue,controparte,0.5925925925925926
subjectivite,soggettivita,0.3666666666666667
destinataire,destinatario,0.1499999999999999
retrograde,retrogrado,0.09333333333333327
conformite,conformita,0.09333333333333327
abstrait,astratto,0.22499999999999998
juridiction,giurisdizione,0.26666666666666683
pere,padre,0.25
partiel,parziale,0.2761904761904763
pour le,per il,0.3222222222222223
contentement,contentezza,0.23636363636363633
a ete,stato,0.5333333333333333
venir,venire,0.026666666666666727
essence,essenza,0.24761904761904763
je donne,io do,0.4
volonte,volere,0.30000000000000016
ineffable,ineffabile,0.014814814814814725
aliene,alienato,0.1777777777777777
importance,risalto,0.638095238095238
conventionnel,convenzionale,0.21025641025641018
gentillesse,gentilezza,0.2599999999999999
moqueur,beffardo,0.6285714285714286
concis,conciso,0.022222222222222143
progressivement,gradualmente,0.4388888888888889
etre,essere,0.2666666666666666
ressentiment,risentimento,0.1499999999999999
fornication,fornicazione,0.09696969696969693
subsistance,sussistenza,0.31515151515151507
idee,idea,0.2333333333333334
defendeur,imputato,0.7416666666666667
laisser passer,far passare,0.2666666666666667
fonctionnalite,funzionalita,0.25
la synthese,sintesi,0.3238095238095239
faisabilite,fattibilita,0.24242424242424243
nuancer,sfumatura,0.5333333333333333
a propos,di,1.0666666666666667
par,per,0.3111111111111112
execrable,esecrabile,0.11851851851851858
malheur,sfortuna,0.7238095238095238
accreditation,accreditamento,0.1435897435897434
acceder,accesso,0.36190476190476195
exces,eccesso,0.2266666666666668
subalterne,subordinare,0.3466666666666668
papibaquigraphe,papibaquigrafo,0.12857142857142834
presage,presagio,0.1428571428571429
moi,me,0.5
cordialement,cordiali saluti,0.29999999999999993
asservissement,sottomissione,0.5230769230769231
aube,alba,0.4666666666666667
condescendant,condiscendente,0.15384615384615385
justifier,sostanziare,0.5037037037037038
negligence,disattenzione,0.54
denigrer,denigrare,0.125
contingence,contingenza,0.15757575757575748
la promiscuite,promiscuita,0.10909090909090902
en permanence,costantemente,0.4717948717948719
incandescent,incandescente,0.011111111111111072
perspective,prospettiva,0.25454545454545463
but,obiettivo,0.48888888888888893
joug,giogo,0.4833333333333334
eloquent,eloquente,0.016666666666666607
relation,relazione,0.13333333333333341
art,arte,0.04444444444444451
intensite,intensita,0.10370370370370374
corroborer,corroborare,0.09999999999999998
securite,sicurezza,0.3416666666666668
systematique,sistematico,0.24848484848484842
autoritaire,autoritario,0.16363636363636347
partager,condividere,0.6500000000000001
surcharge,sovraccarico,0.4222222222222223
vogue,voga,0.25
introverti,introverso,0.17333333333333334
desobligeant,dispregiativo,0.5055555555555556
pandemie,pandemia,0.1166666666666667
la soif,sete,0.7
coeur,nucleo,0.5333333333333333
stigmatiser,stigmatizzare,0.17575757575757567
divergence,divergenza,0.17333333333333334
biais,pregiudizio,0.64
ruse,astuzia,0.7166666666666668
signification,senso,0.4933333333333334
hermetique,ermetico,0.24166666666666659
