en,gl,Alignment Score
indescribable,indescriptible,0.1384615384615382
conservative,conservador,0.23636363636363633
vis,vis,0.0
disgust,noxo,0.8833333333333334
lapse,lapso,0.18666666666666676
expectation,expectativa,0.15757575757575748
transcendental,transcendental,0.0
shine,brillo,0.7066666666666668
divergent,diverxente,0.11851851851851858
multiplicity,multiplicidade,0.15555555555555545
hybrid,hibrido,0.1777777777777778
where,onde,0.6499999999999999
rejoice,alegrarse,0.6190476190476191
suppression,supresion,0.029629629629629672
xibiu,xibiu,0.0
random,aleatoria,0.6000000000000001
entertainment,entretemento,0.23333333333333328
imminence,inminencia,0.2148148148148148
quibble,cabreo,0.6000000000000001
outcome,resultado,0.5333333333333334
inconsistency,incoherencia,0.36111111111111116
disposition,disposicion,0.08484848484848484
sporadic,esporadicos,0.04166666666666663
go,vai,0.9
idem,idem,0.0
legacy,legado,0.288888888888889
bocal,bocal,0.0
receptivity,receptividade,0.16969696969696957
internalization,interiorizacion,0.23111111111111104
jeez,caramba,0.8833333333333334
house,casa,0.6833333333333333
jurisprudence,xurisprudencia,0.14871794871794863
admonition,advertencia,0.52
rectify,rectificar,0.16190476190476188
to go out,sair,0.9166666666666667
cynical,cinico,0.3222222222222223
sense,sentido,0.3733333333333334
counterpart,contrapartida,0.18181818181818177
subjectivity,subxectividade,0.23333333333333317
recipient,recipiente,0.014814814814814725
retrograde,retrogrado,0.09333333333333327
conformity,conformidade,0.18666666666666665
abstract,abstracto,0.016666666666666607
jurisdiction,xurisdiccion,0.15555555555555556
father,pai,0.6888888888888889
partial,parcial,0.13333333333333341
for the,para o,0.6000000000000001
contentment,contento,0.1416666666666666
been,estivo,0.6833333333333333
come over,ven,0.4666666666666667
essence,esencia,0.2571428571428571
i give,eu dou,0.6888888888888889
will,vontade,0.8833333333333334
ineffable,inefable,0.016666666666666607
alienated,alienado,0.125
prominence,protagonismo,0.5133333333333334
conventional,convencional,0.07777777777777772
kindness,bondade,0.5142857142857143
mocker,burlador,0.5888888888888888
concise,conciso,0.13333333333333341
gradually,aos poucos,0.6666666666666667
be,ser,0.5333333333333334
resentment,resentimento,0.026666666666666616
fornication,fornicacion,0.08484848484848484
subsistence,subsistencia,0.09090909090909083
idea,idea,0.0
defendant,imputado,0.7333333333333334
give way,deixa o paso,0.5916666666666666
functionality,funcionalidade,0.20512820512820495
synthesis,sintese,0.2952380952380953
feasibility,viabilidade,0.4666666666666668
nuance,matiz,0.7066666666666668
about,sobre,0.6933333333333334
per,por,0.3111111111111112
execrable,execrable,0.0
misfortune,desgraza,0.6666666666666667
accreditation,acreditacion,0.08888888888888902
access,acceso,0.15555555555555556
excess,exceso,0.15555555555555556
subordinate,subordinado,0.15757575757575748
papibaquigrapher,papibaquigrafo,0.1333333333333332
omen,presaxio,0.7
me,eu,0.4666666666666667
yours sincerely,saudos,0.6777777777777778
subservience,submision,0.32592592592592606
dawn,amencer,0.5166666666666666
condescending,condescendente,0.14871794871794863
substantiate,fundamentar,0.49090909090909096
carelessness,descoido,0.6666666666666667
denigrate,denigrar,0.125
contingency,continxencia,0.17575757575757567
promiscuity,promiscuidade,0.16969696969696957
constantly,constantemente,0.19999999999999984
incandescent,incandescente,0.011111111111111072
perspective,perspectiva,0.08484848484848473
goal,obxectivo,0.7333333333333334
yoke,xugo,0.6500000000000001
eloquent,elocuente,0.13333333333333341
relationship,relacion,0.15833333333333321
art,art,0.0
intensity,intensidade,0.20740740740740737
corroborate,corroborar,0.09999999999999987
safety,seguridade,0.48888888888888893
systematic,sistematico,0.10666666666666669
authoritarian,autoritario,0.10303030303030292
to share,compartir,0.5583333333333333
overloaded,sobrecargado,0.4666666666666667
vogue,moda,0.6833333333333333
introvert,introvertida,0.02962962962962956
derogatory,despectivo,0.5066666666666668
pandemic,pandemia,0.1166666666666667
thirst,sede,0.6833333333333333
core,nucleo,0.4833333333333334
stigmatize,estigmatizar,0.11333333333333317
divergence,diverxencia,0.19333333333333336
bias,prexuizo,0.7333333333333334
cunning,astucia,0.6095238095238096
meaning,significado,0.6476190476190476
airtight,hermetico,0.55
