it,ro,Alignment Score
indescrivibile,de nedescris,0.37222222222222223
conservatore,conservator,0.012121212121212088
vis,vis,0.0
disgusto,dezgust,0.2666666666666666
periodo,interval,0.6190476190476191
aspettativa,asteptare,0.3999999999999999
trascendentale,transcendental,0.06666666666666665
splendore,stralucire,0.4814814814814815
divergente,divergente,0.0
molteplicita,multiplicitate,0.17222222222222217
ibrido,hibrid,0.15555555555555556
dove,unde,0.43333333333333335
rallegrarsi,bucura,0.6111111111111112
soppressione,suprimare,0.41481481481481497
xibiu,xibiu,0.0
casuale,aleatoriu,0.49523809523809537
divertimento,divertisment,0.07777777777777772
imminenza,iminenta,0.13333333333333341
cavillare,echivoc,0.638095238095238
risultato,rezultat,0.2333333333333334
incoerenza,inconsecventa,0.21333333333333337
disposizione,dispozitie,0.19333333333333325
sporadico,sporadic,0.016666666666666607
andare,merge,0.5333333333333333
idem,idem,0.0
eredita,mostenire,0.5047619047619049
bocal,bocal,0.0
ricettivita,receptivitate,0.18787878787878798
interiorizzazione,internalizare,0.28717948717948705
cavolo,naiba,0.6933333333333334
casa,casa,0.0
giurisprudenza,jurisprudenta,0.14871794871794863
ammonizione,avertizare,0.5133333333333334
rettificare,rectifica,0.12592592592592589
uscire,a iesi afara,0.5333333333333333
cinico,cinic,0.026666666666666727
senso,sens,0.033333333333333326
controparte,echivalent,0.5933333333333334
soggettivita,subiectivitate,0.3055555555555556
destinatario,destinatar,0.019999999999999907
retrogrado,retrograd,0.014814814814814725
conformita,conformitate,0.019999999999999907
astratto,abstract,0.22499999999999998
giurisdizione,jurisdictie,0.2606060606060606
padre,tata,0.6666666666666667
parziale,partial,0.1523809523809525
per il,pentru,0.43333333333333335
contentezza,multumire,0.6666666666666667
stato,fost,0.45000000000000007
venire,vin la tine,0.37777777777777777
essenza,esenta,0.1777777777777778
io do,eu dau,0.5466666666666666
volere,voi,0.37777777777777777
ineffabile,inefabil,0.033333333333333326
alienato,instrainat,0.35
risalto,proeminenta,0.5428571428571429
convenzionale,conventional,0.08888888888888902
gentilezza,bunatate,0.5583333333333333
beffardo,batjocoritor,0.475
conciso,concis,0.022222222222222143
gradualmente,treptat,0.5523809523809524
essere,fi,1.0
risentimento,resentiment,0.09696969696969693
fornicazione,curvie,0.5111111111111111
sussistenza,subzistenta,0.24242424242424243
idea,idee,0.2333333333333334
imputato,parat,0.41333333333333344
far passare,ceda,0.7666666666666666
funzionalita,functionalitate,0.09999999999999987
sintesi,sinteza,0.24761904761904763
fattibilita,fezabilitate,0.24242424242424243
sfumatura,nuanta,0.3555555555555556
di,despre,0.6000000000000001
per,pe,0.06666666666666676
esecrabile,execrabil,0.11851851851851858
sfortuna,ghinion,0.6190476190476191
accreditamento,acreditare,0.1333333333333333
accesso,acces,0.039999999999999925
eccesso,exces,0.2266666666666668
subordinare,subordonat,0.19333333333333336
papibaquigrafo,papibaquigrapher,0.1333333333333332
presagio,augur,0.5733333333333334
me,pe mine,0.2333333333333334
cordiali saluti,cu stima,0.3916666666666667
sottomissione,supunere,0.5666666666666667
alba,zorii,0.85
condiscendente,condescendent,0.08205128205128209
sostanziare,fundamenta,0.6066666666666667
disattenzione,nepasare,0.575
denigrare,denigra,0.028571428571428692
contingenza,contingenta,0.08484848484848473
promiscuita,promiscuitate,0.018181818181817966
costantemente,in mod constant,0.3948717948717948
incandescente,incandescent,0.011111111111111072
prospettiva,perspectiva,0.1696969696969698
obiettivo,poarta,0.6222222222222222
giogo,jug,0.6222222222222222
eloquente,elocvent,0.2333333333333334
relazione,relatie,0.16190476190476188
arte,arta,0.2333333333333334
intensita,intensitate,0.022222222222222143
corroborare,coroboreaza,0.23636363636363633
sicurezza,siguranta,0.3851851851851853
sistematico,sistematic,0.013333333333333308
autoritario,autoritar,0.022222222222222143
condividere,a impartasi,0.6848484848484848
sovraccarico,supraincarcat,0.37777777777777777
voga,voga,0.0
introverso,introvertit,0.17999999999999994
dispregiativo,peiorativ,0.24444444444444446
pandemia,pandemic,0.1166666666666667
sete,sete,0.0
nucleo,miez,0.7
stigmatizzare,stigmatiza,0.033333333333333215
divergenza,divergenta,0.09333333333333338
pregiudizio,partinire,0.5111111111111111
astuzia,viclean,0.6095238095238096
senso,sens,0.033333333333333326
ermetico,ermetic,0.01904761904761898
