es,fr,Alignment Score
indescriptible,indescriptible,0.0
conservador,conservateur,0.16363636363636358
vis,vis,0.0
asco,degouter,0.7166666666666667
lapso,laps,0.033333333333333326
expectativa,attente,0.638095238095238
trascendental,transcendantal,0.08205128205128209
brillar,briller,0.13333333333333341
divergente,divergent,0.014814814814814725
multiplicidad,multiplicite,0.1499999999999999
hibrido,hybride,0.2666666666666667
donde,ou,0.6000000000000001
alegrarse,rejouir,0.6190476190476191
supresion,suppression,0.029629629629629672
xibiu,xibiu,0.0
aleatorio,aleatoire,0.19999999999999996
entretenimiento,divertissement,0.38095238095238093
inminencia,imminence,0.2148148148148148
sutileza,ergoter,0.6285714285714286
resultado,resultat,0.125
inconsecuencia,incoherence,0.2727272727272727
disposicion,disposition,0.08484848484848484
esporadico,sporadique,0.2599999999999999
ir,aller,0.5666666666666667
idem,idem,0.0
legado,heritage,0.6111111111111112
bocal,bocal,0.0
receptividad,receptivite,0.16363636363636347
internalizacion,internalisation,0.12444444444444436
dios mio,ouais,0.56
casa,maison,0.5166666666666666
jurisprudencia,jurisprudence,0.07692307692307687
amonestacion,admonition,0.20000000000000007
rectificar,rectifier,0.11111111111111116
salir,sortir,0.36
cinico,cynique,0.4555555555555556
sentido,sens,0.28333333333333355
contrapartida,homologue,0.7703703703703704
subjetividad,subjectivite,0.21666666666666645
recipiente,destinataire,0.4600000000000001
retrogrado,retrograde,0.09333333333333327
conformidad,conformite,0.17999999999999994
abstracto,abstrait,0.13333333333333341
jurisdiccion,juridiction,0.09696969696969704
padre,pere,0.25
parcial,partiel,0.2666666666666667
para el,pour le,0.39047619047619053
contentamiento,contentement,0.10000000000000009
estado,a ete,0.5466666666666666
venir,venir,0.0
esencia,essence,0.2571428571428571
doy,je donne,0.4444444444444444
voluntad,volonte,0.2761904761904762
inefable,ineffable,0.016666666666666607
alienado,aliene,0.1777777777777777
prominencia,importance,0.5266666666666666
convencional,conventionnel,0.16111111111111098
amabilidad,gentillesse,0.6733333333333333
burlador,moqueur,0.6095238095238096
conciso,concis,0.022222222222222143
gradualmente,progressivement,0.4388888888888889
ser,etre,0.3555555555555556
resentimiento,ressentiment,0.08888888888888902
fornicacion,fornication,0.08484848484848484
subsistencia,subsistance,0.17575757575757567
idea,idee,0.2333333333333334
acusado,defendeur,0.7333333333333334
ceda el paso,laisser passer,0.4555555555555556
funcionalidad,fonctionnalite,0.28205128205128205
sintesis,la synthese,0.375
factibilidad,faisabilite,0.32121212121212117
matiz,nuancer,0.72
acerca de,a propos,0.6333333333333333
por,par,0.3111111111111112
execrable,execrable,0.0
desgracia,malheur,0.638095238095238
acreditacion,accreditation,0.08888888888888902
acceso,acceder,0.30000000000000016
exceso,exces,0.026666666666666727
subordinar,subalterne,0.42000000000000004
papibaquigrafo,papibaquigraphe,0.12857142857142834
presagio,presage,0.1428571428571429
a mi,moi,0.33333333333333337
tuyo sinceramente,cordialement,0.3944444444444445
subordinacion,asservissement,0.6000000000000001
amanecer,aube,0.5166666666666666
condescendiente,condescendant,0.08717948717948698
justificar,justifier,0.11111111111111116
descuido,negligence,0.6666666666666667
denigrar,denigrer,0.1166666666666667
contingencia,contingence,0.09090909090909083
promiscuidad,la promiscuite,0.22777777777777763
constantemente,en permanence,0.4717948717948719
incandescente,incandescent,0.011111111111111072
perspectiva,perspective,0.08484848484848473
meta,but,0.6222222222222222
yugo,joug,0.45000000000000007
elocuente,eloquent,0.13333333333333341
relacion,relation,0.1166666666666667
arte,art,0.04444444444444451
intensidad,intensite,0.19999999999999996
corroborar,corroborer,0.09333333333333338
seguridad,securite,0.3416666666666667
sistematico,systematique,0.24848484848484842
autoritario,autoritaire,0.16363636363636347
para compartir,partager,0.375
sobrecargado,surcharge,0.33333333333333337
moda,vogue,0.6833333333333333
introvertido,introverti,0.019999999999999907
despectivo,desobligeant,0.44666666666666677
pandemia,pandemie,0.1166666666666667
sed,la soif,0.6888888888888889
centro,coeur,0.3866666666666667
estigmatizar,stigmatiser,0.1696969696969698
divergencia,divergence,0.09999999999999987
inclinacion,biais,0.4666666666666667
astuto,ruse,0.7
significado,signification,0.10303030303030292
hermetico,hermetique,0.19999999999999996
