it,gl,Alignment Score
indescrivibile,indescriptible,0.12857142857142856
conservatore,conservador,0.09696969696969693
vis,vis,0.0
disgusto,noxo,0.7
periodo,lapso,0.5466666666666666
aspettativa,expectativa,0.24242424242424243
trascendentale,transcendental,0.06666666666666665
splendore,brillo,0.6111111111111112
divergente,diverxente,0.09333333333333338
molteplicita,multiplicidade,0.25
ibrido,hibrido,0.022222222222222143
dove,onde,0.43333333333333335
rallegrarsi,alegrarse,0.13333333333333341
soppressione,supresion,0.14074074074074072
xibiu,xibiu,0.0
casuale,aleatoria,0.49523809523809537
divertimento,entretemento,0.2944444444444445
imminenza,inminencia,0.2148148148148148
cavillare,cabreo,0.33333333333333337
risultato,resultado,0.20740740740740748
incoerenza,incoherencia,0.11333333333333329
disposizione,disposicion,0.09696969696969693
sporadico,esporadicos,0.02962962962962956
andare,vai,0.6666666666666667
idem,idem,0.0
eredita,legado,0.5888888888888889
bocal,bocal,0.0
ricettivita,receptividade,0.2727272727272727
interiorizzazione,interiorizacion,0.07999999999999985
cavolo,caramba,0.5666666666666667
casa,casa,0.0
giurisprudenza,xurisprudencia,0.19047619047619047
ammonizione,advertencia,0.6121212121212121
rettificare,rectificar,0.10666666666666669
uscire,sair,0.30000000000000016
cinico,cinico,0.0
senso,sentido,0.21333333333333337
controparte,contrapartida,0.18181818181818166
soggettivita,subxectividade,0.3833333333333333
destinatario,recipiente,0.5466666666666666
retrogrado,retrogrado,0.0
conformita,conformidade,0.11333333333333329
astratto,abstracto,0.13333333333333341
giurisdizione,xurisdiccion,0.23333333333333328
padre,pai,0.3555555555555556
parziale,parcial,0.1523809523809525
per il,para o,0.4555555555555556
contentezza,contento,0.1416666666666666
stato,estivo,0.3733333333333333
venire,ven,0.08888888888888902
essenza,esencia,0.25714285714285723
io do,eu dou,0.3733333333333334
volere,vontade,0.43333333333333335
ineffabile,inefable,0.033333333333333326
alienato,alienado,0.1166666666666667
risalto,protagonismo,0.4285714285714286
convenzionale,convencional,0.08888888888888902
gentilezza,bondade,0.6476190476190476
beffardo,burlador,0.43333333333333335
conciso,conciso,0.0
gradualmente,aos poucos,0.6866666666666666
essere,ser,0.11111111111111116
risentimento,resentimento,0.07777777777777772
fornicazione,fornicacion,0.09696969696969693
sussistenza,subsistencia,0.17575757575757578
idea,idea,0.0
imputato,imputado,0.1166666666666667
far passare,deixa o paso,0.47878787878787876
funzionalita,funcionalidade,0.17222222222222205
sintesi,sintese,0.13333333333333341
fattibilita,viabilidade,0.40000000000000013
sfumatura,matiz,0.41333333333333344
di,sobre,0.9666666666666667
per,por,0.3111111111111112
esecrabile,execrable,0.11851851851851858
sfortuna,desgraza,0.5416666666666667
accreditamento,acreditacion,0.23333333333333328
accesso,acceso,0.022222222222222143
eccesso,exceso,0.1777777777777778
subordinare,subordinado,0.15757575757575748
papibaquigrafo,papibaquigrafo,0.0
presagio,presaxio,0.1166666666666667
me,eu,0.4666666666666667
cordiali saluti,saudos,0.5444444444444445
sottomissione,submision,0.23703703703703694
alba,amencer,0.6833333333333333
condiscendente,condescendente,0.06666666666666665
sostanziare,fundamentar,0.5454545454545454
disattenzione,descoido,0.4833333333333334
denigrare,denigrar,0.016666666666666607
contingenza,continxencia,0.17575757575757578
promiscuita,promiscuidade,0.10303030303030292
costantemente,constantemente,0.01025641025641022
incandescente,incandescente,0.0
prospettiva,perspectiva,0.1696969696969698
obiettivo,obxectivo,0.20740740740740748
giogo,xugo,0.45000000000000007
eloquente,elocuente,0.10370370370370374
relazione,relacion,0.13333333333333341
arte,art,0.04444444444444451
intensita,intensidade,0.12592592592592589
corroborare,corroborar,0.013333333333333308
sicurezza,seguridade,0.4814814814814815
sistematico,sistematico,0.0
autoritario,autoritario,0.0
condividere,compartir,0.48888888888888893
sovraccarico,sobrecargado,0.3666666666666667
voga,moda,0.4666666666666667
introverso,introvertida,0.18666666666666665
dispregiativo,despectivo,0.21333333333333337
pandemia,pandemia,0.0
sete,sede,0.2333333333333334
nucleo,nucleo,0.0
stigmatizzare,estigmatizar,0.0888888888888888
divergenza,diverxencia,0.19333333333333336
pregiudizio,prexuizo,0.15833333333333355
astuzia,astucia,0.13333333333333341
senso,significado,0.45333333333333337
ermetico,hermetico,0.016666666666666607
