pt,it,Alignment Score
indescritivel,indescrivibile,0.20512820512820507
conservador,conservatore,0.09696969696969693
vis,vis,0.0
nojo,disgusto,0.7
lapso,periodo,0.5466666666666666
expectativa,aspettativa,0.24242424242424243
transcendental,trascendentale,0.06666666666666665
resplandecer,splendore,0.32592592592592584
divergente,divergente,0.0
multiplicidade,molteplicita,0.25
hibrido,ibrido,0.022222222222222143
onde,dove,0.43333333333333335
regozijar,rallegrarsi,0.4
supressao,soppressione,0.23703703703703694
xibiu,xibiu,0.0
aleatorio,casuale,0.49523809523809537
entretenimento,divertimento,0.23333333333333328
iminencia,imminenza,0.19999999999999996
tergiversar,cavillare,0.5851851851851853
desfecho,risultato,0.6416666666666666
inconsistencia,incoerenza,0.29333333333333333
disposicao,disposizione,0.19333333333333325
esporadico,sporadico,0.014814814814814725
vao,andare,0.6666666666666667
idem,idem,0.0
legado,eredita,0.5888888888888889
bocal,bocal,0.0
receptividade,ricettivita,0.2727272727272727
internalizacao,interiorizzazione,0.32380952380952366
eita,cavolo,0.6833333333333333
casa,casa,0.0
jurisprudencia,giurisprudenza,0.19047619047619047
admoestacao,ammonizione,0.5333333333333334
retificar,rettificare,0.02962962962962956
sair,uscire,0.30000000000000016
cinico,cinico,0.0
sentido,senso,0.21333333333333337
contrapartida,controparte,0.18181818181818166
subjetividade,soggettivita,0.37222222222222223
destinatario,destinatario,0.0
retrogrado,retrogrado,0.0
conformidade,conformita,0.11333333333333329
abstrato,astratto,0.1166666666666667
alcada,giurisdizione,0.788888888888889
pai,padre,0.3555555555555556
parcial,parziale,0.1523809523809525
pelo,per il,0.2666666666666667
contentamento,contentezza,0.24242424242424232
sido,stato,0.45000000000000007
vir,venire,0.11111111111111116
essencia,essenza,0.1428571428571429
dou,io do,0.3555555555555555
irao,volere,0.6833333333333333
inefavel,ineffabile,0.25
alienado,alienato,0.1166666666666667
proeminencia,risalto,0.5428571428571429
convencional,convenzionale,0.08888888888888902
benignidade,gentilezza,0.5266666666666666
escarnecedor,beffardo,0.3750000000000001
conciso,conciso,0.0
paulatinamente,gradualmente,0.3055555555555556
estar,essere,0.3733333333333334
ressentimento,risentimento,0.08333333333333337
fornicacao,fornicazione,0.19333333333333325
subsistencia,sussistenza,0.17575757575757578
ideia,idea,0.033333333333333326
reu,imputato,0.7111111111111111
ceder,far passare,0.76
funcionalidade,funzionalita,0.17222222222222205
sintese,sintesi,0.13333333333333341
exequibilidade,fattibilita,0.4121212121212121
nuance,sfumatura,0.6111111111111112
sobre,di,0.9666666666666667
por,per,0.3111111111111112
execravel,esecrabile,0.311111111111111
infortunio,sfortuna,0.25
credenciamento,accreditamento,0.1857142857142856
acesso,accesso,0.022222222222222143
excesso,eccesso,0.13333333333333341
subordinado,subordinare,0.15757575757575748
papibaquigrafo,papibaquigrafo,0.0
pressagio,presagio,0.016666666666666607
mim,me,0.5
atenciosamente,cordiali saluti,0.5523809523809524
subserviencia,sottomissione,0.5794871794871795
alva,alba,0.2333333333333334
condescendente,condiscendente,0.06666666666666665
consubstanciar,sostanziare,0.2727272727272727
displicencia,disattenzione,0.4388888888888889
denegrir,denigrare,0.25
contingencia,contingenza,0.09090909090909083
promiscuidade,promiscuita,0.10303030303030292
constantemente,costantemente,0.01025641025641022
incandescente,incandescente,0.0
perspectiva,prospettiva,0.1696969696969698
objetivo,obiettivo,0.1333333333333333
jugo,giogo,0.45000000000000007
eloquente,eloquente,0.0
relacionamento,relazione,0.15555555555555556
arte,arte,0.0
intensidade,intensita,0.12592592592592589
corroborar,corroborare,0.013333333333333308
incolumidade,sicurezza,0.5111111111111111
sistematico,sistematico,0.0
autoritario,autoritario,0.0
compartilhar,condividere,0.5454545454545455
sobrecarregado,sovraccarico,0.37777777777777777
voga,voga,0.0
introvertido,introverso,0.10666666666666669
depreciativo,dispregiativo,0.1611111111111111
pandemia,pandemia,0.0
sede,sete,0.2333333333333334
cerne,nucleo,0.5333333333333333
estigmatizar,stigmatizzare,0.0888888888888888
divergencia,divergenza,0.09999999999999998
vies,pregiudizio,0.7833333333333333
astucia,astuzia,0.13333333333333341
acepcao,senso,0.56
hermetico,ermetico,0.016666666666666607
