pt,en,es,fr,it,gl,ro
indescritivel,indescribable,indescriptible,indescriptible,indescrivibile,indescriptible,de nedescris
conservador,conservative,conservador,conservateur,conservatore,conservador,conservator
vis,vis,vis,vis,vis,vis,vis
nojo,disgust,asco,degouter,disgusto,noxo,dezgust
lapso,lapse,lapso,laps,periodo,lapso,interval
expectativa,expectation,expectativa,attente,aspettativa,expectativa,asteptare
transcendental,transcendental,trascendental,transcendantal,trascendentale,transcendental,transcendental
resplandecer,shine,brillar,briller,splendore,brillo,stralucire
divergente,divergent,divergente,divergent,divergente,diverxente,divergente
multiplicidade,multiplicity,multiplicidad,multiplicite,molteplicita,multiplicidade,multiplicitate
hibrido,hybrid,hibrido,hybride,ibrido,hibrido,hibrid
onde,where,donde,ou,dove,onde,unde
regozijar,rejoice,alegrarse,rejouir,rallegrarsi,alegrarse,bucura
supressao,suppression,supresion,suppression,soppressione,supresion,suprimare
xibiu,xibiu,xibiu,xibiu,xibiu,xibiu,xibiu
aleatorio,random,aleatorio,aleatoire,casuale,aleatoria,aleatoriu
entretenimento,entertainment,entretenimiento,divertissement,divertimento,entretemento,divertisment
iminencia,imminence,inminencia,imminence,imminenza,inminencia,iminenta
tergiversar,quibble,sutileza,ergoter,cavillare,cabreo,echivoc
desfecho,outcome,resultado,resultat,risultato,resultado,rezultat
inconsistencia,inconsistency,inconsecuencia,incoherence,incoerenza,incoherencia,inconsecventa
disposicao,disposition,disposicion,disposition,disposizione,disposicion,dispozitie
esporadico,sporadic,esporadico,sporadique,sporadico,esporadicos,sporadic
vao,go,ir,aller,andare,vai,merge
idem,idem,idem,idem,idem,idem,idem
legado,legacy,legado,heritage,eredita,legado,mostenire
bocal,bocal,bocal,bocal,bocal,bocal,bocal
receptividade,receptivity,receptividad,receptivite,ricettivita,receptividade,receptivitate
internalizacao,internalization,internalizacion,internalisation,interiorizzazione,interiorizacion,internalizare
eita,jeez,dios mio,ouais,cavolo,caramba,naiba
casa,house,casa,maison,casa,casa,casa
jurisprudencia,jurisprudence,jurisprudencia,jurisprudence,giurisprudenza,xurisprudencia,jurisprudenta
admoestacao,admonition,amonestacion,admonition,ammonizione,advertencia,avertizare
retificar,rectify,rectificar,rectifier,rettificare,rectificar,rectifica
sair,to go out,salir,sortir,uscire,sair,a iesi afara
cinico,cynical,cinico,cynique,cinico,cinico,cinic
sentido,sense,sentido,sens,senso,sentido,sens
contrapartida,counterpart,contrapartida,homologue,controparte,contrapartida,echivalent
subjetividade,subjectivity,subjetividad,subjectivite,soggettivita,subxectividade,subiectivitate
destinatario,recipient,recipiente,destinataire,destinatario,recipiente,destinatar
retrogrado,retrograde,retrogrado,retrograde,retrogrado,retrogrado,retrograd
conformidade,conformity,conformidad,conformite,conformita,conformidade,conformitate
abstrato,abstract,abstracto,abstrait,astratto,abstracto,abstract
alcada,jurisdiction,jurisdiccion,juridiction,giurisdizione,xurisdiccion,jurisdictie
pai,father,padre,pere,padre,pai,tata
parcial,partial,parcial,partiel,parziale,parcial,partial
pelo,for the,para el,pour le,per il,para o,pentru
contentamento,contentment,contentamiento,contentement,contentezza,contento,multumire
sido,been,estado,a ete,stato,estivo,fost
vir,come over,venir,venir,venire,ven,vin la tine
essencia,essence,esencia,essence,essenza,esencia,esenta
dou,i give,doy,je donne,io do,eu dou,eu dau
irao,will,voluntad,volonte,volere,vontade,voi
inefavel,ineffable,inefable,ineffable,ineffabile,inefable,inefabil
alienado,alienated,alienado,aliene,alienato,alienado,instrainat
proeminencia,prominence,prominencia,importance,risalto,protagonismo,proeminenta
convencional,conventional,convencional,conventionnel,convenzionale,convencional,conventional
benignidade,kindness,amabilidad,gentillesse,gentilezza,bondade,bunatate
escarnecedor,mocker,burlador,moqueur,beffardo,burlador,batjocoritor
conciso,concise,conciso,concis,conciso,conciso,concis
paulatinamente,gradually,gradualmente,progressivement,gradualmente,aos poucos,treptat
estar,be,ser,etre,essere,ser,fi
