pt,gl,Alignment Score
indescritivel,indescriptible,0.14871794871794863
conservador,conservador,0.0
vis,vis,0.0
nojo,noxo,0.2333333333333334
lapso,lapso,0.0
expectativa,expectativa,0.0
transcendental,transcendental,0.0
resplandecer,brillo,0.6555555555555556
divergente,diverxente,0.09333333333333338
multiplicidade,multiplicidade,0.0
hibrido,hibrido,0.0
onde,onde,0.0
regozijar,alegrarse,0.4814814814814815
supressao,supresion,0.19999999999999996
xibiu,xibiu,0.0
aleatorio,aleatoria,0.10370370370370374
entretenimento,entretemento,0.01666666666666672
iminencia,inminencia,0.014814814814814725
tergiversar,cabreo,0.6333333333333333
desfecho,resultado,0.5416666666666667
inconsistencia,incoherencia,0.2222222222222222
disposicao,disposicion,0.10666666666666669
esporadico,esporadicos,0.013333333333333308
vao,vai,0.3111111111111111
idem,idem,0.0
legado,legado,0.0
bocal,bocal,0.0
receptividade,receptividade,0.0
internalizacao,interiorizacion,0.2571428571428571
eita,caramba,0.6833333333333333
casa,casa,0.0
jurisprudencia,xurisprudencia,0.06666666666666665
admoestacao,advertencia,0.4121212121212121
retificar,rectificar,0.014814814814814725
sair,sair,0.0
cinico,cinico,0.0
sentido,sentido,0.0
contrapartida,contrapartida,0.0
subjetividade,subxectividade,0.08205128205128209
destinatario,recipiente,0.5466666666666666
retrogrado,retrogrado,0.0
conformidade,conformidade,0.0
abstrato,abstracto,0.016666666666666607
alcada,xurisdiccion,0.7777777777777778
pai,pai,0.0
parcial,parcial,0.0
pelo,para o,0.4666666666666667
contentamento,contento,0.04999999999999982
sido,estivo,0.29999999999999993
vir,ven,0.5777777777777777
essencia,esencia,0.01904761904761898
dou,eu dou,0.08888888888888902
irao,vontade,0.7
inefavel,inefable,0.22499999999999998
alienado,alienado,0.0
proeminencia,protagonismo,0.4944444444444446
convencional,convencional,0.0
benignidade,bondade,0.18095238095238098
escarnecedor,burlador,0.45833333333333337
conciso,conciso,0.0
paulatinamente,aos poucos,0.6933333333333334
estar,ser,0.3555555555555556
ressentimento,resentimento,0.011111111111111072
fornicacao,fornicacion,0.10666666666666669
subsistencia,subsistencia,0.0
ideia,idea,0.033333333333333326
reu,imputado,0.7111111111111111
ceder,deixa o paso,0.6133333333333333
funcionalidade,funcionalidade,0.0
sintese,sintese,0.0
exequibilidade,viabilidade,0.18181818181818177
nuance,matiz,0.7066666666666668
sobre,sobre,0.0
por,por,0.0
execravel,execrable,0.19999999999999996
infortunio,desgraza,0.75
credenciamento,acreditacion,0.37222222222222223
acesso,acceso,0.15555555555555556
excesso,exceso,0.022222222222222143
subordinado,subordinado,0.0
papibaquigrafo,papibaquigrafo,0.0
pressagio,presaxio,0.13333333333333341
mim,eu,0.9
atenciosamente,saudos,0.5333333333333334
subserviencia,submision,0.33333333333333337
alva,amencer,0.6833333333333333
condescendente,condescendente,0.0
consubstanciar,fundamentar,0.49696969696969695
displicencia,descoido,0.4833333333333334
denegrir,denigrar,0.2333333333333334
contingencia,continxencia,0.07777777777777772
promiscuidade,promiscuidade,0.0
constantemente,constantemente,0.0
incandescente,incandescente,0.0
perspectiva,perspectiva,0.0
objetivo,obxectivo,0.1333333333333333
jugo,xugo,0.2333333333333334
eloquente,elocuente,0.10370370370370374
relacionamento,relacion,0.05833333333333324
arte,art,0.04444444444444451
intensidade,intensidade,0.0
corroborar,corroborar,0.0
incolumidade,seguridade,0.36
sistematico,sistematico,0.0
autoritario,autoritario,0.0
compartilhar,compartir,0.02962962962962956
sobrecarregado,sobrecargado,0.01666666666666672
voga,moda,0.4666666666666667
introvertido,introvertida,0.07777777777777772
depreciativo,despectivo,0.11333333333333329
pandemia,pandemia,0.0
sede,sede,0.0
cerne,nucleo,0.5333333333333333
estigmatizar,estigmatizar,0.0
divergencia,diverxencia,0.08484848484848484
vies,prexuizo,0.7333333333333334
astucia,astucia,0.0
acepcao,significado,0.5238095238095238
hermetico,hermetico,0.0
