en,ro,Alignment Score
indescribable,de nedescris,0.3666666666666666
conservative,conservator,0.16363636363636347
vis,vis,0.0
disgust,dezgust,0.24761904761904763
lapse,interval,0.7066666666666668
expectation,asteptare,0.49629629629629635
transcendental,transcendental,0.0
shine,stralucire,0.43999999999999995
divergent,divergente,0.014814814814814725
multiplicity,multiplicitate,0.0888888888888888
hybrid,hibrid,0.15555555555555556
where,unde,0.6499999999999999
rejoice,bucura,0.7111111111111111
suppression,suprimare,0.3925925925925926
xibiu,xibiu,0.0
random,aleatoriu,0.6222222222222222
entertainment,divertisment,0.30000000000000004
imminence,iminenta,0.2333333333333334
quibble,echivoc,0.7047619047619048
outcome,rezultat,0.6190476190476191
inconsistency,inconsecventa,0.32820512820512815
disposition,dispozitie,0.19333333333333336
sporadic,sporadic,0.0
go,merge,0.6000000000000001
idem,idem,0.0
legacy,mostenire,0.7333333333333334
bocal,bocal,0.0
receptivity,receptivitate,0.09696969696969682
internalization,internalizare,0.1435897435897434
jeez,naiba,0.85
house,casa,0.6833333333333333
jurisprudence,jurisprudenta,0.1333333333333332
admonition,avertizare,0.5866666666666667
rectify,rectifica,0.1523809523809524
to go out,a iesi afara,0.6888888888888889
cynical,cinic,0.2266666666666668
sense,sens,0.033333333333333326
counterpart,echivalent,0.5933333333333334
subjectivity,subiectivitate,0.16666666666666652
recipient,destinatar,0.5037037037037038
retrograde,retrograd,0.014814814814814725
conformity,conformitate,0.10666666666666658
abstract,abstract,0.0
jurisdiction,jurisdictie,0.09090909090909083
father,tata,0.5
partial,partial,0.0
for the,pentru,0.711111111111111
contentment,multumire,0.5851851851851853
been,fost,0.8333333333333334
come over,vin la tine,0.6592592592592592
essence,esenta,0.3111111111111112
i give,eu dau,0.6888888888888889
will,voi,0.6222222222222222
ineffable,inefabil,0.13333333333333341
alienated,instrainat,0.3925925925925926
prominence,proeminenta,0.18666666666666676
conventional,conventional,0.0
kindness,bunatate,0.6333333333333333
mocker,batjocoritor,0.5111111111111111
concise,concis,0.022222222222222143
gradually,treptat,0.638095238095238
be,fi,0.8666666666666667
resentment,resentiment,0.013333333333333308
fornication,curvie,0.6444444444444445
subsistence,subzistenta,0.24242424242424243
idea,idee,0.2333333333333334
defendant,parat,0.5733333333333334
give way,ceda,0.55
functionality,functionalitate,0.08205128205128198
synthesis,sinteza,0.4095238095238096
feasibility,fezabilitate,0.24848484848484842
nuance,nuanta,0.288888888888889
about,despre,0.8400000000000001
per,pe,0.06666666666666676
execrable,execrabil,0.10370370370370374
misfortune,ghinion,0.5333333333333333
accreditation,acreditare,0.19999999999999996
access,acces,0.026666666666666727
excess,exces,0.026666666666666727
subordinate,subordonat,0.10666666666666669
papibaquigrapher,papibaquigrapher,0.0
omen,augur,0.85
me,pe mine,0.2333333333333334
yours sincerely,cu stima,0.5083333333333333
subservience,supunere,0.3583333333333334
dawn,zorii,0.85
condescending,condescendent,0.1435897435897434
substantiate,fundamenta,0.4600000000000001
carelessness,nepasare,0.5583333333333333
denigrate,denigra,0.028571428571428692
contingency,contingenta,0.15757575757575748
promiscuity,promiscuitate,0.09696969696969682
constantly,in mod constant,0.20666666666666678
incandescent,incandescent,0.0
perspective,perspectiva,0.08484848484848473
goal,poarta,0.5
yoke,jug,0.8666666666666667
eloquent,elocvent,0.21666666666666679
relationship,relatie,0.18095238095238086
art,arta,0.04444444444444451
intensity,intensitate,0.11851851851851847
corroborate,coroboreaza,0.23636363636363633
safety,siguranta,0.48888888888888893
systematic,sistematic,0.09333333333333338
authoritarian,autoritar,0.04444444444444429
to share,a impartasi,0.575
overloaded,supraincarcat,0.6933333333333334
vogue,voga,0.25
introvert,introvertit,0.022222222222222143
derogatory,peiorativ,0.49629629629629635
pandemic,pandemic,0.0
thirst,sete,0.4833333333333334
core,miez,0.6499999999999999
stigmatize,stigmatiza,0.09333333333333327
divergence,divergenta,0.17333333333333334
bias,partinire,0.75
cunning,viclean,0.6095238095238096
meaning,sens,0.5333333333333334
airtight,ermetic,0.5142857142857143
