es,gl,Alignment Score
indescriptible,indescriptible,0.0
conservador,conservador,0.0
vis,vis,0.0
asco,noxo,0.6333333333333333
lapso,lapso,0.0
expectativa,expectativa,0.0
trascendental,transcendental,0.01025641025641022
brillar,brillo,0.16666666666666663
divergente,diverxente,0.09333333333333338
multiplicidad,multiplicidade,0.01025641025641022
hibrido,hibrido,0.0
donde,onde,0.033333333333333326
alegrarse,alegrarse,0.0
supresion,supresion,0.0
xibiu,xibiu,0.0
aleatorio,aleatoria,0.10370370370370374
entretenimiento,entretemento,0.02777777777777779
inminencia,inminencia,0.0
sutileza,cabreo,0.7222222222222222
resultado,resultado,0.0
inconsecuencia,incoherencia,0.16666666666666663
disposicion,disposicion,0.0
esporadico,esporadicos,0.013333333333333308
ir,vai,0.5
idem,idem,0.0
legado,legado,0.0
bocal,bocal,0.0
receptividad,receptividade,0.011111111111111072
internalizacion,interiorizacion,0.16888888888888876
dios mio,caramba,0.7333333333333334
casa,casa,0.0
jurisprudencia,xurisprudencia,0.06666666666666665
amonestacion,advertencia,0.49090909090909096
rectificar,rectificar,0.0
salir,sair,0.033333333333333326
cinico,cinico,0.0
sentido,sentido,0.0
contrapartida,contrapartida,0.0
subjetividad,subxectividade,0.10000000000000009
recipiente,recipiente,0.0
retrogrado,retrogrado,0.0
conformidad,conformidade,0.012121212121212088
abstracto,abstracto,0.0
jurisdiccion,xurisdiccion,0.07777777777777772
padre,pai,0.3555555555555556
parcial,parcial,0.0
para el,para o,0.16666666666666663
contentamiento,contento,0.05833333333333324
estado,estivo,0.288888888888889
venir,ven,0.06666666666666687
esencia,esencia,0.0
doy,eu dou,0.3999999999999999
voluntad,vontade,0.1428571428571429
inefable,inefable,0.0
alienado,alienado,0.0
prominencia,protagonismo,0.4727272727272728
convencional,convencional,0.0
amabilidad,bondade,0.4095238095238096
burlador,burlador,0.0
conciso,conciso,0.0
gradualmente,aos poucos,0.6866666666666666
ser,ser,0.0
resentimiento,resentimento,0.011111111111111072
fornicacion,fornicacion,0.0
subsistencia,subsistencia,0.0
idea,idea,0.0
acusado,imputado,0.3904761904761904
ceda el paso,deixa o paso,0.28888888888888886
funcionalidad,funcionalidade,0.01025641025641022
sintesis,sintese,0.1428571428571429
factibilidad,viabilidade,0.24848484848484853
matiz,matiz,0.0
acerca de,sobre,0.5733333333333333
por,por,0.0
execrable,execrable,0.0
desgracia,desgraza,0.125
acreditacion,acreditacion,0.0
acceso,acceso,0.0
exceso,exceso,0.0
subordinar,subordinado,0.09999999999999987
papibaquigrafo,papibaquigrafo,0.0
presagio,presaxio,0.1166666666666667
a mi,eu,0.9333333333333333
tuyo sinceramente,saudos,0.588888888888889
subordinacion,submision,0.23703703703703716
amanecer,amencer,0.1428571428571429
condescendiente,condescendente,0.00952380952380949
justificar,fundamentar,0.52
descuido,descoido,0.1166666666666667
denigrar,denigrar,0.0
contingencia,continxencia,0.07777777777777772
promiscuidad,promiscuidade,0.011111111111111072
constantemente,constantemente,0.0
incandescente,incandescente,0.0
perspectiva,perspectiva,0.0
meta,obxectivo,0.5666666666666667
yugo,xugo,0.2333333333333334
elocuente,elocuente,0.0
relacion,relacion,0.0
arte,art,0.04444444444444451
intensidad,intensidade,0.013333333333333308
corroborar,corroborar,0.0
seguridad,seguridade,0.014814814814814725
sistematico,sistematico,0.0
autoritario,autoritario,0.0
para compartir,compartir,0.0444444444444444
sobrecargado,sobrecargado,0.0
moda,moda,0.0
introvertido,introvertida,0.07777777777777772
despectivo,despectivo,0.0
pandemia,pandemia,0.0
sed,sede,0.04444444444444451
centro,nucleo,0.43333333333333335
estigmatizar,estigmatizar,0.0
divergencia,diverxencia,0.08484848484848484
inclinacion,prexuizo,0.6583333333333334
astuto,astucia,0.30000000000000016
significado,significado,0.0
hermetico,hermetico,0.0
