pt,ro,Alignment Score
indescritivel,de nedescris,0.3666666666666666
conservador,conservator,0.08484848484848484
vis,vis,0.0
nojo,dezgust,0.8833333333333334
lapso,interval,0.7066666666666668
expectativa,asteptare,0.49629629629629635
transcendental,transcendental,0.0
resplandecer,stralucire,0.5333333333333333
divergente,divergente,0.0
multiplicidade,multiplicitate,0.1333333333333332
hibrido,hibrid,0.022222222222222143
onde,unde,0.2333333333333334
regozijar,bucura,0.6000000000000001
supressao,suprimare,0.37037037037037035
xibiu,xibiu,0.0
aleatorio,aleatoriu,0.10370370370370374
entretenimento,divertisment,0.3111111111111112
iminencia,iminenta,0.125
tergiversar,echivoc,0.5428571428571429
desfecho,rezultat,0.7333333333333334
inconsistencia,inconsecventa,0.2717948717948717
disposicao,dispozitie,0.34666666666666657
esporadico,sporadic,0.033333333333333326
vao,merge,0.8888888888888888
idem,idem,0.0
legado,mostenire,0.7333333333333334
bocal,bocal,0.0
receptividade,receptivitate,0.1435897435897434
internalizacao,internalizare,0.1384615384615382
eita,naiba,0.4833333333333334
casa,casa,0.0
jurisprudencia,jurisprudenta,0.07692307692307687
admoestacao,avertizare,0.5333333333333333
retificar,rectifica,0.10370370370370374
sair,a iesi afara,0.4
cinico,cinic,0.026666666666666727
sentido,sens,0.28333333333333355
contrapartida,echivalent,0.6066666666666667
subjetividade,subiectivitate,0.22564102564102573
destinatario,destinatar,0.019999999999999907
retrogrado,retrograd,0.014814814814814725
conformidade,conformitate,0.15555555555555545
abstrato,abstract,0.1166666666666667
alcada,jurisdictie,0.7666666666666667
pai,tata,0.6222222222222222
parcial,partial,0.13333333333333341
pelo,pentru,0.4666666666666667
contentamento,multumire,0.6074074074074074
sido,fost,0.6499999999999999
vir,vin la tine,0.48888888888888893
essencia,esenta,0.188888888888889
dou,eu dau,0.3999999999999999
irao,voi,0.6000000000000001
inefavel,inefabil,0.21666666666666667
alienado,instrainat,0.45833333333333337
proeminencia,proeminenta,0.09090909090909083
convencional,conventional,0.07777777777777772
benignidade,bunatate,0.4666666666666667
escarnecedor,batjocoritor,0.5611111111111111
conciso,concis,0.022222222222222143
paulatinamente,treptat,0.4571428571428572
estar,fi,0.9666666666666667
ressentimento,resentiment,0.024242424242424176
fornicacao,curvie,0.6444444444444445
subsistencia,subzistenta,0.17575757575757578
ideia,idee,0.25
reu,parat,0.6444444444444445
ceder,ceda,0.25
funcionalidade,functionalitate,0.14285714285714268
sintese,sinteza,0.24761904761904763
exequibilidade,fezabilitate,0.3833333333333333
nuance,nuanta,0.288888888888889
sobre,despre,0.3733333333333333
por,pe,0.5
execravel,execrabil,0.19259259259259254
infortunio,ghinion,0.4
credenciamento,acreditare,0.30666666666666675
acesso,acces,0.19999999999999996
excesso,exces,0.039999999999999925
subordinado,subordonat,0.19333333333333336
papibaquigrafo,papibaquigrapher,0.1333333333333332
pressagio,augur,0.5866666666666667
mim,pe mine,0.42222222222222217
atenciosamente,cu stima,0.5916666666666668
subserviencia,supunere,0.3750000000000001
alva,zorii,0.85
condescendente,condescendent,0.01025641025641022
consubstanciar,fundamenta,0.56
displicencia,nepasare,0.6666666666666667
denegrir,denigra,0.2666666666666667
contingencia,contingenta,0.09090909090909083
promiscuidade,promiscuitate,0.1435897435897434
constantemente,in mod constant,0.3571428571428571
incandescente,incandescent,0.011111111111111072
perspectiva,perspectiva,0.0
objetivo,poarta,0.6111111111111112
jugo,jug,0.04444444444444451
eloquente,elocvent,0.2333333333333334
relacionamento,relatie,0.21904761904761894
arte,arta,0.2333333333333334
intensidade,intensitate,0.1696969696969698
corroborar,coroboreaza,0.18666666666666676
incolumidade,siguranta,0.5925925925925926
sistematico,sistematic,0.013333333333333308
autoritario,autoritar,0.022222222222222143
compartilhar,a impartasi,0.3939393939393939
sobrecarregado,supraincarcat,0.476923076923077
voga,voga,0.0
introvertido,introvertit,0.09090909090909083
depreciativo,peiorativ,0.23703703703703694
pandemia,pandemic,0.1166666666666667
sede,sete,0.2333333333333334
cerne,miez,0.6666666666666667
estigmatizar,stigmatiza,0.026666666666666616
divergencia,divergenta,0.09999999999999998
vies,partinire,0.55
astucia,viclean,0.6095238095238096
acepcao,sens,0.7166666666666668
hermetico,ermetic,0.03809523809523818
