es,it,Alignment Score
indescriptible,indescrivibile,0.12857142857142856
conservador,conservatore,0.09696969696969693
vis,vis,0.0
asco,disgusto,0.5333333333333334
lapso,periodo,0.5466666666666666
expectativa,aspettativa,0.24242424242424243
trascendental,trascendentale,0.01025641025641022
brillar,splendore,0.638095238095238
divergente,divergente,0.0
multiplicidad,molteplicita,0.24444444444444458
hibrido,ibrido,0.022222222222222143
donde,dove,0.25
alegrarse,rallegrarsi,0.13333333333333341
supresion,soppressione,0.14074074074074072
xibiu,xibiu,0.0
aleatorio,casuale,0.49523809523809537
entretenimiento,divertimento,0.24444444444444446
inminencia,imminenza,0.2148148148148148
sutileza,cavillare,0.5416666666666667
resultado,risultato,0.20740740740740748
inconsecuencia,incoerenza,0.22000000000000008
disposicion,disposizione,0.09696969696969693
esporadico,sporadico,0.014814814814814725
ir,andare,0.6333333333333333
idem,idem,0.0
legado,eredita,0.5888888888888889
bocal,bocal,0.0
receptividad,ricettivita,0.26666666666666683
internalizacion,interiorizzazione,0.24444444444444446
dios mio,cavolo,0.6000000000000001
casa,casa,0.0
jurisprudencia,giurisprudenza,0.19047619047619047
amonestacion,ammonizione,0.3212121212121213
rectificar,rettificare,0.10666666666666669
salir,uscire,0.3866666666666667
cinico,cinico,0.0
sentido,senso,0.21333333333333337
contrapartida,controparte,0.18181818181818166
subjetividad,soggettivita,0.3666666666666667
recipiente,destinatario,0.5466666666666666
retrogrado,retrogrado,0.0
conformidad,conformita,0.10666666666666669
abstracto,astratto,0.13333333333333341
jurisdiccion,giurisdizione,0.23333333333333328
padre,padre,0.0
parcial,parziale,0.1523809523809525
para el,per il,0.33333333333333337
contentamiento,contentezza,0.2484848484848483
estado,stato,0.21333333333333337
venir,venire,0.026666666666666727
esencia,essenza,0.25714285714285723
doy,io do,0.3555555555555555
voluntad,volere,0.44444444444444453
inefable,ineffabile,0.033333333333333326
alienado,alienato,0.1166666666666667
prominencia,risalto,0.5333333333333334
convencional,convenzionale,0.08888888888888902
amabilidad,gentilezza,0.5933333333333334
burlador,beffardo,0.43333333333333335
conciso,conciso,0.0
gradualmente,gradualmente,0.0
ser,essere,0.11111111111111116
resentimiento,risentimento,0.08888888888888902
fornicacion,fornicazione,0.09696969696969693
subsistencia,sussistenza,0.17575757575757578
idea,idea,0.0
acusado,imputato,0.5238095238095238
ceda el paso,far passare,0.47878787878787876
funcionalidad,funzionalita,0.16666666666666652
sintesis,sintesi,0.01904761904761898
factibilidad,fattibilita,0.18181818181818177
matiz,sfumatura,0.41333333333333344
acerca de,di,0.7333333333333334
por,per,0.3111111111111112
execrable,esecrabile,0.11851851851851858
desgracia,sfortuna,0.55
acreditacion,accreditamento,0.23333333333333328
acceso,accesso,0.022222222222222143
exceso,eccesso,0.1777777777777778
subordinar,subordinare,0.013333333333333308
papibaquigrafo,papibaquigrafo,0.0
presagio,presagio,0.0
a mi,me,0.5666666666666667
tuyo sinceramente,cordiali saluti,0.5777777777777777
subordinacion,sottomissione,0.46153846153846156
amanecer,alba,0.5166666666666666
condescendiente,condiscendente,0.07619047619047625
justificar,sostanziare,0.44000000000000006
descuido,disattenzione,0.4833333333333334
denigrar,denigrare,0.016666666666666607
contingencia,contingenza,0.09090909090909083
promiscuidad,promiscuita,0.09696969696969682
constantemente,costantemente,0.01025641025641022
incandescente,incandescente,0.0
perspectiva,prospettiva,0.1696969696969698
meta,obiettivo,0.55
yugo,giogo,0.45000000000000007
elocuente,eloquente,0.10370370370370374
relacion,relazione,0.13333333333333341
arte,arte,0.0
intensidad,intensita,0.11851851851851858
corroborar,corroborare,0.013333333333333308
seguridad,sicurezza,0.4814814814814815
sistematico,sistematico,0.0
autoritario,autoritario,0.0
para compartir,condividere,0.5575757575757576
sobrecargado,sovraccarico,0.3666666666666667
moda,voga,0.4666666666666667
introvertido,introverso,0.10666666666666669
despectivo,dispregiativo,0.21333333333333337
pandemia,pandemia,0.0
sed,sete,0.33333333333333337
centro,nucleo,0.43333333333333335
estigmatizar,stigmatizzare,0.0888888888888888
divergencia,divergenza,0.09999999999999998
inclinacion,pregiudizio,0.5454545454545454
astuto,astuzia,0.30000000000000016
significado,senso,0.45333333333333337
hermetico,ermetico,0.016666666666666607
