fr,ro,Alignment Score
indescriptible,de nedescris,0.37222222222222223
conservateur,conservator,0.09090909090909083
vis,vis,0.0
degouter,dezgust,0.2761904761904762
laps,interval,0.7
attente,asteptare,0.2952380952380954
transcendantal,transcendental,0.06666666666666665
briller,stralucire,0.5333333333333334
divergent,divergente,0.014814814814814725
multiplicite,multiplicitate,0.016666666666666496
hybride,hibrid,0.1777777777777778
ou,unde,0.5333333333333334
rejouir,bucura,0.5888888888888889
suppression,suprimare,0.3925925925925926
xibiu,xibiu,0.0
aleatoire,aleatoriu,0.19999999999999996
divertissement,divertisment,0.01666666666666672
imminence,iminenta,0.2333333333333334
ergoter,echivoc,0.6095238095238096
resultat,rezultat,0.1166666666666667
incoherence,inconsecventa,0.32727272727272716
disposition,dispozitie,0.19333333333333336
sporadique,sporadic,0.1333333333333333
aller,merge,0.52
idem,idem,0.0
heritage,mostenire,0.5416666666666667
bocal,bocal,0.0
receptivite,receptivitate,0.018181818181817966
internalisation,internalizare,0.21538461538461517
ouais,naiba,0.5333333333333333
maison,casa,0.5166666666666666
jurisprudence,jurisprudenta,0.1333333333333332
admonition,avertizare,0.5866666666666667
rectifier,rectifica,0.19259259259259254
sortir,a iesi afara,0.5111111111111111
cynique,cinic,0.40000000000000013
sens,sens,0.0
homologue,echivalent,0.5777777777777777
subjectivite,subiectivitate,0.09444444444444444
destinataire,destinatar,0.026666666666666616
retrograde,retrograd,0.014814814814814725
conformite,conformitate,0.019999999999999907
abstrait,abstract,0.1166666666666667
juridiction,jurisdictie,0.16363636363636347
pere,tata,0.8333333333333334
partiel,partial,0.13333333333333341
pour le,pentru,0.5666666666666667
contentement,multumire,0.6000000000000001
a ete,fost,0.6666666666666667
venir,vin la tine,0.4666666666666667
essence,esenta,0.3111111111111112
je donne,eu dau,0.4666666666666668
volonte,voi,0.4
ineffable,inefabil,0.13333333333333341
aliene,instrainat,0.5
importance,proeminenta,0.5133333333333334
conventionnel,conventional,0.08333333333333337
gentillesse,bunatate,0.5583333333333333
moqueur,batjocoritor,0.6476190476190475
concis,concis,0.0
progressivement,treptat,0.5714285714285714
etre,fi,0.9333333333333333
ressentiment,resentiment,0.012121212121212088
fornication,curvie,0.6444444444444445
subsistance,subzistenta,0.31515151515151507
idee,idee,0.0
defendeur,parat,0.7333333333333334
laisser passer,ceda,0.6500000000000001
fonctionnalite,functionalitate,0.13809523809523805
la synthese,sinteza,0.4285714285714286
faisabilite,fezabilitate,0.24242424242424243
nuancer,nuanta,0.30000000000000016
a propos,despre,0.6000000000000001
par,pe,0.5
execrable,execrabil,0.10370370370370374
malheur,ghinion,0.7238095238095238
accreditation,acreditare,0.19999999999999996
acceder,acces,0.21333333333333337
exces,exces,0.0
subalterne,subordonat,0.42000000000000004
papibaquigraphe,papibaquigrapher,0.008888888888888835
presage,augur,0.56
moi,pe mine,0.4222222222222223
cordialement,cu stima,0.5666666666666667
asservissement,supunere,0.4833333333333334
aube,zorii,0.85
condescendant,condescendent,0.07179487179487176
justifier,fundamenta,0.6666666666666667
negligence,nepasare,0.5333333333333334
denigrer,denigra,0.1428571428571429
contingence,contingenta,0.15757575757575748
la promiscuite,promiscuitate,0.1384615384615384
en permanence,in mod constant,0.5333333333333334
incandescent,incandescent,0.0
perspective,perspectiva,0.08484848484848473
but,poarta,0.6666666666666667
joug,jug,0.04444444444444451
eloquent,elocvent,0.21666666666666679
relation,relatie,0.1428571428571429
art,arta,0.04444444444444451
intensite,intensitate,0.022222222222222254
corroborer,coroboreaza,0.18666666666666676
securite,siguranta,0.45833333333333337
systematique,sistematic,0.19999999999999996
autoritaire,autoritar,0.02962962962962956
partager,a impartasi,0.35
surcharge,supraincarcat,0.33333333333333337
vogue,voga,0.25
introverti,introvertit,0.013333333333333308
desobligeant,peiorativ,0.5185185185185186
pandemie,pandemic,0.1166666666666667
la soif,sete,0.7
coeur,miez,0.6833333333333333
stigmatiser,stigmatiza,0.17999999999999994
divergence,divergenta,0.17333333333333334
biais,partinire,0.6000000000000001
ruse,viclean,0.7
signification,sens,0.6000000000000001
hermetique,ermetic,0.17142857142857149
