en,es,Alignment Score
indescribable,indescriptible,0.1384615384615382
conservative,conservador,0.23636363636363633
vis,vis,0.0
disgust,asco,0.7166666666666668
lapse,lapso,0.18666666666666676
expectation,expectativa,0.15757575757575748
transcendental,trascendental,0.01025641025641022
shine,brillar,0.72
divergent,divergente,0.014814814814814725
multiplicity,multiplicidad,0.1499999999999999
hybrid,hibrido,0.1777777777777778
where,donde,0.6666666666666667
rejoice,alegrarse,0.6190476190476191
suppression,supresion,0.029629629629629672
xibiu,xibiu,0.0
random,aleatorio,0.6111111111111112
entertainment,entretenimiento,0.23076923076923073
imminence,inminencia,0.2148148148148148
quibble,sutileza,0.40000000000000013
outcome,resultado,0.5333333333333334
inconsistency,inconsecuencia,0.2717948717948716
disposition,disposicion,0.08484848484848484
sporadic,esporadico,0.033333333333333326
go,ir,0.8666666666666667
idem,idem,0.0
legacy,legado,0.288888888888889
bocal,bocal,0.0
receptivity,receptividad,0.16363636363636347
internalization,internalizacion,0.06222222222222218
jeez,dios mio,0.9
house,casa,0.6833333333333333
jurisprudence,jurisprudencia,0.07692307692307687
admonition,amonestacion,0.20000000000000007
rectify,rectificar,0.16190476190476188
to go out,salir,0.88
cynical,cinico,0.3222222222222223
sense,sentido,0.3733333333333334
counterpart,contrapartida,0.18181818181818177
subjectivity,subjetividad,0.21666666666666645
recipient,recipiente,0.014814814814814725
retrograde,retrogrado,0.09333333333333327
conformity,conformidad,0.17999999999999994
abstract,abstracto,0.016666666666666607
jurisdiction,jurisdiccion,0.07777777777777772
father,padre,0.56
partial,parcial,0.13333333333333341
for the,para el,0.5047619047619047
contentment,contentamiento,0.036363636363636376
been,estado,0.6833333333333333
come over,venir,0.4
essence,esencia,0.2571428571428571
i give,doy,0.9111111111111111
will,voluntad,0.7166666666666668
ineffable,inefable,0.016666666666666607
alienated,alienado,0.125
prominence,prominencia,0.09999999999999987
conventional,convencional,0.07777777777777772
kindness,amabilidad,0.6583333333333334
mocker,burlador,0.5888888888888888
concise,conciso,0.13333333333333341
gradually,gradualmente,0.21481481481481468
be,ser,0.5333333333333334
resentment,resentimiento,0.039999999999999925
fornication,fornicacion,0.08484848484848484
subsistence,subsistencia,0.09090909090909083
idea,idea,0.0
defendant,acusado,0.7333333333333334
give way,ceda el paso,0.5916666666666666
functionality,funcionalidad,0.19999999999999984
synthesis,sintesis,0.13333333333333341
feasibility,factibilidad,0.32727272727272716
nuance,matiz,0.7066666666666668
about,acerca de,0.72
per,por,0.3111111111111112
execrable,execrable,0.0
misfortune,desgracia,0.674074074074074
accreditation,acreditacion,0.08888888888888902
access,acceso,0.15555555555555556
excess,exceso,0.15555555555555556
subordinate,subordinar,0.09999999999999987
papibaquigrapher,papibaquigrafo,0.1333333333333332
omen,presagio,0.7
me,a mi,0.5666666666666667
yours sincerely,tuyo sinceramente,0.2933333333333331
subservience,subordinacion,0.3833333333333333
dawn,amanecer,0.5333333333333334
condescending,condescendiente,0.08717948717948698
substantiate,justificar,0.4600000000000001
carelessness,descuido,0.6666666666666667
denigrate,denigrar,0.125
contingency,contingencia,0.09090909090909083
promiscuity,promiscuidad,0.16363636363636347
constantly,constantemente,0.19999999999999984
incandescent,incandescente,0.011111111111111072
perspective,perspectiva,0.08484848484848473
goal,meta,0.6499999999999999
yoke,yugo,0.43333333333333335
eloquent,elocuente,0.13333333333333341
relationship,relacion,0.15833333333333321
art,arte,0.04444444444444451
intensity,intensidad,0.19999999999999996
corroborate,corroborar,0.09999999999999987
safety,seguridad,0.6
systematic,sistematico,0.10666666666666669
authoritarian,autoritario,0.10303030303030292
to share,para compartir,0.6000000000000001
overloaded,sobrecargado,0.4666666666666667
vogue,moda,0.6833333333333333
introvert,introvertido,0.02962962962962956
derogatory,despectivo,0.5066666666666668
pandemic,pandemia,0.1166666666666667
thirst,sed,0.6666666666666667
core,centro,0.4666666666666667
stigmatize,estigmatizar,0.11333333333333317
divergence,divergencia,0.09999999999999987
bias,inclinacion,0.5833333333333333
cunning,astuto,0.7222222222222222
meaning,significado,0.6476190476190476
airtight,hermetico,0.55
