pt,en,es,fr,it,gl,ro
rio,river,rio,riviere,fiume,rio,rau
resoluto,resolute,resuelto,resolu,risoluto,resolto,hotarat
excentrico,eccentric,excentrico,excentrique,eccentrico,excentrico,excentric
exotico,exotic,exotico,exotique,esotico,exotico,exotic
hermeneutica,hermeneutics,hermeneutica,hermeneutiques,ermeneutica,hermeneutica,hermeneutica
escatologico,eschatological,escatologico,eschatologique,escatologico,escatoloxico,eshatologic
necessario,necessary,necesario,necessaire,necessario,necesario,necesar
intemperie,weather,clima,meteo,tempo atmosferico,tempo,vreme
metodico,methodical,metodico,methodique,metodico,metodico,metodic
sublime,sublime,sublime,sublime,sublime,sublime,sublim
vocabulario,vocabulary,vocabulario,vocabulaire,vocabolario,vocabulario,vocabular
comprobatorio,evidentiary,probatorio,preuve,probatorio,probatoria,probatorie
consequencia,consequence,consecuencia,consequence,conseguenza,consecuencia,consecinta
casual,casual,casual,occasionnel,casuale,casual,casual
subjetivo,subjective,subjetivo,subjectif,soggettivo,subxectivo,subiectiv
preconceito,prejudice,prejuicio,prejuge,pregiudizio,prexuizo,prejudecata
incomensuravel,immeasurable,inconmensurable,incommensurable,incommensurabile,inconmensurable,nemasurata
maturidade,maturity,madurez,maturite,scadenza,madurez,maturitate
pesames,condolences,condolencias,condoleances,condoglianze,condolencias,condoleante
ativista,activist,activista,activiste,attivista,activista,activist
voz,voice,voz,voix,voce,voz,voce
inexoravel,inexorable,inexorable,inexorable,inesorabile,inexorable,inexorabil
ido,gone,desaparecido,disparu,andato,ido,plecat
integridade,integrity,integridad,integrite,integrita,integridade,integritate
inescrupuloso,unscrupulous,poco escrupuloso,sans scrupules,senza scrupoli,sen escrupulos,lipsit de scrupule
habito,habit,habito,habitude,abitudine,habito,obicei
consideracao,consideration,consideracion,consideration,considerazione,consideracion,considerare
apice,apex,apendice,sommet,apice,apex,apex
idilico,idyllic,idilico,idyllique,idilliaco,idilico,idilic
jubilo,jubilation,jubilo,jubilation,giubilo,xubilo,jubilare
remissao,remission,remision,remise,remissione,remision,iertare
extensao,extension,extension,extension,estensione,extension,extensie
amizade,friendship,amistad,amitie,amicizia,amizade,prietenie
incipiente,incipient,incipiente,naissant,nascente,incipiente,incipient
vale,ok,de acuerdo,d'accord,ok,ok,bine
finalidade,goal,meta,but,obiettivo,obxectivo,poarta
exortar,urge,urgir,exhorter,sollecitare,urxe,indemn
acao,action,accion,action,azione,accion,actiune
abster,abstain,abstenerse,abstention,astenersi,absterse,se abtine
etnia,ethnicity,etnicidad,appartenance ethnique,etnia,etnia,etnie
reivindicacao,claim,afirmar,reclamer,reclamo,reclamacion,revendicare
altruismo,altruism,altruismo,altruisme,altruismo,altruismo,altruism
designio,design,diseno,conception,progetto,deseno,proiecta
incontinencia,incontinence,incontinencia,incontinence,incontinenza,incontinencia,incontinenta
isencao,exemption,exencion,exemption,esenzione,exencion,scutire
graca,grace,gracia,la grace,adornare,graza,gratie
quimera,chimera,quimera,chimere,chimera,quimera,himera
hodiernamente,nowadays,hoy en dia,aujourd'hui,al giorno d'oggi,hoxe en dia,in zilele de azi
larica,munchies,bocadillos,grignotines,munchies,empanadas,gustari
aprovisionado,provisioned,provisionado,provisionne,fornito,aprovisionado,furnizate
monotono,monotonous,monotono,monotone,monotono,monotono,monoton
personificacao,personification,personificacion,personnification,personificazione,personificacion,personificare
odio,hate,odiar,detester,odio,odio,ura
ruim,bad,malo,mauvais,cattivo,malo,rau
prestatividade,helpfulness,utilidad,obligeance,disponibilita,axuda,utilitate
escrutinio,scrutiny,escrutinio,examen minutieux,scrutinio,escrutinio,examinare
adjacente,adjacent,adyacente,adjacent,adiacente,adxacentes,adiacent
ira,will,voluntad,volonte,volere,vontade,voi
pragmatico,pragmatic,pragmatico,pragmatique,pragmatico,pragmatico,pragmatic
intermunicipal,intercity,interurbano,interurbain,interurbano,interurbano,intercity
independente,independent,independiente,independant,indipendente,independente,independent
tal,such,semejante,tel,come,tal,astfel de
audacia,audacity,audacia,audace,audacia,audacia,indrazneala
cujo,whose,cuyo,dont,di chi,cuxo,a caror
mutuo,mutual,mutual,mutuel,reciproco,mutuo,reciproc
vereda,path,camino,chemin,sentiero,camino,cale
solene,solemn,solemne,solennel,solenne,solemne,solemn
adorno,adornment,adorno,ornement,ornamento,adorno,podoaba
pauta,schedule,cronograma,calendrier,programma,horario,programa
beneficencia,beneficence,beneficencia,bienfaisance,beneficenza,beneficencia,binefacere
escarnio,mockery,mofa,moquerie,beffa,burla,bataie de joc
inescrutavel,inscrutable,inescrutable,impenetrable,imperscrutabile,inescrutable,inscrutabil
coercitividade,coercion,coercion,coercition,coercizione,coaccion,constrangere
antagonista,antagonist,antagonista,antagoniste,antagonista,antagonista,antagonist
mediante,through,a traves de,a travers,attraverso,a traves,prin
discorrer,discourse,discurso,discours,discorso,discurso,discurs
superfluo,superfluous,superfluo,superflu,superfluo,superfluo,de prisos
disseminar,disseminate,diseminar,disseminer,diffondere,difundir,diseminati
indolencia,indolence,indolencia,indolence,indolenza,indolencia,indolenta
cognitivo,cognitive,cognitivo,cognitif,cognitivo,cognitivo,cognitive
mau,bad,malo,mauvais,cattivo,malo,rau
esperanca,hope,esperanza,espoir,speranza,esperanza,speranta
suscetivel,susceptible,susceptible,sensible,suscettibile,susceptibles,susceptibil
intervencao,intervention,intervencion,intervention,intervento,intervencion,interventie
serendipidade,serendipity,casualidad,hasard,serendipita,serendipia,noroc
identificacao,identification,identificacion,identification,identificazione,identificacion,identificare
idoneo,suitable,adecuado,approprie,adatto,axeitado,potrivit
seara,harvest,cosecha,recolte,raccolto,colleita,recolta
maledicencia,backbiting,murmuracion,medisance,maldicenza,murmurar,murmurarea
felicitacoes,congratulations,felicidades,toutes nos felicitations,congratulazioni,parabens,felicitari
sadico,sadist,sadico,sadique,sadico,sadico,sadic
talarico,talaric,talarico,talarique,talarico,talarico,talaric
fosse,were,eran,etaient,erano,foron,au fost
penhor,pledge,promesa,gage,impegno,prenda,angajament
torpe,clumsy,torpe,maladroit,goffo,torpe,neindemanatic
consolidar,consolidate,consolidar,consolider,consolidare,consolidar,consolida
fomentar,foment,fomentar,fomenter,fomentare,fomentar,fomenteaza
insignificante,insignificant,insignificante,insignifiant,insignificante,insignificante,nesemnificativ
indole,nature,naturaleza,nature,natura,natureza,natura
demasiadamente,too much,demasiado,trop,troppo,demasiado,prea mult
auferir,earn,ganar,gagner,guadagnare,ganar,castiga
conjuntura,situation,situacion,situation,situazione,situacion,situatie
prerrogativa,prerogative,prerrogativa,prerogative,prerogativa,prerrogativa,prerogativa
concessionaria,concessionaire,concesionario,concessionnaire,concessionario,concesionaria,concesionar
dengo,dengo,dengo,dengo,dengo,dengo,dengo
acessibilidade,accessibility,accesibilidad,accessibilite,accessibilita,accesibilidade,accesibilitate
prosperidade,prosperity,prosperidad,prosperite,prosperita,prosperidade,prosperitate
for,for,para,pour,per,para,pentru
asa,wing,ala,aile,ala,a,aripa
pusilanimidade,pusillanimity,pusilanimidad,pusillanimite,pusillanimita,pusilanimidade,frica
uma,one,uno,un,uno,un,unu
deliberacao,release,liberar,liberer,pubblicazione,liberar,eliberare
singular,singular,singular,singulier,singolare,singular,singular
candura,candor,candor,candeur,candore,candor,candoare
emergir,emerge,surgir,emerger,emergere,xurdir,apar
saber,to know,saber,savoir,sapere,saber,a sti
exito,success,exito,succes,successo,exito,succes
