es,gl,Alignment Score
rio,rio,0.0
resuelto,resolto,0.1428571428571429
excentrico,excentrico,0.0
exotico,exotico,0.0
hermeneutica,hermeneutica,0.0
escatologico,escatoloxico,0.07777777777777772
necesario,necesario,0.0
clima,tempo,0.6933333333333334
metodico,metodico,0.0
sublime,sublime,0.0
vocabulario,vocabulario,0.0
probatorio,probatoria,0.09333333333333327
consecuencia,consecuencia,0.0
casual,casual,0.0
subjetivo,subxectivo,0.11851851851851858
prejuicio,prexuizo,0.2416666666666667
inconmensurable,inconmensurable,0.0
madurez,madurez,0.0
condolencias,condolencias,0.0
activista,activista,0.0
voz,voz,0.0
inexorable,inexorable,0.0
desaparecido,ido,0.2222222222222222
integridad,integridade,0.013333333333333308
poco escrupuloso,sen escrupulos,0.19523809523809532
habito,habito,0.0
consideracion,consideracion,0.0
apendice,apex,0.30000000000000016
idilico,idilico,0.0
jubilo,xubilo,0.15555555555555556
remision,remision,0.0
extension,extension,0.0
amistad,amizade,0.2571428571428571
incipiente,incipiente,0.0
de acuerdo,ok,0.7333333333333334
meta,obxectivo,0.5666666666666667
urgir,urxe,0.45000000000000007
accion,accion,0.0
abstenerse,absterse,0.025000000000000022
etnicidad,etnia,0.08000000000000007
afirmar,reclamacion,0.5333333333333334
altruismo,altruismo,0.0
diseno,deseno,0.15555555555555556
incontinencia,incontinencia,0.0
exencion,exencion,0.0
gracia,graza,0.19999999999999996
quimera,quimera,0.0
hoy en dia,hoxe en dia,0.09999999999999998
bocadillos,empanadas,0.5703703703703704
provisionado,aprovisionado,0.011111111111111072
monotono,monotono,0.0
personificacion,personificacion,0.0
odiar,odio,0.25
malo,malo,0.0
utilidad,axuda,0.4
escrutinio,escrutinio,0.0
adyacente,adxacentes,0.11851851851851858
voluntad,vontade,0.1428571428571429
pragmatico,pragmatico,0.0
interurbano,interurbano,0.0
independiente,independente,0.011111111111111072
semejante,tal,0.7333333333333334
audacia,audacia,0.0
cuyo,cuxo,0.2333333333333334
mutual,mutuo,0.19999999999999996
camino,camino,0.0
solemne,solemne,0.0
adorno,adorno,0.0
cronograma,horario,0.5333333333333334
beneficencia,beneficencia,0.0
mofa,burla,0.6499999999999999
inescrutable,inescrutable,0.0
coercion,coaccion,0.21666666666666667
antagonista,antagonista,0.0
a traves de,a traves,0.033333333333333215
discurso,discurso,0.0
superfluo,superfluo,0.0
diseminar,difundir,0.43333333333333335
indolencia,indolencia,0.0
cognitivo,cognitivo,0.0
malo,malo,0.0
esperanza,esperanza,0.0
susceptible,susceptibles,0.012121212121212088
intervencion,intervencion,0.0
casualidad,serendipia,0.5933333333333334
identificacion,identificacion,0.0
adecuado,axeitado,0.33333333333333337
cosecha,colleita,0.39047619047619053
murmuracion,murmurar,0.1416666666666666
felicidades,parabens,0.5666666666666667
sadico,sadico,0.0
talarico,talarico,0.0
eran,foron,0.4833333333333334
promesa,prenda,0.3111111111111112
torpe,torpe,0.0
consolidar,consolidar,0.0
fomentar,fomentar,0.0
insignificante,insignificante,0.0
naturaleza,natureza,0.025000000000000022
demasiado,demasiado,0.0
ganar,ganar,0.0
situacion,situacion,0.0
prerrogativa,prerrogativa,0.0
concesionario,concesionaria,0.07179487179487176
dengo,dengo,0.0
accesibilidad,accesibilidade,0.01025641025641022
prosperidad,prosperidade,0.012121212121212088
para,para,0.0
ala,a,0.20000000000000007
pusilanimidad,pusilanimidade,0.01025641025641022
uno,un,0.06666666666666676
liberar,liberar,0.0
singular,singular,0.0
candor,candor,0.0
surgir,xurdir,0.3111111111111111
saber,saber,0.0
exito,exito,0.0
insignificante,mesquino,0.6000000000000001
indiferencia,indiferenza,0.09090909090909083
