en,fr,Alignment Score
river,riviere,0.053333333333333344
resolute,resolu,0.03333333333333344
eccentric,excentrique,0.2222222222222222
exotic,exotique,0.1777777777777777
hermeneutics,hermeneutiques,0.0888888888888888
eschatological,eschatologique,0.18095238095238086
necessary,necessaire,0.11851851851851858
weather,meteo,0.42666666666666664
methodical,methodique,0.2533333333333333
sublime,sublime,0.0
vocabulary,vocabulaire,0.10666666666666658
evidentiary,preuve,0.5
consequence,consequence,0.0
casual,occasionnel,0.3555555555555556
subjective,subjectif,0.11111111111111116
prejudice,prejuge,0.1523809523809524
immeasurable,incommensurable,0.10000000000000009
maturity,maturite,0.1166666666666667
condolences,condoleances,0.012121212121212088
activist,activiste,0.016666666666666607
voice,voix,0.25
inexorable,inexorable,0.0
gone,disparu,0.8833333333333334
integrity,integrite,0.10370370370370374
unscrupulous,sans scrupules,0.23888888888888893
habit,habitude,0.05333333333333323
consideration,consideration,0.0
apex,sommet,0.7
idyllic,idyllique,0.1523809523809524
jubilation,jubilation,0.0
remission,remise,0.18888888888888877
extension,extension,0.0
friendship,amitie,0.6111111111111112
incipient,naissant,0.45000000000000007
ok,d'accord,0.7
goal,but,0.8666666666666667
urge,exhorter,0.55
action,action,0.0
abstain,abstention,0.17142857142857149
ethnicity,appartenance ethnique,0.4666666666666667
claim,reclamer,0.2400000000000001
altruism,altruisme,0.016666666666666607
design,conception,0.5111111111111112
incontinence,incontinence,0.0
exemption,exemption,0.0
grace,la grace,0.053333333333333344
chimera,chimere,0.13333333333333341
nowadays,aujourd'hui,0.6583333333333334
munchies,grignotines,0.4666666666666667
provisioned,provisionne,0.08484848484848473
monotonous,monotone,0.1333333333333333
personification,personnification,0.008888888888888835
hate,detester,0.5166666666666666
bad,mauvais,0.7111111111111111
helpfulness,obligeance,0.6
scrutiny,examen minutieux,0.6000000000000001
adjacent,adjacent,0.0
will,volonte,0.7
pragmatic,pragmatique,0.11851851851851847
intercity,interurbain,0.311111111111111
independent,independant,0.08484848484848484
such,tel,0.8666666666666667
audacity,audace,0.1777777777777777
whose,dont,0.6833333333333333
mutual,mutuel,0.15555555555555556
path,chemin,0.6833333333333333
solemn,solennel,0.1777777777777777
adornment,ornement,0.125
schedule,calendrier,0.4750000000000001
beneficence,bienfaisance,0.25454545454545463
mockery,moquerie,0.39047619047619053
inscrutable,impenetrable,0.3212121212121213
coercion,coercition,0.025000000000000022
antagonist,antagoniste,0.013333333333333308
through,a travers,0.6285714285714286
discourse,discours,0.016666666666666607
superfluous,superflu,0.033333333333333215
disseminate,disseminer,0.09999999999999998
indolence,indolence,0.0
cognitive,cognitif,0.125
bad,mauvais,0.7111111111111111
hope,espoir,0.6666666666666667
susceptible,sensible,0.25
intervention,intervention,0.0
serendipity,hasard,0.5111111111111112
identification,identification,0.0
suitable,approprie,0.6333333333333333
harvest,recolte,0.5047619047619047
backbiting,medisance,0.6666666666666667
congratulations,toutes nos felicitations,0.37777777777777777
sadist,sadique,0.30000000000000016
talaric,talarique,0.1523809523809524
were,etaient,0.5166666666666666
pledge,gage,0.4666666666666667
clumsy,maladroit,0.7333333333333334
consolidate,consolider,0.09999999999999998
foment,fomenter,0.03333333333333344
insignificant,insignifiant,0.011111111111111072
nature,nature,0.0
too much,trop,0.5166666666666668
earn,gagner,0.4833333333333334
situation,situation,0.0
prerogative,prerogative,0.0
concessionaire,concessionnaire,0.00952380952380949
dengo,dengo,0.0
accessibility,accessibilite,0.07179487179487176
prosperity,prosperite,0.09333333333333327
for,pour,0.3555555555555556
wing,aile,0.6666666666666667
pusillanimity,pusillanimite,0.07179487179487176
one,un,0.5333333333333334
release,liberer,0.5047619047619047
singular,singulier,0.125
candor,candeur,0.16666666666666663
emerge,emerger,0.022222222222222143
to know,savoir,0.7222222222222222
success,succes,0.022222222222222143
petty,petit,0.18666666666666676
indifference,indifference,0.0
