pt,gl,Alignment Score
rio,rio,0.0
resoluto,resolto,0.01904761904761898
excentrico,excentrico,0.0
exotico,exotico,0.0
hermeneutica,hermeneutica,0.0
escatologico,escatoloxico,0.07777777777777772
necessario,necesario,0.014814814814814725
intemperie,tempo,0.2666666666666667
metodico,metodico,0.0
sublime,sublime,0.0
vocabulario,vocabulario,0.0
comprobatorio,probatoria,0.11999999999999988
consequencia,consecuencia,0.07777777777777772
casual,casual,0.0
subjetivo,subxectivo,0.11851851851851858
preconceito,prexuizo,0.3583333333333334
incomensuravel,inconmensurable,0.13809523809523805
maturidade,madurez,0.2952380952380953
pesames,condolencias,0.5523809523809524
ativista,activista,0.016666666666666607
voz,voz,0.0
inexoravel,inexorable,0.17999999999999994
ido,ido,0.0
integridade,integridade,0.0
inescrupuloso,sen escrupulos,0.14871794871794863
habito,habito,0.0
consideracao,consideracion,0.0888888888888888
apice,apex,0.25
idilico,idilico,0.0
jubilo,xubilo,0.15555555555555556
remissao,remision,0.22499999999999998
extensao,extension,0.13333333333333341
amizade,amizade,0.0
incipiente,incipiente,0.0
vale,ok,0.9333333333333333
finalidade,obxectivo,0.7407407407407407
exortar,urxe,0.6833333333333333
acao,accion,0.2833333333333333
abster,absterse,0.03333333333333344
etnia,etnia,0.0
reivindicacao,reclamacion,0.4060606060606061
altruismo,altruismo,0.0
designio,deseno,0.188888888888889
incontinencia,incontinencia,0.0
isencao,exencion,0.4
graca,graza,0.18666666666666676
quimera,quimera,0.0
hodiernamente,hoxe en dia,0.4666666666666668
larica,empanadas,0.6222222222222222
aprovisionado,aprovisionado,0.0
monotono,monotono,0.0
personificacao,personificacion,0.07619047619047614
odio,odio,0.0
ruim,malo,0.6333333333333333
prestatividade,axuda,0.4933333333333334
escrutinio,escrutinio,0.0
adjacente,adxacentes,0.11851851851851858
ira,vontade,0.6888888888888889
pragmatico,pragmatico,0.0
intermunicipal,interurbano,0.33333333333333326
independente,independente,0.0
tal,tal,0.0
audacia,audacia,0.0
cujo,cuxo,0.2333333333333334
mutuo,mutuo,0.0
vereda,camino,0.7
solene,solemne,0.022222222222222143
adorno,adorno,0.0
pauta,horario,0.7066666666666667
beneficencia,beneficencia,0.0
escarnio,burla,0.72
inescrutavel,inescrutable,0.1499999999999999
coercitividade,coaccion,0.4833333333333334
antagonista,antagonista,0.0
mediante,a traves,0.5416666666666667
discorrer,discurso,0.32499999999999984
superfluo,superfluo,0.0
disseminar,difundir,0.44166666666666676
indolencia,indolencia,0.0
cognitivo,cognitivo,0.0
mau,malo,0.33333333333333337
esperanca,esperanza,0.10370370370370374
suscetivel,susceptibles,0.19999999999999996
intervencao,intervencion,0.09696969696969682
serendipidade,serendipia,0.033333333333333215
identificacao,identificacion,0.08205128205128198
idoneo,axeitado,0.4555555555555555
seara,colleita,0.5733333333333334
maledicencia,murmurar,0.6583333333333334
felicitacoes,parabens,0.575
sadico,sadico,0.0
talarico,talarico,0.0
fosse,foron,0.5066666666666667
penhor,prenda,0.43333333333333335
torpe,torpe,0.0
consolidar,consolidar,0.0
fomentar,fomentar,0.0
insignificante,insignificante,0.0
indole,natureza,0.6000000000000001
demasiadamente,demasiado,0.1407407407407406
auferir,ganar,0.5333333333333333
conjuntura,situacion,0.562962962962963
prerrogativa,prerrogativa,0.0
concessionaria,concesionaria,0.01025641025641022
dengo,dengo,0.0
acessibilidade,accesibilidade,0.06666666666666665
prosperidade,prosperidade,0.0
for,para,0.6222222222222222
asa,a,0.20000000000000007
pusilanimidade,pusilanimidade,0.0
uma,un,0.5
deliberacao,liberar,0.18095238095238086
singular,singular,0.0
candura,candor,0.1777777777777778
emergir,xurdir,0.4555555555555555
saber,saber,0.0
exito,exito,0.0
mesquinho,mesquino,0.016666666666666607
indiferenca,indiferenza,0.08484848484848473
