fr,ro,Alignment Score
riviere,rau,0.6666666666666667
resolu,hotarat,0.7111111111111111
excentrique,excentric,0.11851851851851847
exotique,exotic,0.1777777777777777
hermeneutiques,hermeneutica,0.15555555555555545
eschatologique,eshatologic,0.1090909090909089
necessaire,necesar,0.05714285714285727
meteo,vreme,0.5066666666666666
methodique,metodic,0.17142857142857149
sublime,sublim,0.022222222222222143
vocabulaire,vocabular,0.02962962962962956
preuve,probatorie,0.4666666666666667
consequence,consecinta,0.34666666666666657
occasionnel,casual,0.3555555555555556
subjectif,subiectiv,0.20740740740740748
prejuge,prejudecata,0.18095238095238086
incommensurable,nemasurata,0.3933333333333332
maturite,maturitate,0.025000000000000022
condoleances,condoleante,0.09696969696969682
activiste,activist,0.016666666666666607
voix,voce,0.43333333333333335
inexorable,inexorabil,0.09333333333333327
disparu,plecat,0.5888888888888889
integrite,integritate,0.022222222222222254
sans scrupules,lipsit de scrupule,0.2666666666666666
habitude,obicei,0.47777777777777775
consideration,considerare,0.16969696969696957
sommet,apex,0.7
idyllique,idilic,0.34444444444444455
jubilation,jubilare,0.23333333333333328
remise,iertare,0.5666666666666667
extension,extensie,0.125
amitie,prietenie,0.34444444444444444
naissant,incipient,0.45000000000000007
d'accord,bine,0.9
but,poarta,0.6666666666666667
exhorter,indemn,0.7222222222222222
action,actiune,0.1777777777777778
abstention,se abtine,0.3925925925925926
appartenance ethnique,etnie,0.2533333333333334
reclamer,revendicare,0.3583333333333334
altruisme,altruism,0.016666666666666607
conception,proiecta,0.575
incontinence,incontinenta,0.14444444444444438
exemption,scutire,0.6285714285714286
la grace,gratie,0.3222222222222223
chimere,himera,0.1777777777777778
aujourd'hui,in zilele de azi,0.703030303030303
grignotines,gustari,0.5142857142857143
provisionne,furnizate,0.5777777777777778
monotone,monoton,0.01904761904761898
personnification,personificare,0.15384615384615363
detester,ura,0.711111111111111
mauvais,rau,0.4222222222222223
obligeance,utilitate,0.49629629629629635
examen minutieux,examinare,0.2592592592592593
adjacent,adiacent,0.1166666666666667
volonte,voi,0.4
pragmatique,pragmatic,0.11851851851851847
interurbain,intercity,0.311111111111111
independant,independent,0.08484848484848484
tel,astfel de,0.20000000000000007
audace,indrazneala,0.5222222222222223
dont,a caror,0.7166666666666668
mutuel,reciproc,0.7333333333333334
chemin,cale,0.4833333333333334
solennel,solemn,0.1777777777777777
ornement,podoaba,0.7238095238095238
calendrier,programa,0.6583333333333334
bienfaisance,binefacere,0.2799999999999999
moquerie,bataie de joc,0.6666666666666667
impenetrable,inscrutabil,0.406060606060606
coercition,constrangere,0.5133333333333334
antagoniste,antagonist,0.013333333333333308
a travers,prin,0.75
discours,discurs,0.01904761904761898
superflu,de prisos,0.6499999999999999
disseminer,diseminati,0.2599999999999999
indolence,indolenta,0.19259259259259254
cognitif,cognitive,0.125
mauvais,rau,0.4222222222222223
espoir,speranta,0.4666666666666668
sensible,susceptibil,0.3666666666666667
intervention,interventie,0.09090909090909083
hasard,noroc,0.7066666666666668
identification,identificare,0.15555555555555545
approprie,potrivit,0.45833333333333337
recolte,recolta,0.13333333333333341
medisance,murmurarea,0.562962962962963
toutes nos felicitations,felicitari,0.19999999999999996
sadique,sadic,0.21333333333333337
talarique,talaric,0.1523809523809524
etaient,au fost,0.6
gage,angajament,0.3666666666666667
maladroit,neindemanatic,0.5111111111111111
consolider,consolida,0.11111111111111116
fomenter,fomenteaza,0.1333333333333333
insignifiant,nesemnificativ,0.31666666666666665
nature,natura,0.15555555555555556
trop,prea mult,0.7166666666666667
gagner,castiga,0.5666666666666667
situation,situatie,0.125
prerogative,prerogativa,0.08484848484848473
concessionnaire,concesionar,0.04848484848484835
dengo,dengo,0.0
accessibilite,accesibilitate,0.07692307692307687
prosperite,prosperitate,0.019999999999999907
pour,pentru,0.4833333333333334
aile,aripa,0.4666666666666667
pusillanimite,frica,0.6533333333333333
un,unu,0.06666666666666676
liberer,eliberare,0.16190476190476188
singulier,singular,0.125
candeur,candoare,0.2571428571428571
emerger,apar,0.6833333333333333
savoir,a sti,0.5466666666666666
succes,succes,0.0
petit,mic,0.6666666666666667
indifference,indiferenta,0.16969696969696957
