es,fr,Alignment Score
rio,riviere,0.4
resuelto,resolu,0.3111111111111112
excentrico,excentrique,0.17999999999999994
exotico,exotique,0.2571428571428571
hermeneutica,hermeneutiques,0.15555555555555545
escatologico,eschatologique,0.16111111111111098
necesario,necessaire,0.2148148148148148
clima,meteo,0.6799999999999999
metodico,methodique,0.24166666666666659
sublime,sublime,0.0
vocabulario,vocabulaire,0.16363636363636347
probatorio,preuve,0.6000000000000001
consecuencia,consequence,0.17575757575757567
casual,occasionnel,0.3555555555555556
subjetivo,subjectif,0.19999999999999996
prejuicio,prejuge,0.2666666666666666
inconmensurable,incommensurable,0.06222222222222218
madurez,maturite,0.2761904761904762
condolencias,condoleances,0.1499999999999999
activista,activiste,0.10370370370370374
voz,voix,0.33333333333333337
inexorable,inexorable,0.0
desaparecido,disparu,0.32380952380952377
integridad,integrite,0.19999999999999996
poco escrupuloso,sans scrupules,0.3238095238095239
habito,habitude,0.1777777777777777
consideracion,consideration,0.07179487179487176
apendice,sommet,0.7222222222222223
idilico,idyllique,0.40000000000000013
jubilo,jubilation,0.06666666666666665
remision,remise,0.1777777777777777
extension,extension,0.0
amistad,amitie,0.3111111111111112
incipiente,naissant,0.4666666666666667
de acuerdo,d'accord,0.3583333333333334
meta,but,0.6222222222222222
urgir,exhorter,0.5733333333333334
accion,action,0.15555555555555556
abstenerse,abstention,0.33333333333333326
etnicidad,appartenance ethnique,0.562962962962963
afirmar,reclamer,0.5047619047619049
altruismo,altruisme,0.10370370370370374
diseno,conception,0.6222222222222222
incontinencia,incontinence,0.08333333333333337
exencion,exemption,0.2250000000000001
gracia,la grace,0.3222222222222223
quimera,chimere,0.38095238095238093
hoy en dia,aujourd'hui,0.6066666666666667
bocadillos,grignotines,0.6
provisionado,provisionne,0.16363636363636347
monotono,monotone,0.1166666666666667
personificacion,personnification,0.07111111111111101
odiar,detester,0.56
malo,mauvais,0.4833333333333334
utilidad,obligeance,0.5666666666666667
escrutinio,examen minutieux,0.5466666666666666
adyacente,adjacent,0.13333333333333341
voluntad,volonte,0.2761904761904762
pragmatico,pragmatique,0.17999999999999994
interurbano,interurbain,0.08484848484848473
independiente,independant,0.10303030303030303
semejante,tel,0.44444444444444453
audacia,audace,0.16666666666666663
cuyo,dont,0.6500000000000001
mutual,mutuel,0.15555555555555556
camino,chemin,0.30000000000000004
solemne,solennel,0.1523809523809525
adorno,ornement,0.4555555555555556
cronograma,calendrier,0.5866666666666667
beneficencia,bienfaisance,0.36111111111111116
mofa,moquerie,0.5
inescrutable,impenetrable,0.28333333333333344
coercion,coercition,0.025000000000000022
antagonista,antagoniste,0.08484848484848473
a traves de,a travers,0.11851851851851847
discurso,discours,0.1166666666666667
superfluo,superflu,0.016666666666666607
diseminar,disseminer,0.11851851851851858
indolencia,indolence,0.11111111111111116
cognitivo,cognitif,0.125
malo,mauvais,0.4833333333333334
esperanza,espoir,0.3333333333333335
susceptible,sensible,0.25
intervencion,intervention,0.07777777777777772
casualidad,hasard,0.3555555555555556
identificacion,identification,0.06666666666666665
adecuado,approprie,0.6333333333333333
cosecha,recolte,0.49523809523809526
murmuracion,medisance,0.5777777777777777
felicidades,toutes nos felicitations,0.32727272727272716
sadico,sadique,0.30000000000000016
talarico,talarique,0.22499999999999998
eran,etaient,0.31666666666666676
promesa,gage,0.7
torpe,maladroit,0.72
consolidar,consolider,0.09333333333333338
fomentar,fomenter,0.1166666666666667
insignificante,insignifiant,0.022222222222222143
naturaleza,nature,0.06666666666666665
demasiado,trop,0.7333333333333334
ganar,gagner,0.21333333333333337
situacion,situation,0.10370370370370374
prerrogativa,prerogative,0.09696969696969682
concesionario,concessionnaire,0.15897435897435863
dengo,dengo,0.0
accesibilidad,accessibilite,0.19999999999999984
prosperidad,prosperite,0.17999999999999994
para,pour,0.45000000000000007
ala,aile,0.3555555555555556
pusilanimidad,pusillanimite,0.19999999999999984
uno,un,0.06666666666666676
liberar,liberer,0.13333333333333341
singular,singulier,0.125
candor,candeur,0.16666666666666663
surgir,emerger,0.4555555555555555
saber,savoir,0.36
exito,succes,0.6933333333333334
insignificante,petit,0.64
indiferencia,indifference,0.1499999999999999
