it,ro,Alignment Score
fiume,rau,0.6444444444444445
risoluto,hotarat,0.6190476190476191
eccentrico,excentric,0.11851851851851858
esotico,exotic,0.1777777777777778
ermeneutica,hermeneutica,0.012121212121212088
escatologico,eshatologic,0.09696969696969693
necessario,necesar,0.04761904761904767
tempo atmosferico,vreme,0.5333333333333333
metodico,metodic,0.01904761904761898
sublime,sublim,0.022222222222222143
vocabolario,vocabular,0.12592592592592589
probatorio,probatorie,0.09333333333333327
conseguenza,consecinta,0.2733333333333333
casuale,casual,0.022222222222222143
soggettivo,subiectiv,0.4
pregiudizio,prejudecata,0.4606060606060606
incommensurabile,nemasurata,0.4
scadenza,maturitate,0.6583333333333334
condoglianze,condoleante,0.18181818181818177
attivista,activist,0.13333333333333341
voce,voce,0.0
inesorabile,inexorabil,0.10666666666666669
andato,plecat,0.5666666666666667
integrita,integritate,0.022222222222222143
senza scrupoli,lipsit de scrupule,0.3380952380952381
abitudine,obicei,0.48888888888888893
considerazione,considerare,0.10303030303030292
apice,apex,0.25
idilliaco,idilic,0.06666666666666687
giubilo,jubilare,0.39047619047619053
remissione,iertare,0.6190476190476191
estensione,extensie,0.1416666666666666
amicizia,prietenie,0.6583333333333334
nascente,incipient,0.3416666666666667
ok,bine,0.9333333333333333
obiettivo,poarta,0.6222222222222222
sollecitare,indemn,0.6333333333333333
azione,actiune,0.3222222222222223
astenersi,se abtine,0.4740740740740741
etnia,etnie,0.18666666666666676
reclamo,revendicare,0.4190476190476191
altruismo,altruism,0.016666666666666607
progetto,proiecta,0.3416666666666667
incontinenza,incontinenta,0.07777777777777772
esenzione,scutire,0.5238095238095238
adornare,gratie,0.47777777777777786
chimera,himera,0.022222222222222143
al giorno d'oggi,in zilele de azi,0.575
munchies,gustari,0.6190476190476191
fornito,furnizate,0.2952380952380954
monotono,monoton,0.01904761904761898
personificazione,personificare,0.08717948717948698
odio,ura,0.8666666666666667
cattivo,rau,0.7111111111111111
disponibilita,utilitate,0.40740740740740744
scrutinio,examinare,0.6518518518518519
adiacente,adiacent,0.016666666666666607
volere,voi,0.37777777777777777
pragmatico,pragmatic,0.014814814814814725
interurbano,intercity,0.3851851851851852
indipendente,independent,0.09696969696969693
come,astfel de,0.7166666666666668
audacia,indrazneala,0.5428571428571429
di chi,a caror,0.5888888888888888
reciproco,reciproc,0.016666666666666607
sentiero,cale,0.7166666666666667
solenne,solemn,0.16666666666666663
ornamento,podoaba,0.6285714285714286
programma,programa,0.016666666666666607
beneficenza,binefacere,0.3666666666666667
beffa,bataie de joc,0.6133333333333333
imperscrutabile,inscrutabil,0.11515151515151512
coercizione,constrangere,0.4545454545454547
antagonista,antagonist,0.013333333333333308
attraverso,prin,0.7666666666666667
discorso,discurs,0.1523809523809525
superfluo,de prisos,0.5777777777777777
diffondere,diseminati,0.5800000000000001
indolenza,indolenta,0.10370370370370374
cognitivo,cognitive,0.10370370370370374
cattivo,rau,0.7111111111111111
speranza,speranta,0.1166666666666667
suscettibile,susceptibil,0.09696969696969693
intervento,interventie,0.09999999999999987
serendipita,noroc,0.76
identificazione,identificare,0.09444444444444422
adatto,potrivit,0.6000000000000001
raccolto,recolta,0.2761904761904762
maldicenza,murmurarea,0.5066666666666666
congratulazioni,felicitari,0.5533333333333335
sadico,sadic,0.026666666666666727
talarico,talaric,0.01904761904761898
erano,au fost,0.56
impegno,angajament,0.5428571428571429
goffo,neindemanatic,0.9333333333333333
consolidare,consolida,0.022222222222222143
fomentare,fomenteaza,0.19999999999999996
insignificante,nesemnificativ,0.319047619047619
natura,natura,0.0
troppo,prea mult,0.7222222222222222
guadagnare,castiga,0.5333333333333334
situazione,situatie,0.1416666666666666
prerogativa,prerogativa,0.0
concessionario,concesionar,0.030303030303030276
dengo,dengo,0.0
accessibilita,accesibilitate,0.07692307692307687
prosperita,prosperitate,0.019999999999999907
per,pentru,0.11111111111111116
ala,aripa,0.3555555555555556
pusillanimita,frica,0.6399999999999999
uno,unu,0.3111111111111111
pubblicazione,eliberare,0.5185185185185186
singolare,singular,0.13333333333333341
candore,candoare,0.01904761904761898
emergere,apar,0.7166666666666667
sapere,a sti,0.6933333333333334
successo,succes,0.03333333333333344
trascurabile,mic,0.8
indifferenza,indiferenta,0.09696969696969682
