fr,gl,Alignment Score
riviere,rio,0.4
resolu,resolto,0.16666666666666663
excentrique,excentrico,0.17999999999999994
exotique,exotico,0.2571428571428571
hermeneutiques,hermeneutica,0.15555555555555545
eschatologique,escatoloxico,0.23888888888888893
necessaire,necesario,0.2148148148148148
meteo,tempo,0.34666666666666657
methodique,metodico,0.24166666666666659
sublime,sublime,0.0
vocabulaire,vocabulario,0.16363636363636347
preuve,probatoria,0.6000000000000001
consequence,consecuencia,0.17575757575757567
occasionnel,casual,0.3555555555555556
subjectif,subxectivo,0.2148148148148148
prejuge,prexuizo,0.39047619047619064
incommensurable,inconmensurable,0.06222222222222218
maturite,madurez,0.2761904761904762
condoleances,condolencias,0.1499999999999999
activiste,activista,0.10370370370370374
voix,voz,0.33333333333333337
inexorable,inexorable,0.0
disparu,ido,0.6888888888888889
integrite,integridade,0.11851851851851847
sans scrupules,sen escrupulos,0.19999999999999996
habitude,habito,0.1777777777777777
consideration,consideracion,0.07179487179487176
sommet,apex,0.7
idyllique,idilico,0.40000000000000013
jubilation,xubilo,0.22222222222222232
remise,remision,0.1777777777777777
extension,extension,0.0
amitie,amizade,0.30000000000000004
naissant,incipiente,0.4666666666666667
d'accord,ok,0.7
but,obxectivo,0.48888888888888893
exhorter,urxe,0.5333333333333334
action,accion,0.15555555555555556
abstention,absterse,0.33333333333333315
appartenance ethnique,etnia,0.42666666666666664
reclamer,reclamacion,0.24166666666666659
altruisme,altruismo,0.10370370370370374
conception,deseno,0.6222222222222222
incontinence,incontinencia,0.08333333333333337
exemption,exencion,0.2250000000000001
la grace,graza,0.4
chimere,quimera,0.38095238095238093
aujourd'hui,hoxe en dia,0.6181818181818182
grignotines,empanadas,0.6518518518518519
provisionne,aprovisionado,0.17575757575757556
monotone,monotono,0.1166666666666667
personnification,personificacion,0.07111111111111101
detester,odio,0.7166666666666668
mauvais,malo,0.4833333333333334
obligeance,axuda,0.7466666666666667
examen minutieux,escrutinio,0.5466666666666666
adjacent,adxacentes,0.1416666666666666
volonte,vontade,0.24761904761904763
pragmatique,pragmatico,0.17999999999999994
interurbain,interurbano,0.08484848484848473
independant,independente,0.09696969696969693
tel,tal,0.3111111111111112
audace,audacia,0.16666666666666663
dont,cuxo,0.6500000000000001
mutuel,mutuo,0.19999999999999996
chemin,camino,0.30000000000000004
solennel,solemne,0.1523809523809525
ornement,adorno,0.4555555555555556
calendrier,horario,0.5333333333333333
bienfaisance,beneficencia,0.36111111111111116
moquerie,burla,0.5866666666666667
impenetrable,inescrutable,0.28333333333333344
coercition,coaccion,0.2416666666666667
antagoniste,antagonista,0.08484848484848473
a travers,a traves,0.016666666666666607
discours,discurso,0.1166666666666667
superflu,superfluo,0.016666666666666607
disseminer,difundir,0.44166666666666676
indolence,indolencia,0.11111111111111116
cognitif,cognitivo,0.125
mauvais,malo,0.4833333333333334
espoir,esperanza,0.3333333333333335
sensible,susceptibles,0.2666666666666666
intervention,intervencion,0.07777777777777772
hasard,serendipia,0.5
identification,identificacion,0.06666666666666665
approprie,axeitado,0.6333333333333333
recolte,colleita,0.39047619047619053
medisance,murmurar,0.6416666666666666
toutes nos felicitations,parabens,0.6583333333333334
sadique,sadico,0.30000000000000016
talarique,talarico,0.22499999999999998
etaient,foron,0.7066666666666668
gage,prenda,0.6833333333333333
maladroit,torpe,0.72
consolider,consolidar,0.09333333333333338
fomenter,fomentar,0.1166666666666667
insignifiant,insignificante,0.022222222222222143
nature,natureza,0.03333333333333344
trop,demasiado,0.7333333333333334
gagner,ganar,0.21333333333333337
situation,situacion,0.10370370370370374
prerogative,prerrogativa,0.09696969696969682
concessionnaire,concesionaria,0.15897435897435863
dengo,dengo,0.0
accessibilite,accesibilidade,0.1435897435897434
prosperite,prosperidade,0.10666666666666669
pour,para,0.45000000000000007
aile,a,0.2666666666666666
pusillanimite,pusilanimidade,0.1435897435897434
un,un,0.0
liberer,liberar,0.13333333333333341
singulier,singular,0.125
candeur,candor,0.16666666666666663
emerger,xurdir,0.5888888888888889
savoir,saber,0.36
succes,exito,0.6933333333333334
petit,mesquino,0.6000000000000001
indifference,indiferenza,0.16969696969696957
