en,gl,Alignment Score
river,rio,0.3555555555555556
resolute,resolto,0.1523809523809525
eccentric,excentrico,0.11851851851851858
exotic,exotico,0.022222222222222143
hermeneutics,hermeneutica,0.07777777777777772
eschatological,escatoloxico,0.17222222222222217
necessary,necesario,0.19999999999999996
weather,tempo,0.56
methodical,metodico,0.1416666666666666
sublime,sublime,0.0
vocabulary,vocabulario,0.09999999999999987
evidentiary,probatoria,0.5933333333333334
consequence,consecuencia,0.17575757575757567
casual,casual,0.0
subjective,subxectivo,0.18666666666666676
prejudice,prexuizo,0.3500000000000001
immeasurable,inconmensurable,0.17222222222222228
maturity,madurez,0.39047619047619053
condolences,condolencias,0.09090909090909083
activist,activista,0.016666666666666607
voice,voz,0.3555555555555556
inexorable,inexorable,0.0
gone,ido,0.6222222222222222
integrity,integridade,0.20740740740740737
unscrupulous,sen escrupulos,0.16666666666666663
habit,habito,0.026666666666666727
consideration,consideracion,0.07179487179487176
apex,apex,0.0
idyllic,idilico,0.2571428571428571
jubilation,xubilo,0.22222222222222232
remission,remision,0.016666666666666607
extension,extension,0.0
friendship,amizade,0.638095238095238
incipient,incipiente,0.014814814814814725
ok,ok,0.0
goal,obxectivo,0.7333333333333334
urge,urxe,0.2333333333333334
action,accion,0.15555555555555556
abstain,absterse,0.37142857142857144
ethnicity,etnia,0.2533333333333334
claim,reclamacion,0.28
altruism,altruismo,0.016666666666666607
design,deseno,0.30000000000000016
incontinence,incontinencia,0.08333333333333337
exemption,exencion,0.2250000000000001
grace,graza,0.34666666666666657
chimera,quimera,0.24761904761904763
nowadays,hoxe en dia,0.5666666666666667
munchies,empanadas,0.55
provisioned,aprovisionado,0.1090909090909089
monotonous,monotono,0.025000000000000022
personification,personificacion,0.06222222222222218
hate,odio,0.8333333333333334
bad,malo,0.6444444444444445
helpfulness,axuda,0.7733333333333333
scrutiny,escrutinio,0.1416666666666666
adjacent,adxacentes,0.1416666666666666
will,vontade,0.8833333333333334
pragmatic,pragmatico,0.014814814814814725
intercity,interurbano,0.3851851851851852
independent,independente,0.012121212121212088
such,tal,0.8666666666666667
audacity,audacia,0.1428571428571429
whose,cuxo,0.6666666666666667
mutual,mutuo,0.19999999999999996
path,camino,0.7
solemn,solemne,0.022222222222222143
adornment,adorno,0.18888888888888877
schedule,horario,0.7238095238095238
beneficence,beneficencia,0.09090909090909083
mockery,burla,0.72
inscrutable,inescrutable,0.012121212121212088
coercion,coaccion,0.21666666666666667
antagonist,antagonista,0.013333333333333308
through,a traves,0.6190476190476191
discourse,discurso,0.13333333333333341
superfluous,superfluo,0.022222222222222143
disseminate,difundir,0.5583333333333333
indolence,indolencia,0.11111111111111116
cognitive,cognitivo,0.10370370370370374
bad,malo,0.6444444444444445
hope,esperanza,0.5333333333333334
susceptible,susceptibles,0.012121212121212088
intervention,intervencion,0.07777777777777772
serendipity,serendipia,0.09999999999999987
identification,identificacion,0.06666666666666665
suitable,axeitado,0.5333333333333334
harvest,colleita,0.6285714285714286
backbiting,murmurar,0.75
congratulations,parabens,0.4916666666666667
sadist,sadico,0.288888888888889
talaric,talarico,0.01904761904761898
were,foron,0.6833333333333333
pledge,prenda,0.4555555555555556
clumsy,torpe,0.8400000000000001
consolidate,consolidar,0.09999999999999987
foment,fomentar,0.03333333333333344
insignificant,insignificante,0.01025641025641022
nature,natureza,0.03333333333333344
too much,demasiado,0.7333333333333334
earn,ganar,0.4666666666666667
situation,situacion,0.10370370370370374
prerogative,prerrogativa,0.09696969696969682
concessionaire,concesionaria,0.14871794871794863
dengo,dengo,0.0
accessibility,accesibilidade,0.20512820512820495
prosperity,prosperidade,0.18666666666666665
for,para,0.6222222222222222
wing,a,1.1333333333333333
pusillanimity,pusilanimidade,0.20512820512820495
one,un,0.5333333333333334
release,liberar,0.5047619047619047
singular,singular,0.0
candor,candor,0.0
emerge,xurdir,0.7
to know,saber,0.8533333333333334
success,exito,0.7066666666666668
petty,mesquino,0.7333333333333334
indifference,indiferenza,0.16969696969696957
