pt,it,Alignment Score
rio,fiume,0.6666666666666667
resoluto,risoluto,0.1166666666666667
excentrico,eccentrico,0.09333333333333338
exotico,esotico,0.13333333333333341
hermeneutica,ermeneutica,0.012121212121212088
escatologico,escatologico,0.0
necessario,necessario,0.0
intemperie,tempo atmosferico,0.31333333333333335
metodico,metodico,0.0
sublime,sublime,0.0
vocabulario,vocabolario,0.08484848484848484
comprobatorio,probatorio,0.026666666666666727
consequencia,conseguenza,0.17575757575757578
casual,casuale,0.022222222222222143
subjetivo,soggettivo,0.2962962962962963
preconceito,pregiudizio,0.4545454545454547
incomensuravel,incommensurabile,0.14285714285714268
maturidade,scadenza,0.5416666666666667
pesames,condoglianze,0.6666666666666667
ativista,attivista,0.016666666666666607
voz,voce,0.33333333333333337
inexoravel,inesorabile,0.2799999999999999
ido,andato,0.4
integridade,integrita,0.12592592592592589
inescrupuloso,senza scrupoli,0.3999999999999999
habito,abitudine,0.3333333333333335
consideracao,considerazione,0.16111111111111098
apice,apice,0.0
idilico,idilliaco,0.03809523809523818
jubilo,giubilo,0.16666666666666663
remissao,remissione,0.1416666666666666
extensao,estensione,0.2583333333333334
amizade,amicizia,0.2666666666666666
incipiente,nascente,0.2416666666666667
vale,ok,0.9333333333333333
finalidade,obiettivo,0.6592592592592592
exortar,sollecitare,0.4190476190476191
acao,azione,0.4833333333333334
abster,astenersi,0.19999999999999996
etnia,etnia,0.0
reivindicacao,reclamo,0.3142857142857144
altruismo,altruismo,0.0
designio,progetto,0.6333333333333333
incontinencia,incontinenza,0.08333333333333337
isencao,esenzione,0.4095238095238096
graca,adornare,0.5733333333333334
quimera,chimera,0.24761904761904763
hodiernamente,al giorno d'oggi,0.6564102564102564
larica,munchies,0.7333333333333334
aprovisionado,fornito,0.5619047619047619
monotono,monotono,0.0
personificacao,personificazione,0.13809523809523805
odio,odio,0.0
ruim,cattivo,0.7166666666666668
prestatividade,disponibilita,0.6000000000000001
escrutinio,scrutinio,0.014814814814814725
adjacente,adiacente,0.10370370370370374
ira,volere,0.6888888888888889
pragmatico,pragmatico,0.0
intermunicipal,interurbano,0.33333333333333326
independente,indipendente,0.07777777777777772
tal,come,0.8666666666666667
audacia,audacia,0.0
cujo,di chi,0.6833333333333333
mutuo,reciproco,0.72
vereda,sentiero,0.6000000000000001
solene,solenne,0.022222222222222143
adorno,ornamento,0.3222222222222223
pauta,programma,0.41333333333333333
beneficencia,beneficenza,0.09090909090909083
escarnio,beffa,0.5733333333333334
inescrutavel,imperscrutabile,0.25
coercitividade,coercizione,0.2606060606060605
antagonista,antagonista,0.0
mediante,attraverso,0.55
discorrer,discorso,0.22499999999999998
superfluo,superfluo,0.0
disseminar,diffondere,0.5066666666666667
indolencia,indolenza,0.11111111111111116
cognitivo,cognitivo,0.0
mau,cattivo,0.7111111111111111
esperanca,speranza,0.13333333333333341
suscetivel,suscettibile,0.19333333333333325
intervencao,intervento,0.09999999999999998
serendipidade,serendipita,0.10303030303030292
identificacao,identificazione,0.14871794871794863
idoneo,adatto,0.5777777777777777
seara,raccolto,0.5466666666666666
maledicencia,maldicenza,0.11333333333333329
felicitacoes,congratulazioni,0.5944444444444444
sadico,sadico,0.0
talarico,talarico,0.0
fosse,erano,0.6666666666666667
penhor,impegno,0.3222222222222223
torpe,goffo,0.6799999999999999
consolidar,consolidare,0.013333333333333308
fomentar,fomentare,0.016666666666666607
insignificante,insignificante,0.0
indole,natura,0.7
demasiadamente,troppo,0.7888888888888889
auferir,guadagnare,0.6285714285714286
conjuntura,situazione,0.5866666666666667
prerrogativa,prerogativa,0.012121212121212088
concessionaria,concessionario,0.06666666666666665
dengo,dengo,0.0
acessibilidade,accessibilita,0.14871794871794863
prosperidade,prosperita,0.11333333333333329
for,per,0.5777777777777777
asa,ala,0.3111111111111112
pusilanimidade,pusillanimita,0.14871794871794863
uma,uno,0.5777777777777777
deliberacao,pubblicazione,0.47878787878787876
singular,singolare,0.13333333333333341
candura,candore,0.2666666666666667
emergir,emergere,0.1523809523809525
saber,sapere,0.21333333333333326
exito,successo,0.56
mesquinho,trascurabile,0.6074074074074074
indiferenca,indifferenza,0.09696969696969682
