en,es,Alignment Score
river,rio,0.3555555555555556
resolute,resuelto,0.32499999999999984
eccentric,excentrico,0.11851851851851858
exotic,exotico,0.022222222222222143
hermeneutics,hermeneutica,0.07777777777777772
eschatological,escatologico,0.09444444444444422
necessary,necesario,0.19999999999999996
weather,clima,0.7066666666666668
methodical,metodico,0.1416666666666666
sublime,sublime,0.0
vocabulary,vocabulario,0.09999999999999987
evidentiary,probatorio,0.6799999999999999
consequence,consecuencia,0.17575757575757567
casual,casual,0.0
subjective,subjetivo,0.11851851851851858
prejudice,prejuicio,0.19999999999999996
immeasurable,inconmensurable,0.17222222222222228
maturity,madurez,0.39047619047619053
condolences,condolencias,0.09090909090909083
activist,activista,0.016666666666666607
voice,voz,0.3555555555555556
inexorable,inexorable,0.0
gone,desaparecido,0.7833333333333333
integrity,integridad,0.19999999999999996
unscrupulous,poco escrupuloso,0.24444444444444446
habit,habito,0.026666666666666727
consideration,consideracion,0.07179487179487176
apex,apendice,0.30000000000000016
idyllic,idilico,0.2571428571428571
jubilation,jubilo,0.06666666666666665
remission,remision,0.016666666666666607
extension,extension,0.0
friendship,amistad,0.6476190476190476
incipient,incipiente,0.014814814814814725
ok,de acuerdo,0.7333333333333334
goal,meta,0.6499999999999999
urge,urgir,0.25
action,accion,0.15555555555555556
abstain,abstenerse,0.2857142857142856
ethnicity,etnicidad,0.28888888888888875
claim,afirmar,0.4
altruism,altruismo,0.016666666666666607
design,diseno,0.43333333333333335
incontinence,incontinencia,0.08333333333333337
exemption,exencion,0.2250000000000001
grace,gracia,0.19999999999999996
chimera,quimera,0.24761904761904763
nowadays,hoy en dia,0.5583333333333333
munchies,bocadillos,0.5666666666666667
provisioned,provisionado,0.09696969696969682
monotonous,monotono,0.025000000000000022
personification,personificacion,0.06222222222222218
hate,odiar,0.6833333333333333
bad,malo,0.6444444444444445
helpfulness,utilidad,0.6583333333333334
scrutiny,escrutinio,0.1416666666666666
adjacent,adyacente,0.13333333333333341
will,voluntad,0.7166666666666668
pragmatic,pragmatico,0.014814814814814725
intercity,interurbano,0.3851851851851852
independent,independiente,0.024242424242424176
such,semejante,0.7166666666666667
audacity,audacia,0.1428571428571429
whose,cuyo,0.6666666666666667
mutual,mutual,0.0
path,camino,0.7
solemn,solemne,0.022222222222222143
adornment,adorno,0.18888888888888877
schedule,cronograma,0.7416666666666667
beneficence,beneficencia,0.09090909090909083
mockery,mofa,0.4833333333333334
inscrutable,inescrutable,0.012121212121212088
coercion,coercion,0.0
antagonist,antagonista,0.013333333333333308
through,a traves de,0.6476190476190476
discourse,discurso,0.13333333333333341
superfluous,superfluo,0.022222222222222143
disseminate,diseminar,0.12592592592592589
indolence,indolencia,0.11111111111111116
cognitive,cognitivo,0.10370370370370374
bad,malo,0.6444444444444445
hope,esperanza,0.5333333333333334
susceptible,susceptible,0.0
intervention,intervencion,0.07777777777777772
serendipity,casualidad,0.6733333333333333
identification,identificacion,0.06666666666666665
suitable,adecuado,0.6333333333333333
harvest,cosecha,0.5904761904761905
backbiting,murmuracion,0.52
congratulations,felicidades,0.6303030303030304
sadist,sadico,0.288888888888889
talaric,talarico,0.01904761904761898
were,eran,0.45000000000000007
pledge,promesa,0.5777777777777777
clumsy,torpe,0.8400000000000001
consolidate,consolidar,0.09999999999999987
foment,fomentar,0.03333333333333344
insignificant,insignificante,0.01025641025641022
nature,naturaleza,0.06666666666666665
too much,demasiado,0.7333333333333334
earn,ganar,0.4666666666666667
situation,situacion,0.10370370370370374
prerogative,prerrogativa,0.09696969696969682
concessionaire,concesionario,0.14871794871794863
dengo,dengo,0.0
accessibility,accesibilidad,0.19999999999999984
prosperity,prosperidad,0.17999999999999994
for,para,0.6222222222222222
wing,ala,0.8666666666666667
pusillanimity,pusilanimidad,0.19999999999999984
one,uno,0.5777777777777777
release,liberar,0.5047619047619047
singular,singular,0.0
candor,candor,0.0
emerge,surgir,0.5777777777777777
to know,saber,0.8533333333333334
success,exito,0.7066666666666668
petty,insignificante,0.8
indifference,indiferencia,0.1499999999999999
