pt,es,Alignment Score
rio,rio,0.0
resoluto,resuelto,0.21666666666666679
excentrico,excentrico,0.0
exotico,exotico,0.0
hermeneutica,hermeneutica,0.0
escatologico,escatologico,0.0
necessario,necesario,0.014814814814814725
intemperie,clima,0.6
metodico,metodico,0.0
sublime,sublime,0.0
vocabulario,vocabulario,0.0
comprobatorio,probatorio,0.026666666666666727
consequencia,consecuencia,0.07777777777777772
casual,casual,0.0
subjetivo,subjetivo,0.0
preconceito,prejuicio,0.3037037037037038
incomensuravel,inconmensurable,0.13809523809523805
maturidade,madurez,0.2952380952380953
pesames,condolencias,0.5523809523809524
ativista,activista,0.016666666666666607
voz,voz,0.0
inexoravel,inexorable,0.17999999999999994
ido,desaparecido,0.2222222222222222
integridade,integridad,0.013333333333333308
inescrupuloso,poco escrupuloso,0.14871794871794863
habito,habito,0.0
consideracao,consideracion,0.0888888888888888
apice,apendice,0.053333333333333344
idilico,idilico,0.0
jubilo,jubilo,0.0
remissao,remision,0.22499999999999998
extensao,extension,0.13333333333333341
amizade,amistad,0.2571428571428571
incipiente,incipiente,0.0
vale,de acuerdo,0.5833333333333333
finalidade,meta,0.75
exortar,urgir,0.56
acao,accion,0.2833333333333333
abster,abstenerse,0.06666666666666665
etnia,etnicidad,0.08000000000000007
reivindicacao,afirmar,0.6761904761904762
altruismo,altruismo,0.0
designio,diseno,0.3222222222222223
incontinencia,incontinencia,0.0
isencao,exencion,0.4
graca,gracia,0.026666666666666727
quimera,quimera,0.0
hodiernamente,hoy en dia,0.44000000000000006
larica,bocadillos,0.6111111111111112
aprovisionado,provisionado,0.011111111111111072
monotono,monotono,0.0
personificacao,personificacion,0.07619047619047614
odio,odiar,0.25
ruim,malo,0.6333333333333333
prestatividade,utilidad,0.29166666666666663
escrutinio,escrutinio,0.0
adjacente,adyacente,0.10370370370370374
ira,voluntad,0.711111111111111
pragmatico,pragmatico,0.0
intermunicipal,interurbano,0.33333333333333326
independente,independiente,0.011111111111111072
tal,semejante,0.7333333333333334
audacia,audacia,0.0
cujo,cuyo,0.2333333333333334
mutuo,mutual,0.19999999999999996
vereda,camino,0.7
solene,solemne,0.022222222222222143
adorno,adorno,0.0
pauta,cronograma,0.6
beneficencia,beneficencia,0.0
escarnio,mofa,0.7166666666666667
inescrutavel,inescrutable,0.1499999999999999
coercitividade,coercion,0.2666666666666665
antagonista,antagonista,0.0
mediante,a traves de,0.5583333333333333
discorrer,discurso,0.32499999999999984
superfluo,superfluo,0.0
disseminar,diseminar,0.014814814814814725
indolencia,indolencia,0.0
cognitivo,cognitivo,0.0
mau,malo,0.33333333333333337
esperanca,esperanza,0.10370370370370374
suscetivel,susceptible,0.19333333333333336
intervencao,intervencion,0.09696969696969682
serendipidade,casualidad,0.44666666666666666
identificacao,identificacion,0.08205128205128198
idoneo,adecuado,0.4666666666666667
seara,cosecha,0.3866666666666667
maledicencia,murmuracion,0.5393939393939394
felicitacoes,felicidades,0.17575757575757578
sadico,sadico,0.0
talarico,talarico,0.0
fosse,eran,0.6500000000000001
penhor,promesa,0.5666666666666667
torpe,torpe,0.0
consolidar,consolidar,0.0
fomentar,fomentar,0.0
insignificante,insignificante,0.0
indole,naturaleza,0.48888888888888893
demasiadamente,demasiado,0.1407407407407406
auferir,ganar,0.5333333333333333
conjuntura,situacion,0.562962962962963
prerrogativa,prerrogativa,0.0
concessionaria,concesionario,0.08205128205128198
dengo,dengo,0.0
acessibilidade,accesibilidad,0.08205128205128209
prosperidade,prosperidad,0.012121212121212088
for,para,0.6222222222222222
asa,ala,0.3111111111111112
pusilanimidade,pusilanimidad,0.01025641025641022
uma,uno,0.5777777777777777
deliberacao,liberar,0.18095238095238086
singular,singular,0.0
candura,candor,0.1777777777777778
emergir,surgir,0.30000000000000004
saber,saber,0.0
exito,exito,0.0
mesquinho,insignificante,0.6148148148148148
indiferenca,indiferencia,0.012121212121212088
