es,ro,Alignment Score
rio,rau,0.5777777777777777
resuelto,hotarat,0.6190476190476191
excentrico,excentric,0.014814814814814725
exotico,exotic,0.022222222222222143
hermeneutica,hermeneutica,0.0
escatologico,eshatologic,0.09696969696969693
necesario,necesar,0.028571428571428692
clima,vreme,0.6933333333333334
metodico,metodic,0.01904761904761898
sublime,sublim,0.022222222222222143
vocabulario,vocabular,0.022222222222222143
probatorio,probatorie,0.09333333333333327
consecuencia,consecinta,0.18666666666666665
casual,casual,0.0
subjetivo,subiectiv,0.20740740740740748
prejuicio,prejudecata,0.311111111111111
inconmensurable,nemasurata,0.3933333333333332
madurez,maturitate,0.2952380952380953
condolencias,condoleante,0.24242424242424243
activista,activist,0.016666666666666607
voz,voce,0.33333333333333337
inexorable,inexorabil,0.09333333333333327
desaparecido,plecat,0.5222222222222223
integridad,integritate,0.19333333333333336
poco escrupuloso,lipsit de scrupule,0.3374999999999999
habito,obicei,0.5777777777777777
consideracion,considerare,0.16969696969696957
apendice,apex,0.30000000000000016
idilico,idilic,0.022222222222222143
jubilo,jubilare,0.1777777777777777
remision,iertare,0.6
extension,extensie,0.125
amistad,prietenie,0.6476190476190476
incipiente,incipient,0.014814814814814725
de acuerdo,bine,0.75
meta,poarta,0.4666666666666667
urgir,indemn,0.6933333333333334
accion,actiune,0.33333333333333337
abstenerse,se abtine,0.4
etnicidad,etnie,0.2400000000000001
afirmar,revendicare,0.5333333333333333
altruismo,altruism,0.016666666666666607
diseno,proiecta,0.6111111111111112
incontinencia,incontinenta,0.08333333333333337
exencion,scutire,0.6285714285714286
gracia,gratie,0.3111111111111112
quimera,himera,0.16666666666666663
hoy en dia,in zilele de azi,0.4800000000000001
bocadillos,gustari,0.6476190476190476
provisionado,furnizate,0.6000000000000001
monotono,monoton,0.01904761904761898
personificacion,personificare,0.1435897435897434
odiar,ura,0.6444444444444445
malo,rau,0.6444444444444445
utilidad,utilitate,0.2416666666666667
escrutinio,examinare,0.5703703703703704
adyacente,adiacent,0.13333333333333341
voluntad,voi,0.4222222222222223
pragmatico,pragmatic,0.014814814814814725
interurbano,intercity,0.3851851851851852
independiente,independent,0.024242424242424176
semejante,astfel de,0.5555555555555556
audacia,indrazneala,0.5428571428571429
cuyo,a caror,0.5166666666666666
mutual,reciproc,0.8444444444444446
camino,cale,0.4666666666666667
solemne,solemn,0.022222222222222143
adorno,podoaba,0.5888888888888889
cronograma,programa,0.1416666666666666
beneficencia,binefacere,0.3733333333333333
mofa,bataie de joc,0.8
inescrutable,inscrutabil,0.09696969696969682
coercion,constrangere,0.4583333333333335
antagonista,antagonist,0.013333333333333308
a traves de,prin,0.7833333333333333
discurso,discurs,0.01904761904761898
superfluo,de prisos,0.5777777777777777
diseminar,diseminati,0.11111111111111116
indolencia,indolenta,0.11111111111111116
cognitivo,cognitive,0.10370370370370374
malo,rau,0.6444444444444445
esperanza,speranta,0.13333333333333341
susceptible,susceptibil,0.08484848484848473
intervencion,interventie,0.17575757575757567
casualidad,noroc,0.7333333333333334
identificacion,identificare,0.15555555555555545
adecuado,potrivit,0.7250000000000001
cosecha,recolta,0.48571428571428565
murmuracion,murmurarea,0.2599999999999999
felicidades,felicitari,0.2733333333333333
sadico,sadic,0.026666666666666727
talarico,talaric,0.01904761904761898
eran,au fost,0.7
promesa,angajament,0.638095238095238
torpe,neindemanatic,0.7866666666666666
consolidar,consolida,0.014814814814814725
fomentar,fomenteaza,0.1333333333333333
insignificante,nesemnificativ,0.319047619047619
naturaleza,natura,0.05555555555555558
demasiado,prea mult,0.6592592592592592
ganar,castiga,0.5333333333333333
situacion,situatie,0.2416666666666667
prerrogativa,prerogativa,0.012121212121212088
concesionario,concesionar,0.018181818181817966
dengo,dengo,0.0
accesibilidad,accesibilitate,0.14871794871794863
prosperidad,prosperitate,0.17575757575757567
para,pentru,0.5
ala,aripa,0.3555555555555556
pusilanimidad,frica,0.6533333333333333
uno,unu,0.3111111111111111
liberar,eliberare,0.03809523809523818
singular,singular,0.0
candor,candoare,0.04444444444444451
surgir,apar,0.6666666666666667
saber,a sti,0.6799999999999999
exito,succes,0.6933333333333334
insignificante,mic,0.5777777777777777
indiferencia,indiferenta,0.09090909090909083
