pt,en,Alignment Score
rio,river,0.3555555555555556
resoluto,resolute,0.1166666666666667
excentrico,eccentric,0.11851851851851858
exotico,exotic,0.022222222222222143
hermeneutica,hermeneutics,0.07777777777777772
escatologico,eschatological,0.09444444444444422
necessario,necessary,0.11111111111111116
intemperie,weather,0.5333333333333334
metodico,methodical,0.1416666666666666
sublime,sublime,0.0
vocabulario,vocabulary,0.09999999999999987
comprobatorio,evidentiary,0.696969696969697
consequencia,consequence,0.09090909090909083
casual,casual,0.0
subjetivo,subjective,0.11851851851851858
preconceito,prejudice,0.3925925925925926
incomensuravel,immeasurable,0.31666666666666665
maturidade,maturity,0.23333333333333328
pesames,condolences,0.5333333333333333
ativista,activist,0.1166666666666667
voz,voice,0.3555555555555556
inexoravel,inexorable,0.17999999999999994
ido,gone,0.6222222222222222
integridade,integrity,0.20740740740740737
inescrupuloso,unscrupulous,0.16666666666666652
habito,habit,0.026666666666666727
consideracao,consideration,0.15555555555555545
apice,apex,0.25
idilico,idyllic,0.2571428571428571
jubilo,jubilation,0.06666666666666665
remissao,remission,0.13333333333333341
extensao,extension,0.13333333333333341
amizade,friendship,0.638095238095238
incipiente,incipient,0.014814814814814725
vale,ok,0.9333333333333333
finalidade,goal,0.55
exortar,urge,0.6833333333333333
acao,action,0.2833333333333333
abster,abstain,0.30000000000000016
etnia,ethnicity,0.2533333333333334
reivindicacao,claim,0.6399999999999999
altruismo,altruism,0.016666666666666607
designio,design,0.03333333333333344
incontinencia,incontinence,0.08333333333333337
isencao,exemption,0.6190476190476191
graca,grace,0.18666666666666676
quimera,chimera,0.24761904761904763
hodiernamente,nowadays,0.5916666666666668
larica,munchies,0.7333333333333334
aprovisionado,provisioned,0.1090909090909089
monotono,monotonous,0.025000000000000022
personificacao,personification,0.1333333333333332
odio,hate,0.8333333333333334
ruim,bad,0.8666666666666667
prestatividade,helpfulness,0.6303030303030304
escrutinio,scrutiny,0.1416666666666666
adjacente,adjacent,0.016666666666666607
ira,will,0.6222222222222222
pragmatico,pragmatic,0.014814814814814725
intermunicipal,intercity,0.23703703703703694
independente,independent,0.012121212121212088
tal,such,0.8666666666666667
audacia,audacity,0.1428571428571429
cujo,whose,0.6666666666666667
mutuo,mutual,0.19999999999999996
vereda,path,0.6833333333333333
solene,solemn,0.15555555555555556
adorno,adornment,0.18888888888888877
pauta,schedule,0.7333333333333334
beneficencia,beneficence,0.09090909090909083
escarnio,mockery,0.6190476190476191
inescrutavel,inscrutable,0.17575757575757567
coercitividade,coercion,0.2666666666666665
antagonista,antagonist,0.013333333333333308
mediante,through,0.7238095238095238
discorrer,discourse,0.20740740740740748
superfluo,superfluous,0.022222222222222143
disseminar,disseminate,0.09999999999999987
indolencia,indolence,0.11111111111111116
cognitivo,cognitive,0.10370370370370374
mau,bad,0.6222222222222222
esperanca,hope,0.5333333333333334
suscetivel,susceptible,0.19333333333333336
intervencao,intervention,0.16969696969696968
serendipidade,serendipity,0.16969696969696957
identificacao,identification,0.1435897435897434
idoneo,suitable,0.6000000000000001
seara,harvest,0.56
maledicencia,backbiting,0.6133333333333333
felicitacoes,congratulations,0.5277777777777778
sadico,sadist,0.288888888888889
talarico,talaric,0.01904761904761898
fosse,were,0.6499999999999999
penhor,pledge,0.5555555555555556
torpe,clumsy,0.8400000000000001
consolidar,consolidate,0.09999999999999987
fomentar,foment,0.03333333333333344
insignificante,insignificant,0.01025641025641022
indole,nature,0.5666666666666667
demasiadamente,too much,0.775
auferir,earn,0.5
conjuntura,situation,0.5703703703703704
prerrogativa,prerogative,0.09696969696969682
concessionaria,concessionaire,0.12857142857142834
dengo,dengo,0.0
acessibilidade,accessibility,0.20512820512820495
prosperidade,prosperity,0.18666666666666665
for,for,0.0
asa,wing,0.8666666666666667
pusilanimidade,pusillanimity,0.20512820512820495
uma,one,0.8444444444444444
deliberacao,release,0.4380952380952382
singular,singular,0.0
candura,candor,0.1777777777777778
emergir,emerge,0.16666666666666663
saber,to know,0.8533333333333334
exito,success,0.7066666666666668
mesquinho,petty,0.7466666666666667
indiferenca,indifference,0.09696969696969682
