gl,ro,Alignment Score
rio,rau,0.5777777777777777
resolto,hotarat,0.6095238095238096
excentrico,excentric,0.014814814814814725
exotico,exotic,0.022222222222222143
hermeneutica,hermeneutica,0.0
escatoloxico,eshatologic,0.18181818181818177
necesario,necesar,0.028571428571428692
tempo,vreme,0.5333333333333333
metodico,metodic,0.01904761904761898
sublime,sublim,0.022222222222222143
vocabulario,vocabular,0.022222222222222143
probatoria,probatorie,0.09333333333333327
consecuencia,consecinta,0.18666666666666665
casual,casual,0.0
subxectivo,subiectiv,0.11851851851851858
prexuizo,prejudecata,0.4583333333333335
inconmensurable,nemasurata,0.3933333333333332
madurez,maturitate,0.2952380952380953
condolencias,condoleante,0.24242424242424243
activista,activist,0.016666666666666607
voz,voce,0.33333333333333337
inexorable,inexorabil,0.09333333333333327
ido,plecat,0.9111111111111111
integridade,integritate,0.1696969696969698
sen escrupulos,lipsit de scrupule,0.2761904761904761
habito,obicei,0.5777777777777777
consideracion,considerare,0.16969696969696957
apex,apex,0.0
idilico,idilic,0.022222222222222143
xubilo,jubilare,0.3333333333333335
remision,iertare,0.6
extension,extensie,0.125
amizade,prietenie,0.6190476190476191
incipiente,incipient,0.014814814814814725
ok,bine,0.9333333333333333
obxectivo,poarta,0.6222222222222222
urxe,indemn,0.6833333333333333
accion,actiune,0.33333333333333337
absterse,se abtine,0.44166666666666665
etnia,etnie,0.18666666666666676
reclamacion,revendicare,0.5333333333333334
altruismo,altruism,0.016666666666666607
deseno,proiecta,0.7222222222222222
incontinencia,incontinenta,0.08333333333333337
exencion,scutire,0.6285714285714286
graza,gratie,0.36
quimera,himera,0.16666666666666663
hoxe en dia,in zilele de azi,0.503030303030303
empanadas,gustari,0.7333333333333334
aprovisionado,furnizate,0.6074074074074074
monotono,monoton,0.01904761904761898
personificacion,personificare,0.1435897435897434
odio,ura,0.8666666666666667
malo,rau,0.6444444444444445
axuda,utilitate,0.5866666666666667
escrutinio,examinare,0.5703703703703704
adxacentes,adiacent,0.1416666666666666
vontade,voi,0.4
pragmatico,pragmatic,0.014814814814814725
interurbano,intercity,0.3851851851851852
independente,independent,0.012121212121212088
tal,astfel de,0.4666666666666667
audacia,indrazneala,0.5428571428571429
cuxo,a caror,0.5166666666666666
mutuo,reciproc,0.72
camino,cale,0.4666666666666667
solemne,solemn,0.022222222222222143
adorno,podoaba,0.5888888888888889
horario,programa,0.5142857142857143
beneficencia,binefacere,0.3733333333333333
burla,bataie de joc,0.6133333333333333
inescrutable,inscrutabil,0.09696969696969682
coaccion,constrangere,0.45833333333333337
antagonista,antagonist,0.013333333333333308
a traves,prin,0.7333333333333334
discurso,discurs,0.01904761904761898
superfluo,de prisos,0.5777777777777777
difundir,diseminati,0.45833333333333337
indolencia,indolenta,0.11111111111111116
cognitivo,cognitive,0.10370370370370374
malo,rau,0.6444444444444445
esperanza,speranta,0.13333333333333341
susceptibles,susceptibil,0.09090909090909083
intervencion,interventie,0.17575757575757567
serendipia,noroc,0.7466666666666667
identificacion,identificare,0.15555555555555545
axeitado,potrivit,0.625
colleita,recolta,0.2571428571428571
murmurar,murmurarea,0.025000000000000022
parabens,felicitari,0.6499999999999999
sadico,sadic,0.026666666666666727
talarico,talaric,0.01904761904761898
foron,au fost,0.5466666666666666
prenda,angajament,0.6222222222222222
torpe,neindemanatic,0.7866666666666666
consolidar,consolida,0.014814814814814725
fomentar,fomenteaza,0.1333333333333333
insignificante,nesemnificativ,0.319047619047619
natureza,natura,0.03333333333333344
demasiado,prea mult,0.6592592592592592
ganar,castiga,0.5333333333333333
situacion,situatie,0.2416666666666667
prerrogativa,prerogativa,0.012121212121212088
concesionaria,concesionar,0.018181818181817966
dengo,dengo,0.0
accesibilidade,accesibilitate,0.1333333333333332
prosperidade,prosperitate,0.15555555555555545
para,pentru,0.5
a,aripa,0.33333333333333337
pusilanimidade,frica,0.6666666666666667
un,unu,0.06666666666666676
liberar,eliberare,0.03809523809523818
singular,singular,0.0
candor,candoare,0.04444444444444451
xurdir,apar,0.6666666666666667
saber,a sti,0.6799999999999999
exito,succes,0.6933333333333334
mesquino,mic,0.4444444444444444
indiferenza,indiferenta,0.08484848484848473
