it,gl,Alignment Score
fiume,rio,0.6666666666666667
risoluto,resolto,0.1523809523809525
eccentrico,excentrico,0.09333333333333338
esotico,exotico,0.13333333333333341
ermeneutica,hermeneutica,0.012121212121212088
escatologico,escatoloxico,0.07777777777777772
necessario,necesario,0.014814814814814725
tempo atmosferico,tempo,0.173333333333333
metodico,metodico,0.0
sublime,sublime,0.0
vocabolario,vocabulario,0.08484848484848484
probatorio,probatoria,0.09333333333333327
conseguenza,consecuencia,0.17575757575757578
casuale,casual,0.022222222222222143
soggettivo,subxectivo,0.34666666666666657
pregiudizio,prexuizo,0.15833333333333355
incommensurabile,inconmensurable,0.07111111111111112
scadenza,madurez,0.4
condoglianze,condolencias,0.28888888888888886
attivista,activista,0.10370370370370374
voce,voz,0.33333333333333337
inesorabile,inexorable,0.1066666666666668
andato,ido,0.4
integrita,integridade,0.12592592592592589
senza scrupoli,sen escrupulos,0.25238095238095226
abitudine,habito,0.3333333333333335
considerazione,consideracion,0.08205128205128198
apice,apex,0.25
idilliaco,idilico,0.03809523809523818
giubilo,xubilo,0.16666666666666663
remissione,remision,0.033333333333333326
estensione,extension,0.11851851851851858
amicizia,amizade,0.2666666666666666
nascente,incipiente,0.2416666666666667
ok,ok,0.0
obiettivo,obxectivo,0.20740740740740748
sollecitare,urxe,0.5666666666666667
azione,accion,0.30000000000000004
astenersi,absterse,0.2416666666666667
etnia,etnia,0.0
reclamo,reclamacion,0.05714285714285716
altruismo,altruismo,0.0
progetto,deseno,0.6000000000000001
incontinenza,incontinencia,0.08333333333333337
esenzione,exencion,0.25
adornare,graza,0.5733333333333334
chimera,quimera,0.24761904761904763
al giorno d'oggi,hoxe en dia,0.509090909090909
munchies,empanadas,0.55
fornito,aprovisionado,0.5619047619047619
monotono,monotono,0.0
personificazione,personificacion,0.07111111111111101
odio,odio,0.0
cattivo,malo,0.5166666666666666
disponibilita,axuda,0.6133333333333333
scrutinio,escrutinio,0.014814814814814725
adiacente,adxacentes,0.11851851851851858
volere,vontade,0.43333333333333335
pragmatico,pragmatico,0.0
interurbano,interurbano,0.0
indipendente,independente,0.07777777777777772
come,tal,0.8666666666666667
audacia,audacia,0.0
di chi,cuxo,0.6833333333333333
reciproco,mutuo,0.72
sentiero,camino,0.5888888888888888
solenne,solemne,0.13333333333333341
ornamento,adorno,0.3222222222222223
programma,horario,0.5238095238095238
beneficenza,beneficencia,0.09090909090909083
beffa,burla,0.5066666666666666
imperscrutabile,inescrutable,0.10555555555555551
coercizione,coaccion,0.2583333333333334
antagonista,antagonista,0.0
attraverso,a traves,0.15000000000000002
discorso,discurso,0.1166666666666667
superfluo,superfluo,0.0
diffondere,difundir,0.2583333333333334
indolenza,indolencia,0.11111111111111116
cognitivo,cognitivo,0.0
cattivo,malo,0.5166666666666666
speranza,esperanza,0.016666666666666607
suscettibile,susceptibles,0.15555555555555556
intervento,intervencion,0.11333333333333329
serendipita,serendipia,0.013333333333333308
identificazione,identificacion,0.07619047619047614
adatto,axeitado,0.4444444444444444
raccolto,colleita,0.43333333333333346
maldicenza,murmurar,0.6416666666666666
congratulazioni,parabens,0.6083333333333334
sadico,sadico,0.0
talarico,talarico,0.0
erano,foron,0.5333333333333334
impegno,prenda,0.4666666666666667
goffo,torpe,0.6799999999999999
consolidare,consolidar,0.013333333333333308
fomentare,fomentar,0.016666666666666607
insignificante,insignificante,0.0
natura,natureza,0.03333333333333344
troppo,demasiado,0.7222222222222223
guadagnare,ganar,0.10666666666666669
situazione,situacion,0.11851851851851858
prerogativa,prerrogativa,0.012121212121212088
concessionario,concesionaria,0.08205128205128198
dengo,dengo,0.0
accessibilita,accesibilidade,0.14871794871794863
prosperita,prosperidade,0.11333333333333329
per,para,0.3555555555555556
ala,a,0.20000000000000007
pusillanimita,pusilanimidade,0.14871794871794863
uno,un,0.06666666666666676
pubblicazione,liberar,0.5523809523809524
singolare,singular,0.13333333333333341
candore,candor,0.022222222222222143
emergere,xurdir,0.6111111111111112
sapere,saber,0.21333333333333326
successo,exito,0.56
trascurabile,mesquino,0.5916666666666666
indifferenza,indiferenza,0.012121212121212088
