en,ro,Alignment Score
river,rau,0.6222222222222222
resolute,hotarat,0.6190476190476191
eccentric,excentric,0.10370370370370374
exotic,exotic,0.0
hermeneutics,hermeneutica,0.07777777777777772
eschatological,eshatologic,0.030303030303030276
necessary,necesar,0.03809523809523818
weather,vreme,0.5733333333333334
methodical,metodic,0.04761904761904767
sublime,sublim,0.022222222222222143
vocabulary,vocabular,0.014814814814814725
evidentiary,probatorie,0.6733333333333333
consequence,consecinta,0.34666666666666657
casual,casual,0.0
subjective,subiectiv,0.11851851851851858
prejudice,prejudecata,0.20740740740740737
immeasurable,nemasurata,0.3666666666666667
maturity,maturitate,0.1333333333333333
condolences,condoleante,0.1696969696969698
activist,activist,0.0
voice,voce,0.033333333333333326
inexorable,inexorabil,0.09333333333333327
gone,plecat,0.6833333333333333
integrity,integritate,0.11851851851851847
unscrupulous,lipsit de scrupule,0.38888888888888884
habit,obicei,0.5466666666666666
consideration,considerare,0.16969696969696957
apex,apex,0.0
idyllic,idilic,0.16666666666666663
jubilation,jubilare,0.23333333333333328
remission,iertare,0.6095238095238096
extension,extensie,0.125
friendship,prietenie,0.40740740740740744
incipient,incipient,0.0
ok,bine,0.9333333333333333
goal,poarta,0.5
urge,indemn,0.6833333333333333
action,actiune,0.1777777777777778
abstain,se abtine,0.2857142857142857
ethnicity,etnie,0.2533333333333334
claim,revendicare,0.6133333333333334
altruism,altruism,0.0
design,proiecta,0.7333333333333334
incontinence,incontinenta,0.14444444444444438
exemption,scutire,0.6285714285714286
grace,gratie,0.19999999999999996
chimera,himera,0.022222222222222143
nowadays,in zilele de azi,0.6166666666666667
munchies,gustari,0.6190476190476191
provisioned,furnizate,0.5851851851851853
monotonous,monoton,0.03809523809523796
personification,personificare,0.1435897435897434
hate,ura,0.6222222222222222
bad,rau,0.6222222222222222
helpfulness,utilitate,0.5851851851851853
scrutiny,examinare,0.6416666666666666
adjacent,adiacent,0.1166666666666667
will,voi,0.6222222222222222
pragmatic,pragmatic,0.0
intercity,intercity,0.0
independent,independent,0.0
such,astfel de,0.7333333333333334
audacity,indrazneala,0.6583333333333334
whose,a caror,0.72
mutual,reciproc,0.8444444444444446
path,cale,0.6666666666666667
solemn,solemn,0.0
adornment,podoaba,0.6285714285714286
schedule,programa,0.8166666666666668
beneficence,binefacere,0.28666666666666674
mockery,bataie de joc,0.6571428571428571
inscrutable,inscrutabil,0.08484848484848473
coercion,constrangere,0.4583333333333335
antagonist,antagonist,0.0
through,prin,0.7166666666666668
discourse,discurs,0.03809523809523818
superfluous,de prisos,0.5037037037037038
disseminate,diseminati,0.10666666666666658
indolence,indolenta,0.19259259259259254
cognitive,cognitive,0.0
bad,rau,0.6222222222222222
hope,speranta,0.5166666666666666
susceptible,susceptibil,0.08484848484848473
intervention,interventie,0.09090909090909083
serendipity,noroc,0.76
identification,identificare,0.15555555555555545
suitable,potrivit,0.625
harvest,recolta,0.5047619047619047
backbiting,murmurarea,0.74
congratulations,felicitari,0.56
sadist,sadic,0.19999999999999996
talaric,talaric,0.0
were,au fost,0.8833333333333334
pledge,angajament,0.6222222222222222
clumsy,neindemanatic,0.7666666666666666
consolidate,consolida,0.022222222222222143
foment,fomenteaza,0.05555555555555558
insignificant,nesemnificativ,0.28205128205128205
nature,natura,0.15555555555555556
too much,prea mult,0.5416666666666667
earn,castiga,0.7
situation,situatie,0.125
prerogative,prerogativa,0.08484848484848473
concessionaire,concesionar,0.036363636363636265
dengo,dengo,0.0
accessibility,accesibilitate,0.1435897435897434
prosperity,prosperitate,0.10666666666666658
for,pentru,0.6666666666666667
wing,aripa,0.6833333333333333
pusillanimity,frica,0.6533333333333333
one,unu,0.6222222222222222
release,eliberare,0.2952380952380953
singular,singular,0.0
candor,candoare,0.04444444444444451
emerge,apar,0.6833333333333333
to know,a sti,0.7066666666666668
success,succes,0.022222222222222143
petty,mic,0.8888888888888888
indifference,indiferenta,0.16969696969696957
