en,fr,Alignment Score
mistaken,trompe,0.6000000000000001
identify,identifier,0.1333333333333333
difficulty,difficulte,0.09333333333333327
instability,instabilite,0.08484848484848473
noble,noble,0.0
vulgar,vulgaire,0.04444444444444451
militancy,militantisme,0.21481481481481468
substantive,substantiel,0.08484848484848473
ever,jamais,0.8666666666666667
splendid,splendide,0.016666666666666607
reconciliation,reconciliation,0.0
singularity,singularite,0.08484848484848473
compassion,compassion,0.0
hypocrite,hypocrite,0.0
protagonist,protagoniste,0.012121212121212088
resignation,demission,0.4
borderline,limite,0.47777777777777786
pal,copain,0.3999999999999999
complacent,complaisant,0.17999999999999994
ephemeral,ephemere,0.125
peculiar,particulier,0.2583333333333334
unconditional,inconditionnel,0.14871794871794863
unintelligible,inintelligible,0.06666666666666665
complexity,complexite,0.09333333333333327
believable,croyable,0.43333333333333335
sagacious,sagace,0.18888888888888877
i could,je pourrais,0.5523809523809524
demystify,demystifier,0.11851851851851847
post,poste,0.033333333333333326
incongruity,incongruite,0.08484848484848473
since,depuis,0.6799999999999999
sanction,sanction,0.0
cult,culte,0.033333333333333326
succinct,succinct,0.0
fear,peur,0.4666666666666667
redemption,rachat,0.6111111111111112
indeterminate,indetermine,0.018181818181817966
explicit,explicite,0.016666666666666607
empirical,empirique,0.28148148148148144
flight,vol,0.6666666666666667
sun,soleil,0.6444444444444444
homogeneity,homogeneite,0.08484848484848473
inertia,inertie,0.13333333333333341
free,gratuit,0.7166666666666668
all,tous,0.8666666666666667
underlying,sous-jacent,0.6066666666666667
subtle,subtil,0.15555555555555556
reverberate,reverberer,0.09999999999999998
conscientious,consciencieux,0.21538461538461529
compulsory,obligatoire,0.54
sober,sobre,0.18666666666666676
arbitrary,arbitraire,0.11851851851851858
addiction,dependance,0.5777777777777777
perpendicular,perpendiculaire,0.02051282051282044
however,cependant,0.6476190476190476
experience,experience,0.0
shout,crier,0.8266666666666667
exceedingly,extremement,0.4727272727272728
core,coeur,0.25
quite,assez,0.6799999999999999
glimpse,apercu,0.5888888888888889
aurelio,aurelio,0.0
do without,faire sans,0.7466666666666667
transcendence,transcendance,0.07179487179487176
spectrum,spectre,0.1428571428571429
possibility,possibilite,0.08484848484848473
preponderant,preponderant,0.0
irreproachable,irreprochable,0.01025641025641022
to mix,melanger,0.7222222222222222
moon,lune,0.6499999999999999
pusilC/nime,pusilC/nime,0.0
prudent,prudent,0.0
exclusively,exclusivement,0.16969696969696957
month,mois,0.45000000000000007
kindness,gentillesse,0.45833333333333337
distinct,distinct,0.0
suitability,pertinence,0.6799999999999999
attachment,piece jointe,0.5266666666666666
but,mais,0.8666666666666667
idiot,idiot,0.0
insightful,perspicace,0.6733333333333333
serious,serieux,0.2666666666666667
saddle,selle,0.36
to understand,comprendre,0.54
now,maintenant,0.7555555555555555
analytical,analytique,0.2533333333333333
eccentricity,excentricite,0.15555555555555545
animosity,animosite,0.10370370370370374
criterion,critere,0.1523809523809524
individualism,individualisme,0.01025641025641022
submission,soumission,0.09333333333333338
pre-eminence,preeminence,0.012121212121212088
rite,rite,0.0
interesting,interessant,0.23030303030303023
firstfruits,premiers fruits,0.20000000000000007
imminent,imminent,0.0
aware,conscient,0.7333333333333334
immersion,immersion,0.0
importance,importance,0.0
interference,ingerence,0.12592592592592589
then,alors,0.85
what,quoi,0.8333333333333334
native,indigene,0.47777777777777786
fear,peur,0.4666666666666667
machiavellian,machiavelique,0.19999999999999984
greed,avidite,0.7066666666666667
blunt,emousse,0.72
sucker,ventouse,0.5888888888888889
spontaneous,spontane,0.033333333333333215
for the,pour le,0.39047619047619053
pragmatism,pragmatisme,0.013333333333333308
repentance,repentir,0.23333333333333328
he has,il a,0.5
passion,passion,0.0
sensible,sensible,0.0
sum,somme,0.37777777777777777
overestimated,surestime,0.23703703703703694
monochrome,monochrome,0.0
periodically,periodiquement,0.3555555555555554
