pt,es,Alignment Score
equivocado,equivocado,0.0
identificar,identificar,0.0
dificuldade,dificultad,0.10666666666666669
instabilidade,inestabilidad,0.07179487179487176
nobre,noble,0.18666666666666676
vulgar,vulgar,0.0
militancia,militancia,0.0
substantivo,sustantivo,0.013333333333333308
sempre,alguna vez,0.7444444444444445
esplendido,esplendido,0.0
reconciliacao,reconciliacion,0.08205128205128198
singularidade,singularidad,0.011111111111111072
compaixao,compasion,0.19999999999999996
hipocrita,hipocrita,0.0
protagonista,protagonista,0.0
resignacao,resignacion,0.10666666666666669
limitrofe,limite,0.04444444444444429
pal,camarada,0.711111111111111
complacente,suficiente,0.42666666666666664
efemero,efimero,0.13333333333333341
peculiar,peculiar,0.0
incondicional,incondicional,0.0
ininteligivel,ininteligible,0.1384615384615382
complexidade,complejidad,0.09696969696969693
verossimil,creible,0.5333333333333334
sagaz,sagaz,0.0
pude,pude,0.0
desmistificar,desmitificar,0.011111111111111072
pos,correo,0.6666666666666667
incongruencia,incongruidad,0.15555555555555545
desde,desde,0.0
sancao,sancion,0.1777777777777778
culto,culto,0.0
sucinto,sucinto,0.0
receio,miedo,0.5333333333333333
redencao,redencion,0.13333333333333341
indeterminado,indeterminado,0.0
explicito,explicito,0.0
empirico,empirico,0.0
voo,vuelo,0.3555555555555555
dom,sol,0.6222222222222222
homogeneidade,homogeneidad,0.011111111111111072
inercia,inercia,0.0
isento,gratis,0.5555555555555556
todo,todo,0.0
subjacente,subyacente,0.09333333333333338
sutil,sutil,0.0
reverberar,reverberar,0.0
consciencioso,concienzudo,0.2484848484848483
compulsorio,obligatorio,0.3939393939393939
sobrio,sobrio,0.0
arbitrario,arbitrario,0.0
vicio,adiccion,0.2533333333333334
perpendicular,perpendicular,0.0
contudo,sin embargo,0.6476190476190475
experiencia,experiencia,0.0
brado,gritar,0.56
sobremaneira,extremadamente,0.4388888888888888
amago,centro,0.6799999999999999
meio,bastante,0.7166666666666667
vislumbrar,vistazo,0.4095238095238096
aurelio,aurelio,0.0
prescindir,hacer sin,0.48888888888888893
transcendencia,trascendencia,0.01025641025641022
espectro,espectro,0.0
possibilidade,posibilidad,0.024242424242424176
preponderante,preponderante,0.0
irrepreensivel,irreprochable,0.38461538461538447
mexer,mezclar,0.3733333333333334
lua,luna,0.04444444444444451
pusilanime,pusilC/nime,0.09999999999999998
prudente,prudente,0.0
exclusivamente,exclusivamente,0.0
mes,mes,0.0
amabilidade,amabilidad,0.013333333333333308
distinto,distinto,0.0
idoneidade,idoneidad,0.014814814814814725
anexo,adjunto,0.3866666666666667
mas,pero,0.8666666666666667
idiota,estupido,0.4555555555555555
perspicaz,perspicaz,0.0
sisudo,grave,0.8400000000000001
sela,sillin,0.5
compreender,comprender,0.013333333333333308
ora,ahora,0.06666666666666665
analitico,analitico,0.0
excentricidade,excentricidad,0.01025641025641022
animosidade,animosidad,0.013333333333333308
criterio,criterio,0.0
individualismo,individualismo,0.0
submissao,sumision,0.2416666666666667
preeminencia,preeminencia,0.0
rito,rito,0.0
interessante,interesante,0.012121212121212088
primicias,primeros frutos,0.41481481481481497
iminente,inminente,0.016666666666666607
conscientizar,consciente,0.11333333333333317
imersao,inmersion,0.17142857142857149
importancia,importancia,0.0
ingerencia,interferencia,0.11333333333333329
entao,entonces,0.2266666666666668
que,que,0.0
oriundo,nativo,0.5777777777777777
temor,miedo,0.52
maquiavelico,maquiavelico,0.0
cobica,codicia,0.1777777777777777
contundente,desafilado,0.6666666666666667
otario,ventosa,0.5888888888888889
espontaneo,espontaneo,0.0
pela,para el,0.2833333333333333
pragmatismo,pragmatismo,0.0
arrependimento,arrepentimiento,0.07619047619047625
tem,el tiene,0.4444444444444444
paixao,pasion,0.30000000000000016
sensato,sensitivo,0.16190476190476188
suma,suma,0.0
superestimado,sobreestimado,0.20000000000000007
monocromatico,monocromo,0.03703703703703709
periodicamente,periodicamente,0.0
