pt,gl,Alignment Score
equivocado,equivocado,0.0
identificar,identificar,0.0
dificuldade,dificultade,0.08484848484848484
instabilidade,inestabilidade,0.01025641025641022
nobre,nobre,0.0
vulgar,vulgar,0.0
militancia,militancia,0.0
substantivo,substantivo,0.0
sempre,nunca,0.8400000000000001
esplendido,esplendido,0.0
reconciliacao,reconciliacion,0.08205128205128198
singularidade,singularidade,0.0
compaixao,compaixon,0.10370370370370374
hipocrita,hipocrita,0.0
protagonista,protagonista,0.0
resignacao,dimision,0.55
limitrofe,limite,0.04444444444444429
pal,amigo,0.6444444444444445
complacente,compracente,0.08484848484848484
efemero,efemero,0.0
peculiar,peculiar,0.0
incondicional,incondicional,0.0
ininteligivel,inintelixible,0.21025641025641018
complexidade,complexidade,0.0
verossimil,crible,0.5
sagaz,sagaz,0.0
pude,poderia,0.30000000000000016
desmistificar,desmitificar,0.011111111111111072
pos,publicacion,0.5111111111111111
incongruencia,incongruencia,0.0
desde,xa que,0.6799999999999999
sancao,sancion,0.1777777777777778
culto,culto,0.0
sucinto,sucinto,0.0
receio,medo,0.5
redencao,redencion,0.13333333333333341
indeterminado,indeterminado,0.0
explicito,explicito,0.0
empirico,empirico,0.0
voo,voo,0.0
dom,sol,0.6222222222222222
homogeneidade,homoxeneidade,0.07179487179487176
inercia,inercia,0.0
isento,gratuito,0.4444444444444444
todo,todos,0.033333333333333326
subjacente,subxacente,0.09333333333333338
sutil,sutil,0.0
reverberar,reverberar,0.0
consciencioso,concienzudo,0.2484848484848483
compulsorio,obrigatoria,0.5333333333333334
sobrio,sobrio,0.0
arbitrario,arbitrario,0.0
vicio,adiccion,0.2533333333333334
perpendicular,perpendicular,0.0
contudo,con todo,0.1523809523809525
experiencia,experiencia,0.0
brado,berrar,0.3733333333333334
sobremaneira,excesivamente,0.5722222222222222
amago,nucleo,0.6799999999999999
meio,bastante,0.7166666666666667
vislumbrar,albiscar,0.45000000000000007
aurelio,aurelio,0.0
prescindir,prescindir,0.0
transcendencia,transcendencia,0.0
espectro,espectro,0.0
possibilidade,posibilidade,0.011111111111111072
preponderante,preponderante,0.0
irrepreensivel,irreprochable,0.38461538461538447
mexer,mesturar,0.3866666666666667
lua,lua,0.0
pusilanime,pusilC/nime,0.09999999999999998
prudente,prudente,0.0
exclusivamente,exclusivamente,0.0
mes,mes,0.0
amabilidade,bondade,0.2952380952380952
distinto,distinto,0.0
idoneidade,idoneidade,0.0
anexo,anexo,0.0
mas,pero,0.8666666666666667
idiota,idiota,0.0
perspicaz,perspicaz,0.0
sisudo,grave,0.8400000000000001
sela,sela,0.0
compreender,entender,0.2416666666666667
ora,agora,0.06666666666666665
analitico,analitico,0.0
excentricidade,excentricidade,0.0
animosidade,animosidade,0.0
criterio,criterio,0.0
individualismo,individualismo,0.0
submissao,presentacion,0.5925925925925926
preeminencia,preeminencia,0.0
rito,rito,0.0
interessante,interesante,0.012121212121212088
primicias,primicias,0.0
iminente,inminente,0.016666666666666607
conscientizar,consciente,0.11333333333333317
imersao,inmersion,0.17142857142857149
importancia,importancia,0.0
ingerencia,interferencia,0.11333333333333329
entao,enton,0.18666666666666676
que,que,0.0
oriundo,nativo,0.5777777777777777
temor,medo,0.4666666666666667
maquiavelico,maquiavelico,0.0
cobica,cobiza,0.15555555555555556
contundente,contundente,0.0
otario,ventosa,0.5888888888888889
espontaneo,espontanea,0.09333333333333327
pela,para o,0.4666666666666667
pragmatismo,pragmatismo,0.0
arrependimento,arrepentimento,0.06666666666666665
tem,el ten,0.3999999999999999
paixao,paixon,0.15555555555555556
sensato,sensato,0.0
suma,suma,0.0
superestimado,sobreestimado,0.20000000000000007
monocromatico,monocromo,0.03703703703703709
periodicamente,periodicamente,0.0
