fr,gl,Alignment Score
trompe,equivocado,0.7333333333333334
identifier,identificar,0.09999999999999998
difficulte,dificultade,0.09999999999999998
instabilite,inestabilidade,0.1090909090909089
noble,nobre,0.18666666666666676
vulgaire,vulgar,0.04444444444444451
militantisme,militancia,0.19999999999999996
substantiel,substantivo,0.15757575757575748
jamais,nunca,0.6933333333333334
splendide,esplendido,0.11851851851851858
reconciliation,reconciliacion,0.06666666666666665
singularite,singularidade,0.09696969696969682
compassion,compaixon,0.11111111111111116
hypocrite,hipocrita,0.20740740740740748
protagoniste,protagonista,0.07777777777777772
demission,dimision,0.13333333333333341
limite,limite,0.0
copain,amigo,0.5466666666666666
complaisant,compracente,0.3151515151515153
ephemere,efemero,0.2761904761904762
particulier,peculiar,0.2583333333333334
inconditionnel,incondicional,0.14871794871794863
inintelligible,inintelixible,0.08205128205128209
complexite,complexidade,0.10666666666666669
croyable,crible,0.1777777777777777
sagace,sagaz,0.19999999999999996
je pourrais,poderia,0.4285714285714286
demystifier,desmitificar,0.24848484848484842
poste,publicacion,0.6
incongruite,incongruencia,0.16969696969696968
depuis,xa que,0.7
sanction,sancion,0.01904761904761898
culte,culto,0.18666666666666676
succinct,sucinto,0.1523809523809525
peur,medo,0.6666666666666667
rachat,redencion,0.6111111111111112
indetermine,indeterminado,0.09696969696969682
explicite,explicito,0.10370370370370374
empirique,empirico,0.22499999999999998
vol,voo,0.3111111111111111
soleil,sol,0.08888888888888902
homogeneite,homoxeneidade,0.18181818181818177
inertie,inercia,0.2666666666666667
gratuit,gratuito,0.01904761904761898
tous,todos,0.25
sous-jacent,subxacente,0.27333333333333343
subtil,sutil,0.026666666666666727
reverberer,reverberar,0.09333333333333338
consciencieux,concienzudo,0.2606060606060606
obligatoire,obrigatoria,0.24848484848484853
sobre,sobrio,0.19999999999999996
arbitraire,arbitrario,0.17999999999999994
dependance,adiccion,0.6416666666666666
perpendiculaire,perpendicular,0.02051282051282044
cependant,con todo,0.5416666666666667
experience,experiencia,0.09999999999999987
crier,berrar,0.5333333333333333
extremement,excesivamente,0.3272727272727274
coeur,nucleo,0.5333333333333333
assez,bastante,0.41333333333333344
apercu,albiscar,0.5888888888888888
aurelio,aurelio,0.0
faire sans,prescindir,0.5266666666666666
transcendance,transcendencia,0.14871794871794863
spectre,espectro,0.1523809523809525
possibilite,posibilidade,0.1696969696969698
preponderant,preponderante,0.011111111111111072
irreprochable,irreprochable,0.0
melanger,mesturar,0.42500000000000004
lune,lua,0.33333333333333337
pusilC/nime,pusilC/nime,0.0
prudent,prudente,0.01904761904761898
exclusivement,exclusivamente,0.08205128205128209
mois,mes,0.33333333333333337
gentillesse,bondade,0.6476190476190475
distinct,distinto,0.1166666666666667
pertinence,idoneidade,0.5066666666666667
piece jointe,anexo,0.6266666666666667
mais,pero,0.8333333333333334
idiot,idiota,0.026666666666666727
perspicace,perspicaz,0.11111111111111116
serieux,grave,0.5733333333333334
selle,sela,0.25
comprendre,entender,0.45000000000000007
maintenant,agora,0.6
analytique,analitico,0.3037037037037037
excentricite,excentricidade,0.0888888888888888
animosite,animosidade,0.11851851851851847
critere,criterio,0.1428571428571429
individualisme,individualismo,0.06666666666666665
soumission,presentacion,0.5133333333333334
preeminence,preeminencia,0.09090909090909083
rite,rito,0.2333333333333334
interessant,interesante,0.08484848484848473
premiers fruits,primicias,0.3555555555555556
imminent,inminente,0.13333333333333341
conscient,consciente,0.014814814814814725
immersion,inmersion,0.10370370370370374
importance,importancia,0.09999999999999987
ingerence,interferencia,0.23703703703703694
alors,enton,0.6933333333333334
quoi,que,0.33333333333333337
indigene,nativo,0.6111111111111112
peur,medo,0.6666666666666667
machiavelique,maquiavelico,0.2944444444444444
avidite,cobiza,0.7
emousse,contundente,0.5428571428571429
ventouse,ventosa,0.1523809523809525
spontane,espontanea,0.033333333333333326
pour le,para o,0.4666666666666667
pragmatisme,pragmatismo,0.08484848484848473
repentir,arrepentimento,0.17499999999999982
il a,el ten,0.5
passion,paixon,0.16666666666666663
sensible,sensato,0.37142857142857144
somme,suma,0.4833333333333333
surestime,sobreestimado,0.24444444444444446
monochrome,monocromo,0.11851851851851858
periodiquement,periodicamente,0.1857142857142856
