fr,it,Alignment Score
trompe,sbagliato,0.6000000000000001
identifier,identificare,0.10666666666666658
difficulte,difficolta,0.18666666666666676
instabilite,instabilita,0.08484848484848473
noble,nobile,0.026666666666666727
vulgaire,volgare,0.1523809523809525
militantisme,militanza,0.21481481481481468
substantiel,sostanziale,0.32727272727272727
jamais,mai,0.11111111111111116
splendide,splendida,0.10370370370370374
reconciliation,riconciliazione,0.1428571428571429
singularite,singolarita,0.16969696969696968
compassion,compassione,0.013333333333333308
hypocrite,ipocrita,0.2416666666666667
protagoniste,protagonista,0.07777777777777772
demission,dimissioni,0.11851851851851858
limite,borderline,0.47777777777777786
copain,amico,0.52
complaisant,compiacente,0.24242424242424243
ephemere,effimero,0.43333333333333335
particulier,peculiare,0.311111111111111
inconditionnel,incondizionato,0.24761904761904752
inintelligible,incomprensibile,0.4285714285714286
complexite,complessita,0.19333333333333336
croyable,credibile,0.33333333333333337
sagace,sagace,0.0
je pourrais,potrei,0.38888888888888884
demystifier,demistificare,0.18181818181818177
poste,inviare,0.6933333333333334
incongruite,incongruenza,0.16363636363636358
depuis,da,0.6000000000000001
sanction,sanzione,0.22499999999999998
culte,culto,0.18666666666666676
succinct,conciso,0.5047619047619049
peur,paura,0.2666666666666667
rachat,redenzione,0.7333333333333334
indetermine,indeterminato,0.09696969696969682
explicite,esplicito,0.20740740740740748
empirique,empirico,0.22499999999999998
vol,volo,0.04444444444444451
soleil,sole,0.050000000000000155
homogeneite,omogeneita,0.10666666666666658
inertie,inerzia,0.2666666666666667
gratuit,gratuito,0.01904761904761898
tous,tutto,0.45000000000000007
sous-jacent,sottostante,0.40000000000000013
subtil,impercettibile,0.5333333333333333
reverberer,riverberare,0.19333333333333336
consciencieux,coscienzioso,0.29999999999999993
obligatoire,obbligatorio,0.17575757575757567
sobre,sobrio,0.19999999999999996
arbitraire,arbitrario,0.17999999999999994
dependance,dipendenza,0.34666666666666657
perpendiculaire,perpendicolare,0.07619047619047614
cependant,tuttavia,0.7250000000000001
experience,esperienza,0.2666666666666667
crier,gridare,0.4
extremement,estremamente,0.18181818181818177
coeur,nucleo,0.5333333333333333
assez,abbastanza,0.43999999999999995
apercu,occhiata,0.7111111111111111
aurelio,aurelio,0.0
faire sans,fare senza,0.2599999999999999
transcendance,trascendenza,0.2222222222222221
spectre,spettro,0.2666666666666667
possibilite,possibilita,0.08484848484848473
preponderant,preponderante,0.011111111111111072
irreprochable,irreprensibile,0.2666666666666666
melanger,mescolare,0.33333333333333337
lune,luna,0.2333333333333334
pusilC/nime,pusilC/nime,0.0
prudent,prudente,0.01904761904761898
exclusivement,esclusivamente,0.15384615384615385
mois,mese,0.45000000000000007
gentillesse,gentilezza,0.2599999999999999
distinct,distinto,0.1166666666666667
pertinence,adeguatezza,0.6066666666666667
piece jointe,attaccamento,0.5666666666666667
mais,ma,0.09999999999999998
idiot,idiota,0.026666666666666727
perspicace,perspicace,0.0
serieux,serio,0.21333333333333337
selle,sella,0.18666666666666676
comprendre,capire,0.3555555555555556
maintenant,ora,0.7555555555555555
analytique,analitico,0.3037037037037037
excentricite,eccentricita,0.15555555555555545
animosite,animosita,0.10370370370370374
critere,criterio,0.1428571428571429
individualisme,individualismo,0.06666666666666665
soumission,sottomissione,0.11999999999999988
preeminence,preminenza,0.18666666666666676
rite,rito,0.2333333333333334
interessant,interessante,0.012121212121212088
premiers fruits,primizie,0.3916666666666667
imminent,imminente,0.016666666666666607
conscient,consapevole,0.3925925925925926
immersion,immersione,0.014814814814814725
importance,importanza,0.17333333333333334
ingerence,interferenza,0.31851851851851853
alors,poi,0.6666666666666667
quoi,che cosa,0.7333333333333334
indigene,nativo,0.6111111111111112
peur,paura,0.2666666666666667
machiavelique,machiavellico,0.19999999999999984
avidite,avidita,0.13333333333333341
emousse,smussare,0.2761904761904762
ventouse,ventosa,0.1523809523809525
spontane,spontaneo,0.016666666666666607
pour le,per il,0.3222222222222223
pragmatisme,pragmatismo,0.08484848484848473
repentir,pentimento,0.34166666666666656
il a,lui ha,0.2833333333333333
passion,passione,0.01904761904761898
sensible,sensato,0.37142857142857144
somme,somma,0.18666666666666676
surestime,sopravvalutato,0.6
monochrome,monocromo,0.11851851851851858
periodiquement,periodicamente,0.1857142857142856
