pt,en,Alignment Score
equivocado,mistaken,0.6666666666666667
identificar,identify,0.1416666666666666
dificuldade,difficulty,0.2666666666666667
instabilidade,instability,0.16969696969696957
nobre,noble,0.18666666666666676
vulgar,vulgar,0.0
militancia,militancy,0.11111111111111116
substantivo,substantive,0.08484848484848473
sempre,ever,0.5
esplendido,splendid,0.033333333333333326
reconciliacao,reconciliation,0.1435897435897434
singularidade,singularity,0.16969696969696957
compaixao,compassion,0.20740740740740748
hipocrita,hypocrite,0.20740740740740748
protagonista,protagonist,0.012121212121212088
resignacao,resignation,0.18666666666666676
limitrofe,borderline,0.5629629629629629
pal,pal,0.0
complacente,complacent,0.013333333333333308
efemero,ephemeral,0.2857142857142857
peculiar,peculiar,0.0
incondicional,unconditional,0.14358974358974363
ininteligivel,unintelligible,0.2205128205128205
complexidade,complexity,0.18666666666666665
verossimil,believable,0.6
sagaz,sagacious,0.2400000000000001
pude,i could,0.5166666666666666
desmistificar,demystify,0.24444444444444446
pos,post,0.04444444444444451
incongruencia,incongruity,0.17575757575757556
desde,since,0.52
sancao,sanction,0.18888888888888888
culto,cult,0.033333333333333326
sucinto,succinct,0.1523809523809525
receio,fear,0.6666666666666667
redencao,redemption,0.33333333333333337
indeterminado,indeterminate,0.1333333333333332
explicito,explicit,0.016666666666666607
empirico,empirical,0.125
voo,flight,0.9111111111111111
dom,sun,0.8444444444444444
homogeneidade,homogeneity,0.16969696969696957
inercia,inertia,0.13333333333333341
isento,free,0.6833333333333333
todo,all,0.8666666666666667
subjacente,underlying,0.5933333333333334
sutil,subtle,0.21333333333333337
reverberar,reverberate,0.09999999999999987
consciencioso,conscientious,0.1435897435897434
compulsorio,compulsory,0.09999999999999987
sobrio,sober,0.19999999999999996
arbitrario,arbitrary,0.11111111111111116
vicio,addiction,0.2666666666666667
perpendicular,perpendicular,0.0
contudo,however,0.7142857142857143
experiencia,experience,0.09999999999999987
brado,shout,0.6799999999999999
sobremaneira,exceedingly,0.6242424242424243
amago,core,0.6666666666666667
meio,quite,0.6666666666666667
vislumbrar,glimpse,0.6476190476190476
aurelio,aurelio,0.0
prescindir,do without,0.6666666666666667
transcendencia,transcendence,0.07692307692307687
espectro,spectrum,0.22499999999999998
possibilidade,possibility,0.16969696969696957
preponderante,preponderant,0.011111111111111072
irrepreensivel,irreproachable,0.4095238095238093
mexer,to mix,0.5466666666666666
lua,moon,0.8666666666666667
pusilanime,pusilC/nime,0.09999999999999998
prudente,prudent,0.01904761904761898
exclusivamente,exclusively,0.17575757575757556
mes,month,0.6222222222222222
amabilidade,kindness,0.575
distinto,distinct,0.1166666666666667
idoneidade,suitability,0.6799999999999999
anexo,attachment,0.5866666666666667
mas,but,0.8444444444444444
idiota,idiot,0.026666666666666727
perspicaz,insightful,0.6666666666666667
sisudo,serious,0.4444444444444444
sela,saddle,0.4666666666666667
compreender,to understand,0.47878787878787876
ora,now,0.6000000000000001
analitico,analytical,0.2148148148148148
excentricidade,eccentricity,0.23333333333333317
animosidade,animosity,0.20740740740740737
criterio,criterion,0.016666666666666607
individualismo,individualism,0.01025641025641022
submissao,submission,0.11851851851851858
preeminencia,pre-eminence,0.1499999999999999
rito,rite,0.2333333333333334
interessante,interesting,0.24242424242424243
primicias,firstfruits,0.5851851851851853
iminente,imminent,0.1166666666666667
conscientizar,aware,0.6266666666666667
imersao,immersion,0.17142857142857149
importancia,importance,0.09999999999999987
ingerencia,interference,0.2799999999999999
entao,then,0.45000000000000007
que,what,0.8666666666666667
oriundo,native,0.7111111111111111
temor,fear,0.4833333333333334
maquiavelico,machiavellian,0.29999999999999993
cobica,greed,0.8400000000000001
contundente,blunt,0.45333333333333337
otario,sucker,0.7
espontaneo,spontaneous,0.09999999999999987
pela,for the,0.7
pragmatismo,pragmatism,0.013333333333333308
arrependimento,repentance,0.3733333333333332
tem,he has,0.6888888888888889
paixao,passion,0.3111111111111112
sensato,sensible,0.37142857142857144
suma,sum,0.04444444444444451
superestimado,overestimated,0.2666666666666666
monocromatico,monochrome,0.19999999999999996
periodicamente,periodically,0.222222222222222
