pt,fr,Alignment Score
equivocado,trompe,0.7333333333333334
identificar,identifier,0.09999999999999998
dificuldade,difficulte,0.18666666666666676
instabilidade,instabilite,0.09696969696969682
nobre,noble,0.18666666666666676
vulgar,vulgaire,0.04444444444444451
militancia,militantisme,0.19999999999999996
substantivo,substantiel,0.15757575757575748
sempre,jamais,0.6888888888888889
esplendido,splendide,0.11851851851851858
reconciliacao,reconciliation,0.1435897435897434
singularidade,singularite,0.09696969696969682
compaixao,compassion,0.20740740740740748
hipocrita,hypocrite,0.20740740740740748
protagonista,protagoniste,0.07777777777777772
resignacao,demission,0.48888888888888893
limitrofe,limite,0.04444444444444429
pal,copain,0.3999999999999999
complacente,complaisant,0.23636363636363633
efemero,ephemere,0.2761904761904762
peculiar,particulier,0.2583333333333334
incondicional,inconditionnel,0.14871794871794863
ininteligivel,inintelligible,0.14871794871794863
complexidade,complexite,0.10666666666666669
verossimil,croyable,0.5583333333333333
sagaz,sagace,0.19999999999999996
pude,je pourrais,0.5833333333333333
desmistificar,demystifier,0.18787878787878798
pos,poste,0.06666666666666687
incongruencia,incongruite,0.16969696969696968
desde,depuis,0.3600000000000001
sancao,sanction,0.18888888888888888
culto,culte,0.18666666666666676
sucinto,succinct,0.1523809523809525
receio,peur,0.6666666666666667
redencao,rachat,0.47777777777777786
indeterminado,indetermine,0.09696969696969682
explicito,explicite,0.10370370370370374
empirico,empirique,0.22499999999999998
voo,vol,0.3111111111111111
dom,soleil,0.6888888888888889
homogeneidade,homogeneite,0.09696969696969682
inercia,inertie,0.2666666666666667
isento,gratuit,0.5777777777777777
todo,tous,0.43333333333333335
subjacente,sous-jacent,0.19333333333333336
sutil,subtil,0.026666666666666727
reverberar,reverberer,0.09333333333333338
consciencioso,consciencieux,0.19487179487179473
compulsorio,obligatoire,0.5454545454545455
sobrio,sobre,0.19999999999999996
arbitrario,arbitraire,0.17999999999999994
vicio,dependance,0.76
perpendicular,perpendiculaire,0.02051282051282044
contudo,cependant,0.5047619047619047
experiencia,experience,0.09999999999999987
brado,crier,0.6799999999999999
sobremaneira,extremement,0.5454545454545455
amago,coeur,0.6799999999999999
meio,assez,0.6833333333333333
vislumbrar,apercu,0.6111111111111112
aurelio,aurelio,0.0
prescindir,faire sans,0.5266666666666666
transcendencia,transcendance,0.14871794871794863
espectro,spectre,0.1523809523809525
possibilidade,possibilite,0.09696969696969682
preponderante,preponderant,0.011111111111111072
irrepreensivel,irreprochable,0.38461538461538447
mexer,melanger,0.22666666666666668
lua,lune,0.33333333333333337
pusilanime,pusilC/nime,0.09999999999999998
prudente,prudent,0.01904761904761898
exclusivamente,exclusivement,0.08205128205128209
mes,mois,0.33333333333333337
amabilidade,gentillesse,0.6060606060606061
distinto,distinct,0.1166666666666667
idoneidade,pertinence,0.5066666666666667
anexo,piece jointe,0.6266666666666667
mas,mais,0.04444444444444451
idiota,idiot,0.026666666666666727
perspicaz,perspicace,0.11111111111111116
sisudo,serieux,0.4666666666666667
sela,selle,0.25
compreender,comprendre,0.10666666666666669
ora,maintenant,0.7555555555555555
analitico,analytique,0.3037037037037037
excentricidade,excentricite,0.0888888888888888
animosidade,animosite,0.11851851851851847
criterio,critere,0.1428571428571429
individualismo,individualisme,0.06666666666666665
submissao,soumission,0.2222222222222222
preeminencia,preeminence,0.09090909090909083
rito,rite,0.2333333333333334
interessante,interessant,0.012121212121212088
primicias,premiers fruits,0.3555555555555556
iminente,imminent,0.1166666666666667
conscientizar,conscient,0.03703703703703687
imersao,immersion,0.17142857142857149
importancia,importance,0.09999999999999987
ingerencia,ingerence,0.11111111111111116
entao,alors,0.52
que,quoi,0.33333333333333337
oriundo,indigene,0.5047619047619049
temor,peur,0.4833333333333334
maquiavelico,machiavelique,0.2944444444444444
cobica,avidite,0.7
contundente,emousse,0.5428571428571429
otario,ventouse,0.6000000000000001
espontaneo,spontane,0.033333333333333326
pela,pour le,0.4833333333333334
pragmatismo,pragmatisme,0.08484848484848473
arrependimento,repentir,0.2833333333333332
tem,il a,0.8666666666666667
paixao,passion,0.3111111111111112
sensato,sensible,0.37142857142857144
suma,somme,0.4833333333333333
superestimado,surestime,0.1407407407407406
monocromatico,monochrome,0.19999999999999996
periodicamente,periodiquement,0.1857142857142856
