it,ro,Alignment Score
sbagliato,gresit,0.47777777777777775
identificare,identifica,0.019999999999999907
difficolta,dificultate,0.19333333333333336
instabilita,instabilitate,0.018181818181817966
nobile,nobil,0.026666666666666727
volgare,vulgar,0.1777777777777778
militanza,militantism,0.20740740740740737
sostanziale,substantiv,0.3666666666666667
mai,vreodata,0.711111111111111
splendida,splendid,0.016666666666666607
riconciliazione,reconciliere,0.23888888888888882
singolarita,singularitate,0.10303030303030303
compassione,compasiune,0.1066666666666668
ipocrita,ipocrit,0.01904761904761898
protagonista,protagonist,0.012121212121212088
dimissioni,demisie,0.2952380952380953
borderline,la limita,0.6592592592592592
amico,prietene,0.7333333333333334
compiacente,multumit,0.5666666666666667
effimero,efemer,0.18888888888888888
peculiare,ciudat,0.48888888888888893
incondizionato,neconditionat,0.15384615384615385
incomprensibile,neinteligibil,0.41025641025641024
complessita,complexitate,0.16969696969696968
credibile,credibil,0.016666666666666607
sagace,sagace,0.0
potrei,am putut,0.6000000000000001
demistificare,demistifica,0.018181818181817966
inviare,post,0.8833333333333334
incongruenza,incongruenta,0.07777777777777772
da,de cand,0.2333333333333334
sanzione,sanctiune,0.2416666666666667
culto,cult,0.033333333333333326
conciso,succint,0.49523809523809526
paura,frica,0.52
redenzione,rascumparare,0.6666666666666667
indeterminato,nedeterminat,0.08888888888888902
esplicito,explicit,0.13333333333333341
empirico,empiric,0.01904761904761898
volo,zbor,0.6499999999999999
sole,soare,0.25
omogeneita,omogenitate,0.09999999999999987
inerzia,inertie,0.2666666666666667
gratuito,gratuit,0.01904761904761898
tutto,toate,0.5066666666666666
sottostante,subiacent,0.4888888888888888
impercettibile,subtil,0.5333333333333333
riverberare,reverbera,0.12592592592592589
coscienzioso,constiincios,0.3055555555555556
obbligatorio,obligatoriu,0.09696969696969682
sobrio,sobru,0.19999999999999996
arbitrario,arbitrar,0.025000000000000022
dipendenza,dependenta,0.18666666666666676
perpendicolare,perpendicular,0.08205128205128198
tuttavia,in orice caz,0.6583333333333334
esperienza,experienta,0.18666666666666676
gridare,strigat,0.5142857142857143
estremamente,extrem de,0.3185185185185184
nucleo,miez,0.7
abbastanza,destul de,0.6592592592592592
occhiata,o privire,0.6416666666666666
aurelio,aurelio,0.0
fare senza,fa fara,0.39047619047619053
trascendenza,transcendenta,0.0888888888888888
spettro,spectru,0.2666666666666667
possibilita,posibilitate,0.09090909090909083
preponderante,preponderent,0.0888888888888888
irreprensibile,ireprosabil,0.20000000000000007
mescolare,a amesteca,0.3925925925925926
luna,luna,0.0
pusilC/nime,pusilC/nime,0.0
prudente,prudent,0.01904761904761898
esclusivamente,exclusiv,0.17499999999999982
mese,luna,0.8333333333333334
gentilezza,bunatate,0.5583333333333333
distinto,distinct,0.1166666666666667
adeguatezza,adecvarea,0.31851851851851853
attaccamento,atasament,0.14074074074074094
ma,dar,0.5333333333333334
idiota,idiot,0.026666666666666727
perspicace,profund,0.6285714285714286
serio,serios,0.026666666666666727
sella,sa,0.1333333333333333
capire,a intelege,0.5
ora,acum,0.6000000000000001
analitico,analitic,0.016666666666666607
eccentricita,excentricitate,0.09444444444444444
animosita,animozitate,0.12592592592592589
criterio,criteriu,0.1166666666666667
individualismo,individualism,0.01025641025641022
sottomissione,supunere,0.5666666666666667
preminenza,preeminenta,0.1066666666666668
rito,rit,0.04444444444444451
interessante,interesant,0.026666666666666616
primizie,primele fructe,0.3666666666666666
imminente,iminent,0.03809523809523818
consapevole,constient,0.3925925925925926
immersione,imersiune,0.11851851851851858
importanza,importanta,0.09333333333333338
interferenza,interferenta,0.07777777777777772
poi,apoi,0.04444444444444451
che cosa,ce,0.26666666666666694
nativo,nativ,0.026666666666666727
paura,frica,0.52
machiavellico,machiavelic,0.024242424242424176
avidita,lacomie,0.6190476190476191
smussare,bont,0.9
ventosa,fraier,0.711111111111111
spontaneo,spontan,0.028571428571428692
per il,pentru,0.43333333333333335
pragmatismo,pragmatism,0.013333333333333308
pentimento,pocainta,0.45833333333333337
lui ha,el are,0.4444444444444444
passione,pasiune,0.1523809523809525
sensato,sensibil,0.37142857142857144
somma,suma,0.25
sopravvalutato,supraestimat,0.37777777777777777
monocromo,monocrom,0.016666666666666607
periodicamente,periodic,0.05833333333333324
