it,gl,Alignment Score
sbagliato,equivocado,0.5777777777777777
identificare,identificar,0.012121212121212088
difficolta,dificultade,0.19333333333333336
instabilita,inestabilidade,0.115151515151515
nobile,nobre,0.19999999999999996
volgare,vulgar,0.1777777777777778
militanza,militancia,0.11111111111111116
sostanziale,substantivo,0.4
mai,nunca,0.6444444444444445
splendida,esplendido,0.11851851851851858
riconciliazione,reconciliacion,0.1428571428571429
singolarita,singularidade,0.18787878787878798
compassione,compaixon,0.12592592592592589
ipocrita,hipocrita,0.016666666666666607
protagonista,protagonista,0.0
dimissioni,dimision,0.033333333333333326
borderline,limite,0.47777777777777786
amico,amigo,0.18666666666666676
compiacente,compracente,0.08484848484848484
effimero,efemero,0.1428571428571429
peculiare,peculiar,0.016666666666666607
incondizionato,incondicional,0.14871794871794863
incomprensibile,inintelixible,0.40512820512820513
complessita,complexidade,0.2545454545454545
credibile,crible,0.05555555555555558
sagace,sagaz,0.19999999999999996
potrei,poderia,0.3222222222222223
demistificare,desmitificar,0.08888888888888902
inviare,publicacion,0.638095238095238
incongruenza,incongruencia,0.08333333333333337
da,xa que,0.6333333333333333
sanzione,sancion,0.1523809523809525
culto,culto,0.0
conciso,sucinto,0.49523809523809526
paura,medo,0.85
redenzione,redencion,0.11851851851851858
indeterminato,indeterminado,0.07179487179487176
esplicito,explicito,0.10370370370370374
empirico,empirico,0.0
volo,voo,0.04444444444444451
sole,sol,0.04444444444444451
omogeneita,homoxeneidade,0.22000000000000008
inerzia,inercia,0.13333333333333341
gratuito,gratuito,0.0
tutto,todos,0.5066666666666666
sottostante,subxacente,0.42666666666666664
impercettibile,sutil,0.4933333333333334
riverberare,reverberar,0.10666666666666669
coscienzioso,concienzudo,0.24848484848484842
obbligatorio,obrigatoria,0.17575757575757567
sobrio,sobrio,0.0
arbitrario,arbitrario,0.0
dipendenza,adiccion,0.55
perpendicolare,perpendicular,0.08205128205128198
tuttavia,con todo,0.7250000000000001
esperienza,experiencia,0.19333333333333336
gridare,berrar,0.4555555555555556
estremamente,excesivamente,0.28888888888888886
nucleo,nucleo,0.0
abbastanza,bastante,0.24166666666666659
occhiata,albiscar,0.6333333333333333
aurelio,aurelio,0.0
fare senza,prescindir,0.5266666666666666
trascendenza,transcendencia,0.09444444444444422
spettro,espectro,0.1523809523809525
possibilita,posibilidade,0.17575757575757578
preponderante,preponderante,0.0
irreprensibile,irreprochable,0.2666666666666666
mescolare,mesturar,0.33333333333333337
luna,lua,0.04444444444444451
pusilC/nime,pusilC/nime,0.0
prudente,prudente,0.0
esclusivamente,exclusivamente,0.06666666666666665
mese,mes,0.04444444444444451
gentilezza,bondade,0.6476190476190476
distinto,distinto,0.0
adeguatezza,idoneidade,0.54
attaccamento,anexo,0.45333333333333337
ma,pero,0.9333333333333333
idiota,idiota,0.0
perspicace,perspicaz,0.11111111111111116
serio,grave,0.6799999999999999
sella,sela,0.033333333333333326
capire,entender,0.711111111111111
ora,agora,0.06666666666666665
analitico,analitico,0.0
eccentricita,excentricidade,0.17222222222222205
animosita,animosidade,0.12592592592592589
criterio,criterio,0.0
individualismo,individualismo,0.0
sottomissione,presentacion,0.5055555555555556
preminenza,preeminencia,0.11333333333333329
rito,rito,0.0
interessante,interesante,0.012121212121212088
primizie,primicias,0.2416666666666667
imminente,inminente,0.10370370370370374
consapevole,consciente,0.3533333333333334
immersione,inmersion,0.11851851851851858
importanza,importancia,0.09999999999999998
interferenza,interferencia,0.08333333333333337
poi,enton,0.6666666666666667
che cosa,que,0.7111111111111111
nativo,nativo,0.0
paura,medo,0.85
machiavellico,maquiavelico,0.15555555555555556
avidita,cobiza,0.5888888888888888
smussare,contundente,0.6583333333333334
ventosa,ventosa,0.0
spontaneo,espontanea,0.11851851851851858
per il,para o,0.4555555555555556
pragmatismo,pragmatismo,0.0
pentimento,arrepentimento,0.033333333333333326
lui ha,el ten,0.5777777777777777
passione,paixon,0.18888888888888888
sensato,sensato,0.0
somma,suma,0.25
sopravvalutato,sobreestimado,0.4717948717948719
monocromo,monocromo,0.0
periodicamente,periodicamente,0.0
