es,fr,Alignment Score
equivocado,trompe,0.7333333333333334
identificar,identifier,0.09999999999999998
dificultad,difficulte,0.17999999999999994
inestabilidad,instabilite,0.17575757575757556
noble,noble,0.0
vulgar,vulgaire,0.04444444444444451
militancia,militantisme,0.19999999999999996
sustantivo,substantiel,0.18666666666666676
alguna vez,jamais,0.6333333333333333
esplendido,splendide,0.11851851851851858
reconciliacion,reconciliation,0.06666666666666665
singularidad,singularite,0.16363636363636347
compasion,compassion,0.014814814814814725
hipocrita,hypocrite,0.20740740740740748
protagonista,protagoniste,0.07777777777777772
resignacion,demission,0.4
limite,limite,0.0
camarada,copain,0.5888888888888888
suficiente,complaisant,0.52
efimero,ephemere,0.39047619047619053
peculiar,particulier,0.2583333333333334
incondicional,inconditionnel,0.14871794871794863
ininteligible,inintelligible,0.01025641025641022
complejidad,complexite,0.2733333333333333
creible,croyable,0.2571428571428571
sagaz,sagace,0.19999999999999996
pude,je pourrais,0.5833333333333333
desmitificar,demystifier,0.24848484848484842
correo,poste,0.56
incongruidad,incongruite,0.16363636363636347
desde,depuis,0.3600000000000001
sancion,sanction,0.01904761904761898
culto,culte,0.18666666666666676
sucinto,succinct,0.1523809523809525
miedo,peur,0.6833333333333333
redencion,rachat,0.6111111111111112
indeterminado,indetermine,0.09696969696969682
explicito,explicite,0.10370370370370374
empirico,empirique,0.22499999999999998
vuelo,vol,0.3555555555555555
sol,soleil,0.08888888888888902
homogeneidad,homogeneite,0.16363636363636347
inercia,inertie,0.2666666666666667
gratis,gratuit,0.1777777777777778
todo,tous,0.43333333333333335
subyacente,sous-jacent,0.27333333333333343
sutil,subtil,0.026666666666666727
reverberar,reverberer,0.09333333333333338
concienzudo,consciencieux,0.2606060606060606
obligatorio,obligatoire,0.16363636363636347
sobrio,sobre,0.19999999999999996
arbitrario,arbitraire,0.17999999999999994
adiccion,dependance,0.6416666666666666
perpendicular,perpendiculaire,0.02051282051282044
sin embargo,cependant,0.6814814814814816
experiencia,experience,0.09999999999999987
gritar,crier,0.3866666666666667
extremadamente,extremement,0.10909090909090902
centro,coeur,0.3866666666666667
bastante,assez,0.41333333333333344
vistazo,apercu,0.7111111111111111
aurelio,aurelio,0.0
hacer sin,faire sans,0.4222222222222223
trascendencia,transcendance,0.2102564102564103
espectro,spectre,0.1523809523809525
posibilidad,possibilite,0.23636363636363633
preponderante,preponderant,0.011111111111111072
irreprochable,irreprochable,0.0
mezclar,melanger,0.2571428571428571
luna,lune,0.2333333333333334
pusilC/nime,pusilC/nime,0.0
prudente,prudent,0.01904761904761898
exclusivamente,exclusivement,0.08205128205128209
mes,mois,0.33333333333333337
amabilidad,gentillesse,0.6733333333333333
distinto,distinct,0.1166666666666667
idoneidad,pertinence,0.5703703703703704
adjunto,piece jointe,0.5619047619047619
pero,mais,0.8333333333333334
estupido,idiot,0.4
perspicaz,perspicace,0.11111111111111116
grave,serieux,0.5733333333333334
sillin,selle,0.3866666666666667
comprender,comprendre,0.09333333333333327
ahora,maintenant,0.6
analitico,analytique,0.3037037037037037
excentricidad,excentricite,0.1499999999999999
animosidad,animosite,0.19999999999999996
criterio,critere,0.1428571428571429
individualismo,individualisme,0.06666666666666665
sumision,soumission,0.033333333333333326
preeminencia,preeminence,0.09090909090909083
rito,rite,0.2333333333333334
interesante,interessant,0.08484848484848473
primeros frutos,premiers fruits,0.18222222222222217
inminente,imminent,0.13333333333333341
consciente,conscient,0.014814814814814725
inmersion,immersion,0.10370370370370374
importancia,importance,0.09999999999999987
interferencia,ingerence,0.23703703703703694
entonces,alors,0.5733333333333334
que,quoi,0.33333333333333337
nativo,indigene,0.6111111111111112
miedo,peur,0.6833333333333333
maquiavelico,machiavelique,0.2944444444444444
codicia,avidite,0.6095238095238096
desafilado,emousse,0.638095238095238
ventosa,ventouse,0.1523809523809525
espontaneo,spontane,0.033333333333333326
para el,pour le,0.39047619047619053
pragmatismo,pragmatisme,0.08484848484848473
arrepentimiento,repentir,0.18333333333333324
el tiene,il a,0.5333333333333334
pasion,passion,0.022222222222222143
sensitivo,sensible,0.32499999999999984
suma,somme,0.4833333333333333
sobreestimado,surestime,0.24444444444444446
monocromo,monochrome,0.11851851851851858
periodicamente,periodiquement,0.1857142857142856
