es,gl,Alignment Score
equivocado,equivocado,0.0
identificar,identificar,0.0
dificultad,dificultade,0.013333333333333308
inestabilidad,inestabilidade,0.01025641025641022
noble,nobre,0.18666666666666676
vulgar,vulgar,0.0
militancia,militancia,0.0
sustantivo,substantivo,0.013333333333333308
alguna vez,nunca,0.44000000000000006
esplendido,esplendido,0.0
reconciliacion,reconciliacion,0.0
singularidad,singularidade,0.011111111111111072
compasion,compaixon,0.10370370370370374
hipocrita,hipocrita,0.0
protagonista,protagonista,0.0
resignacion,dimision,0.45000000000000007
limite,limite,0.0
camarada,amigo,0.56
suficiente,compracente,0.42666666666666664
efimero,efemero,0.13333333333333341
peculiar,peculiar,0.0
incondicional,incondicional,0.0
ininteligible,inintelixible,0.07179487179487176
complejidad,complexidade,0.09696969696969693
creible,crible,0.022222222222222143
sagaz,sagaz,0.0
pude,poderia,0.30000000000000016
desmitificar,desmitificar,0.0
correo,publicacion,0.6333333333333333
incongruidad,incongruencia,0.15555555555555545
desde,xa que,0.6799999999999999
sancion,sancion,0.0
culto,culto,0.0
sucinto,sucinto,0.0
miedo,medo,0.033333333333333326
redencion,redencion,0.0
indeterminado,indeterminado,0.0
explicito,explicito,0.0
empirico,empirico,0.0
vuelo,voo,0.3555555555555555
sol,sol,0.0
homogeneidad,homoxeneidade,0.08888888888888902
inercia,inercia,0.0
gratis,gratuito,0.18888888888888888
todo,todos,0.033333333333333326
subyacente,subxacente,0.09333333333333338
sutil,sutil,0.0
reverberar,reverberar,0.0
concienzudo,concienzudo,0.0
obligatorio,obrigatoria,0.16969696969696968
sobrio,sobrio,0.0
arbitrario,arbitrario,0.0
adiccion,adiccion,0.0
perpendicular,perpendicular,0.0
sin embargo,con todo,0.5583333333333333
experiencia,experiencia,0.0
gritar,berrar,0.43333333333333335
extremadamente,excesivamente,0.27179487179487183
centro,nucleo,0.43333333333333335
bastante,bastante,0.0
vistazo,albiscar,0.5238095238095238
aurelio,aurelio,0.0
hacer sin,prescindir,0.48888888888888893
trascendencia,transcendencia,0.01025641025641022
espectro,espectro,0.0
posibilidad,posibilidade,0.012121212121212088
preponderante,preponderante,0.0
irreprochable,irreprochable,0.0
mezclar,mesturar,0.37142857142857144
luna,lua,0.04444444444444451
pusilC/nime,pusilC/nime,0.0
prudente,prudente,0.0
exclusivamente,exclusivamente,0.0
mes,mes,0.0
amabilidad,bondade,0.4095238095238096
distinto,distinto,0.0
idoneidad,idoneidade,0.014814814814814725
adjunto,anexo,0.3866666666666667
pero,pero,0.0
estupido,idiota,0.4555555555555555
perspicaz,perspicaz,0.0
grave,grave,0.0
sillin,sela,0.5
comprender,entender,0.33333333333333337
ahora,agora,0.18666666666666676
analitico,analitico,0.0
excentricidad,excentricidade,0.01025641025641022
animosidad,animosidade,0.013333333333333308
criterio,criterio,0.0
individualismo,individualismo,0.0
sumision,presentacion,0.45833333333333337
preeminencia,preeminencia,0.0
rito,rito,0.0
interesante,interesante,0.0
primeros frutos,primicias,0.41481481481481497
inminente,inminente,0.0
consciente,consciente,0.0
inmersion,inmersion,0.0
importancia,importancia,0.0
interferencia,interferencia,0.0
entonces,enton,0.05333333333333323
que,que,0.0
nativo,nativo,0.0
miedo,medo,0.033333333333333326
maquiavelico,maquiavelico,0.0
codicia,cobiza,0.3111111111111112
desafilado,contundente,0.6666666666666667
ventosa,ventosa,0.0
espontaneo,espontanea,0.09333333333333327
para el,para o,0.16666666666666663
pragmatismo,pragmatismo,0.0
arrepentimiento,arrepentimento,0.00952380952380949
el tiene,el ten,0.04444444444444451
pasion,paixon,0.15555555555555556
sensitivo,sensato,0.16190476190476188
suma,suma,0.0
sobreestimado,sobreestimado,0.0
monocromo,monocromo,0.0
periodicamente,periodicamente,0.0
