gl,ro,Alignment Score
equivocado,gresit,0.6333333333333333
identificar,identifica,0.013333333333333308
dificultade,dificultate,0.08484848484848473
inestabilidade,instabilitate,0.15384615384615363
nobre,nobil,0.3466666666666668
vulgar,vulgar,0.0
militancia,militantism,0.19333333333333336
substantivo,substantiv,0.013333333333333308
nunca,vreodata,0.7066666666666668
esplendido,splendid,0.033333333333333326
reconciliacion,reconciliere,0.222222222222222
singularidade,singularitate,0.1435897435897434
compaixon,compasiune,0.2148148148148148
hipocrita,ipocrit,0.03809523809523818
protagonista,protagonist,0.012121212121212088
dimision,demisie,0.2761904761904762
limite,la limita,0.20000000000000007
amigo,prietene,0.7333333333333334
compracente,multumit,0.6583333333333334
efemero,efemer,0.022222222222222143
peculiar,ciudat,0.47777777777777786
incondicional,neconditionat,0.2153846153846154
inintelixible,neinteligibil,0.2153846153846154
complexidade,complexitate,0.15555555555555545
crible,credibil,0.18888888888888888
sagaz,sagace,0.19999999999999996
poderia,am putut,0.7142857142857143
desmitificar,demistifica,0.09696969696969693
publicacion,post,0.5666666666666667
incongruencia,incongruenta,0.08333333333333337
xa que,de cand,0.7111111111111111
sancion,sanctiune,0.17142857142857149
culto,cult,0.033333333333333326
sucinto,succint,0.13333333333333341
medo,frica,0.85
redencion,rascumparare,0.6592592592592592
indeterminado,nedeterminat,0.16111111111111098
explicito,explicit,0.016666666666666607
empirico,empiric,0.01904761904761898
voo,zbor,0.6222222222222222
sol,soare,0.3555555555555556
homoxeneidade,omogenitate,0.2787878787878789
inercia,inertie,0.2666666666666667
gratuito,gratuit,0.01904761904761898
todos,toate,0.5066666666666667
subxacente,subiacent,0.11851851851851858
sutil,subtil,0.026666666666666727
reverberar,reverbera,0.014814814814814725
concienzudo,constiincios,0.38787878787878804
obrigatoria,obligatoriu,0.16969696969696968
sobrio,sobru,0.19999999999999996
arbitrario,arbitrar,0.025000000000000022
adiccion,dependenta,0.6499999999999999
perpendicular,perpendicular,0.0
con todo,in orice caz,0.5666666666666667
experiencia,experienta,0.09999999999999998
berrar,strigat,0.6000000000000001
excesivamente,extrem de,0.4222222222222223
nucleo,miez,0.7
bastante,destul de,0.5416666666666667
albiscar,o privire,0.6416666666666666
aurelio,aurelio,0.0
prescindir,fa fara,0.7428571428571429
transcendencia,transcendenta,0.07692307692307687
espectro,spectru,0.1523809523809525
posibilidade,posibilitate,0.15555555555555545
preponderante,preponderent,0.0888888888888888
irreprochable,ireprosabil,0.18787878787878798
mesturar,a amesteca,0.3500000000000001
lua,luna,0.04444444444444451
pusilC/nime,pusilC/nime,0.0
prudente,prudent,0.01904761904761898
exclusivamente,exclusiv,0.05833333333333324
mes,luna,0.8666666666666667
bondade,bunatate,0.4
distinto,distinct,0.1166666666666667
idoneidade,adecvarea,0.5111111111111111
anexo,atasament,0.5733333333333333
pero,dar,0.6222222222222222
idiota,idiot,0.026666666666666727
perspicaz,profund,0.6190476190476191
grave,serios,0.6933333333333334
sela,sa,0.09999999999999998
entender,a intelege,0.45833333333333337
agora,acum,0.6499999999999999
analitico,analitic,0.016666666666666607
excentricidade,excentricitate,0.1333333333333332
animosidade,animozitate,0.25454545454545463
criterio,criteriu,0.1166666666666667
individualismo,individualism,0.01025641025641022
presentacion,supunere,0.5583333333333333
preeminencia,preeminenta,0.09090909090909083
rito,rit,0.04444444444444451
interesante,interesant,0.013333333333333308
primicias,primele fructe,0.4222222222222223
inminente,iminent,0.03809523809523818
consciente,constient,0.11851851851851858
inmersion,imersiune,0.20740740740740748
importancia,importanta,0.09999999999999998
interferencia,interferenta,0.08333333333333337
enton,apoi,0.6833333333333333
que,ce,0.5
nativo,nativ,0.026666666666666727
medo,frica,0.85
maquiavelico,machiavelic,0.16969696969696968
cobiza,lacomie,0.4666666666666667
contundente,bont,0.3666666666666668
ventosa,fraier,0.711111111111111
espontanea,spontan,0.04761904761904767
para o,pentru,0.5777777777777777
pragmatismo,pragmatism,0.013333333333333308
arrepentimento,pocainta,0.4916666666666667
el ten,el are,0.30000000000000016
paixon,pasiune,0.3222222222222223
sensato,sensibil,0.37142857142857144
suma,suma,0.0
sobreestimado,supraestimat,0.3055555555555556
monocromo,monocrom,0.016666666666666607
periodicamente,periodic,0.05833333333333324
