en,it,Alignment Score
mistaken,sbagliato,0.6416666666666666
identify,identificare,0.1499999999999999
difficulty,difficolta,0.18666666666666676
instability,instabilita,0.08484848484848473
noble,nobile,0.026666666666666727
vulgar,volgare,0.1777777777777778
militancy,militanza,0.19259259259259254
substantive,sostanziale,0.32727272727272727
ever,mai,0.8666666666666667
splendid,splendida,0.016666666666666607
reconciliation,riconciliazione,0.1428571428571429
singularity,singolarita,0.16969696969696968
compassion,compassione,0.013333333333333308
hypocrite,ipocrita,0.2416666666666667
protagonist,protagonista,0.012121212121212088
resignation,dimissioni,0.5133333333333334
borderline,borderline,0.0
pal,amico,0.6444444444444445
complacent,compiacente,0.10666666666666669
ephemeral,effimero,0.44166666666666676
peculiar,peculiare,0.016666666666666607
unconditional,incondizionato,0.2205128205128205
unintelligible,incomprensibile,0.43333333333333335
complexity,complessita,0.19333333333333336
believable,credibile,0.40740740740740744
sagacious,sagace,0.18888888888888877
i could,potrei,0.7
demystify,demistificare,0.23703703703703694
post,inviare,0.8833333333333334
incongruity,incongruenza,0.23636363636363633
since,da,0.9666666666666667
sanction,sanzione,0.22499999999999998
cult,culto,0.033333333333333326
succinct,conciso,0.5047619047619049
fear,paura,0.4833333333333334
redemption,redenzione,0.2600000000000001
indeterminate,indeterminato,0.07179487179487176
explicit,esplicito,0.13333333333333341
empirical,empirico,0.125
flight,volo,0.7
sun,sole,0.6000000000000001
homogeneity,omogeneita,0.10666666666666658
inertia,inerzia,0.13333333333333341
free,gratuito,0.7333333333333334
all,tutto,0.8888888888888888
underlying,sottostante,0.6799999999999999
subtle,impercettibile,0.5222222222222223
reverberate,riverberare,0.1696969696969698
conscientious,coscienzioso,0.16666666666666663
compulsory,obbligatorio,0.54
sober,sobrio,0.19999999999999996
arbitrary,arbitrario,0.11111111111111116
addiction,dipendenza,0.5703703703703704
perpendicular,perpendicolare,0.08205128205128198
however,tuttavia,0.7333333333333334
experience,esperienza,0.2666666666666667
shout,gridare,0.8533333333333334
exceedingly,estremamente,0.5515151515151515
core,nucleo,0.4833333333333334
quite,abbastanza,0.76
glimpse,occhiata,0.7333333333333334
aurelio,aurelio,0.0
do without,fare senza,0.7466666666666667
transcendence,trascendenza,0.15555555555555545
spectrum,spettro,0.2761904761904762
possibility,possibilita,0.08484848484848473
preponderant,preponderante,0.011111111111111072
irreproachable,irreprensibile,0.2999999999999998
to mix,mescolare,0.7333333333333334
moon,luna,0.6499999999999999
pusilC/nime,pusilC/nime,0.0
prudent,prudente,0.01904761904761898
exclusively,esclusivamente,0.2606060606060605
month,mese,0.6499999999999999
kindness,gentilezza,0.6583333333333334
distinct,distinto,0.1166666666666667
suitability,adeguatezza,0.6181818181818182
attachment,attaccamento,0.11333333333333329
but,ma,0.9
idiot,idiota,0.026666666666666727
insightful,perspicace,0.6733333333333333
serious,serio,0.039999999999999925
saddle,sella,0.52
to understand,capire,0.7777777777777778
now,ora,0.6000000000000001
analytical,analitico,0.2148148148148148
eccentricity,eccentricita,0.07777777777777772
animosity,animosita,0.10370370370370374
criterion,criterio,0.016666666666666607
individualism,individualismo,0.01025641025641022
submission,sottomissione,0.19999999999999996
pre-eminence,preminenza,0.19333333333333325
rite,rito,0.2333333333333334
interesting,interessante,0.24242424242424243
firstfruits,primizie,0.6666666666666667
imminent,imminente,0.016666666666666607
aware,consapevole,0.6
immersion,immersione,0.014814814814814725
importance,importanza,0.17333333333333334
interference,interferenza,0.14444444444444438
then,poi,0.8666666666666667
what,che cosa,0.5333333333333334
native,nativo,0.15555555555555556
fear,paura,0.4833333333333334
machiavellian,machiavellico,0.1333333333333332
greed,avidita,0.7066666666666667
blunt,smussare,0.7333333333333334
sucker,ventosa,0.711111111111111
spontaneous,spontaneo,0.022222222222222143
for the,per il,0.5888888888888889
pragmatism,pragmatismo,0.013333333333333308
repentance,pentimento,0.42666666666666664
he has,lui ha,0.43333333333333335
passion,passione,0.01904761904761898
sensible,sensato,0.37142857142857144
sum,somma,0.37777777777777777
overestimated,sopravvalutato,0.5333333333333333
monochrome,monocromo,0.11851851851851858
periodically,periodicamente,0.222222222222222
