es,it,Alignment Score
equivocado,sbagliato,0.5777777777777777
identificar,identificare,0.012121212121212088
dificultad,difficolta,0.18666666666666676
inestabilidad,instabilita,0.1090909090909089
noble,nobile,0.026666666666666727
vulgar,volgare,0.1777777777777778
militancia,militanza,0.11111111111111116
sustantivo,sostanziale,0.3666666666666667
alguna vez,mai,0.7555555555555555
esplendido,splendida,0.11851851851851858
reconciliacion,riconciliazione,0.1428571428571429
singularidad,singolarita,0.18181818181818177
compasion,compassione,0.02962962962962956
hipocrita,ipocrita,0.016666666666666607
protagonista,protagonista,0.0
resignacion,dimissioni,0.5133333333333334
limite,borderline,0.47777777777777786
camarada,amico,0.56
suficiente,compiacente,0.34666666666666657
efimero,effimero,0.01904761904761898
peculiar,peculiare,0.016666666666666607
incondicional,incondizionato,0.14871794871794863
ininteligible,incomprensibile,0.40512820512820513
complejidad,complessita,0.24848484848484853
creible,credibile,0.03809523809523818
sagaz,sagace,0.19999999999999996
pude,potrei,0.4833333333333334
desmitificar,demistificare,0.08888888888888902
correo,inviare,0.5777777777777777
incongruidad,incongruenza,0.21666666666666656
desde,da,0.5666666666666667
sancion,sanzione,0.1523809523809525
culto,culto,0.0
sucinto,conciso,0.49523809523809526
miedo,paura,0.8266666666666667
redencion,redenzione,0.11851851851851858
indeterminado,indeterminato,0.07179487179487176
explicito,esplicito,0.10370370370370374
empirico,empirico,0.0
vuelo,volo,0.25
sol,sole,0.04444444444444451
homogeneidad,omogeneita,0.12
inercia,inerzia,0.13333333333333341
gratis,gratuito,0.18888888888888888
todo,tutto,0.45000000000000007
subyacente,sottostante,0.42666666666666664
sutil,impercettibile,0.4933333333333334
reverberar,riverberare,0.10666666666666669
concienzudo,coscienzioso,0.24848484848484842
obligatorio,obbligatorio,0.012121212121212088
sobrio,sobrio,0.0
arbitrario,arbitrario,0.0
adiccion,dipendenza,0.55
perpendicular,perpendicolare,0.08205128205128198
sin embargo,tuttavia,0.6583333333333334
experiencia,esperienza,0.19333333333333336
gritar,gridare,0.1777777777777778
extremadamente,estremamente,0.09444444444444444
centro,nucleo,0.43333333333333335
bastante,abbastanza,0.24166666666666659
vistazo,occhiata,0.5142857142857143
aurelio,aurelio,0.0
hacer sin,fare senza,0.41481481481481497
trascendencia,trascendenza,0.08333333333333337
espectro,spettro,0.1523809523809525
posibilidad,possibilita,0.1696969696969698
preponderante,preponderante,0.0
irreprochable,irreprensibile,0.2666666666666666
mezclar,mescolare,0.17142857142857149
luna,luna,0.0
pusilC/nime,pusilC/nime,0.0
prudente,prudente,0.0
exclusivamente,esclusivamente,0.06666666666666665
mes,mese,0.04444444444444451
amabilidad,gentilezza,0.5933333333333334
distinto,distinto,0.0
idoneidad,adeguatezza,0.5925925925925926
adjunto,attaccamento,0.4095238095238095
pero,ma,0.9333333333333333
estupido,idiota,0.4555555555555555
perspicaz,perspicace,0.11111111111111116
grave,serio,0.6799999999999999
sillin,sella,0.3866666666666667
comprender,capire,0.3555555555555556
ahora,ora,0.06666666666666665
analitico,analitico,0.0
excentricidad,eccentricita,0.16666666666666652
animosidad,animosita,0.11851851851851858
criterio,criterio,0.0
individualismo,individualismo,0.0
sumision,sottomissione,0.17500000000000016
preeminencia,preminenza,0.11333333333333329
rito,rito,0.0
interesante,interessante,0.012121212121212088
primeros frutos,primizie,0.375
inminente,imminente,0.10370370370370374
consciente,consapevole,0.3533333333333334
inmersion,immersione,0.11851851851851858
importancia,importanza,0.09999999999999998
interferencia,interferenza,0.08333333333333337
entonces,poi,0.7333333333333334
que,che cosa,0.7111111111111111
nativo,nativo,0.0
miedo,paura,0.8266666666666667
maquiavelico,machiavellico,0.15555555555555556
codicia,avidita,0.49523809523809526
desafilado,smussare,0.6499999999999999
ventosa,ventosa,0.0
espontaneo,spontaneo,0.014814814814814725
para el,per il,0.33333333333333337
pragmatismo,pragmatismo,0.0
arrepentimiento,pentimento,0.046666666666666634
el tiene,lui ha,0.6
pasion,passione,0.04444444444444451
sensitivo,sensato,0.16190476190476188
suma,somma,0.25
sobreestimado,sopravvalutato,0.4717948717948719
monocromo,monocromo,0.0
periodicamente,periodicamente,0.0
