en,gl,Alignment Score
mistaken,equivocado,0.6666666666666667
identify,identificar,0.1416666666666666
difficulty,dificultade,0.18666666666666676
instability,inestabilidade,0.18181818181818166
noble,nobre,0.18666666666666676
vulgar,vulgar,0.0
militancy,militancia,0.11111111111111116
substantive,substantivo,0.08484848484848473
ever,nunca,0.85
splendid,esplendido,0.033333333333333326
reconciliation,reconciliacion,0.06666666666666665
singularity,singularidade,0.16969696969696957
compassion,compaixon,0.11111111111111116
hypocrite,hipocrita,0.20740740740740748
protagonist,protagonista,0.012121212121212088
resignation,dimision,0.45000000000000007
borderline,limite,0.47777777777777786
pal,amigo,0.6444444444444445
complacent,compracente,0.10666666666666669
ephemeral,efemero,0.2857142857142857
peculiar,peculiar,0.0
unconditional,incondicional,0.14358974358974363
unintelligible,inintelixible,0.15384615384615385
complexity,complexidade,0.18666666666666665
believable,crible,0.34444444444444444
sagacious,sagaz,0.2400000000000001
i could,poderia,0.6095238095238096
demystify,desmitificar,0.3185185185185184
post,publicacion,0.5666666666666667
incongruity,incongruencia,0.17575757575757556
since,xa que,0.6799999999999999
sanction,sancion,0.01904761904761898
cult,culto,0.033333333333333326
succinct,sucinto,0.1523809523809525
fear,medo,0.6666666666666667
redemption,redencion,0.20000000000000007
indeterminate,indeterminado,0.1333333333333332
explicit,explicito,0.016666666666666607
empirical,empirico,0.125
flight,voo,0.9111111111111111
sun,sol,0.5777777777777777
homogeneity,homoxeneidade,0.2545454545454545
inertia,inercia,0.13333333333333341
free,gratuito,0.7333333333333334
all,todos,0.8888888888888888
underlying,subxacente,0.5933333333333334
subtle,sutil,0.21333333333333337
reverberate,reverberar,0.09999999999999987
conscientious,concienzudo,0.2545454545454545
compulsory,obrigatoria,0.6
sober,sobrio,0.19999999999999996
arbitrary,arbitrario,0.11111111111111116
addiction,adiccion,0.13333333333333341
perpendicular,perpendicular,0.0
however,con todo,0.7238095238095238
experience,experiencia,0.09999999999999987
shout,berrar,0.8400000000000001
exceedingly,excesivamente,0.4
core,nucleo,0.4833333333333334
quite,bastante,0.5466666666666666
glimpse,albiscar,0.5238095238095238
aurelio,aurelio,0.0
do without,prescindir,0.6666666666666667
transcendence,transcendencia,0.07692307692307687
spectrum,espectro,0.22499999999999998
possibility,posibilidade,0.24242424242424243
preponderant,preponderante,0.011111111111111072
irreproachable,irreprochable,0.01025641025641022
to mix,mesturar,0.7222222222222222
moon,lua,0.8666666666666667
pusilC/nime,pusilC/nime,0.0
prudent,prudente,0.01904761904761898
exclusively,exclusivamente,0.17575757575757556
month,mes,0.6222222222222222
kindness,bondade,0.5142857142857143
distinct,distinto,0.1166666666666667
suitability,idoneidade,0.6799999999999999
attachment,anexo,0.5866666666666667
but,pero,0.8666666666666667
idiot,idiota,0.026666666666666727
insightful,perspicaz,0.6666666666666667
serious,grave,0.7066666666666668
saddle,sela,0.4666666666666667
to understand,entender,0.3750000000000001
now,agora,0.6666666666666667
analytical,analitico,0.2148148148148148
eccentricity,excentricidade,0.23333333333333317
animosity,animosidade,0.20740740740740737
criterion,criterio,0.016666666666666607
individualism,individualismo,0.01025641025641022
submission,presentacion,0.5133333333333334
pre-eminence,preeminencia,0.1499999999999999
rite,rito,0.2333333333333334
interesting,interesante,0.23636363636363633
firstfruits,primicias,0.5851851851851853
imminent,inminente,0.13333333333333341
aware,consciente,0.7333333333333334
immersion,inmersion,0.10370370370370374
importance,importancia,0.09999999999999987
interference,interferencia,0.08333333333333337
then,enton,0.45000000000000007
what,que,0.8666666666666667
native,nativo,0.15555555555555556
fear,medo,0.6666666666666667
machiavellian,maquiavelico,0.29999999999999993
greed,cobiza,0.8400000000000001
blunt,contundente,0.45333333333333337
sucker,ventosa,0.711111111111111
spontaneous,espontanea,0.18666666666666676
for the,para o,0.6000000000000001
pragmatism,pragmatismo,0.013333333333333308
repentance,arrepentimento,0.2933333333333332
he has,el ten,0.5777777777777777
passion,paixon,0.16666666666666663
sensible,sensato,0.37142857142857144
sum,suma,0.04444444444444451
overestimated,sobreestimado,0.27692307692307694
monochrome,monocromo,0.11851851851851858
periodically,periodicamente,0.222222222222222
