fr,ro,Alignment Score
trompe,gresit,0.5777777777777777
identifier,identifica,0.17333333333333334
difficulte,dificultate,0.09999999999999998
instabilite,instabilitate,0.018181818181817966
noble,nobil,0.18666666666666676
vulgaire,vulgar,0.04444444444444451
militantisme,militantism,0.012121212121212088
substantiel,substantiv,0.09999999999999987
jamais,vreodata,0.6111111111111112
splendide,splendid,0.016666666666666607
reconciliation,reconciliere,0.222222222222222
singularite,singularitate,0.018181818181817966
compassion,compasiune,0.18666666666666676
hypocrite,ipocrit,0.16190476190476188
protagoniste,protagonist,0.012121212121212088
demission,demisie,0.16190476190476188
limite,la limita,0.20000000000000007
copain,prietene,0.47777777777777775
complaisant,multumit,0.475
ephemere,efemer,0.18888888888888888
particulier,ciudat,0.6333333333333333
inconditionnel,neconditionat,0.21025641025641018
inintelligible,neinteligibil,0.15384615384615385
complexite,complexitate,0.019999999999999907
croyable,credibil,0.43333333333333335
sagace,sagace,0.0
je pourrais,am putut,0.5666666666666667
demystifier,demistifica,0.24242424242424243
poste,post,0.033333333333333326
incongruite,incongruenta,0.16363636363636358
depuis,de cand,0.5666666666666667
sanction,sanctiune,0.13333333333333341
culte,cult,0.033333333333333326
succinct,succint,0.01904761904761898
peur,frica,0.6666666666666667
rachat,rascumparare,0.38888888888888906
indetermine,nedeterminat,0.17575757575757567
explicite,explicit,0.016666666666666607
empirique,empiric,0.1523809523809524
vol,zbor,0.6444444444444445
soleil,soare,0.3733333333333334
homogeneite,omogenitate,0.16363636363636358
inertie,inertie,0.0
gratuit,gratuit,0.0
tous,toate,0.45000000000000007
sous-jacent,subiacent,0.2148148148148148
subtil,subtil,0.0
reverberer,reverbera,0.11111111111111116
consciencieux,constiincios,0.29999999999999993
obligatoire,obligatoriu,0.16363636363636347
sobre,sobru,0.18666666666666676
arbitraire,arbitrar,0.033333333333333326
dependance,dependenta,0.2533333333333333
perpendiculaire,perpendicular,0.02051282051282044
cependant,in orice caz,0.5925925925925926
experience,experienta,0.17333333333333334
crier,strigat,0.56
extremement,extrem de,0.20740740740740737
coeur,miez,0.6833333333333333
assez,destul de,0.5866666666666667
apercu,o privire,0.6111111111111112
aurelio,aurelio,0.0
faire sans,fa fara,0.4095238095238096
transcendance,transcendenta,0.19487179487179473
spectre,spectru,0.13333333333333341
possibilite,posibilitate,0.09090909090909083
preponderant,preponderent,0.07777777777777772
irreprochable,ireprosabil,0.18787878787878798
melanger,a amesteca,0.55
lune,luna,0.2333333333333334
pusilC/nime,pusilC/nime,0.0
prudent,prudent,0.0
exclusivement,exclusiv,0.04999999999999982
mois,luna,0.8333333333333334
gentillesse,bunatate,0.5583333333333333
distinct,distinct,0.0
pertinence,adecvarea,0.5777777777777777
piece jointe,atasament,0.5851851851851853
mais,dar,0.6444444444444445
idiot,idiot,0.0
perspicace,profund,0.6285714285714286
serieux,serios,0.30000000000000016
selle,sa,0.5666666666666667
comprendre,a intelege,0.6666666666666667
maintenant,acum,0.7333333333333334
analytique,analitic,0.25
excentricite,excentricitate,0.016666666666666496
animosite,animozitate,0.12592592592592589
critere,criteriu,0.1428571428571429
individualisme,individualism,0.01025641025641022
soumission,supunere,0.55
preeminence,preeminenta,0.15757575757575748
rite,rit,0.04444444444444451
interessant,interesant,0.013333333333333308
premiers fruits,primele fructe,0.3238095238095239
imminent,iminent,0.01904761904761898
conscient,constient,0.10370370370370374
immersion,imersiune,0.20740740740740748
importance,importanta,0.17333333333333334
ingerence,interferenta,0.31851851851851853
alors,apoi,0.4833333333333334
quoi,ce,0.9333333333333333
indigene,nativ,0.5866666666666667
peur,frica,0.6666666666666667
machiavelique,machiavelic,0.09696969696969682
avidite,lacomie,0.49523809523809526
emousse,bont,0.7166666666666668
ventouse,fraier,0.7222222222222223
spontane,spontan,0.01904761904761898
pour le,pentru,0.5666666666666667
pragmatisme,pragmatism,0.013333333333333308
repentir,pocainta,0.5416666666666667
il a,el are,0.28333333333333355
passion,pasiune,0.2666666666666667
sensible,sensibil,0.1166666666666667
somme,suma,0.4833333333333333
surestime,supraestimat,0.14074074074074072
monochrome,monocrom,0.033333333333333326
periodiquement,periodic,0.16666666666666652
