pt,en,es,fr,it,gl,ro
equivocado,mistaken,equivocado,trompe,sbagliato,equivocado,gresit
identificar,identify,identificar,identifier,identificare,identificar,identifica
dificuldade,difficulty,dificultad,difficulte,difficolta,dificultade,dificultate
instabilidade,instability,inestabilidad,instabilite,instabilita,inestabilidade,instabilitate
nobre,noble,noble,noble,nobile,nobre,nobil
vulgar,vulgar,vulgar,vulgaire,volgare,vulgar,vulgar
militancia,militancy,militancia,militantisme,militanza,militancia,militantism
substantivo,substantive,sustantivo,substantiel,sostanziale,substantivo,substantiv
sempre,ever,alguna vez,jamais,mai,nunca,vreodata
esplendido,splendid,esplendido,splendide,splendida,esplendido,splendid
reconciliacao,reconciliation,reconciliacion,reconciliation,riconciliazione,reconciliacion,reconciliere
singularidade,singularity,singularidad,singularite,singolarita,singularidade,singularitate
compaixao,compassion,compasion,compassion,compassione,compaixon,compasiune
hipocrita,hypocrite,hipocrita,hypocrite,ipocrita,hipocrita,ipocrit
protagonista,protagonist,protagonista,protagoniste,protagonista,protagonista,protagonist
resignacao,resignation,resignacion,demission,dimissioni,dimision,demisie
limitrofe,borderline,limite,limite,borderline,limite,la limita
pal,pal,camarada,copain,amico,amigo,prietene
complacente,complacent,suficiente,complaisant,compiacente,compracente,multumit
efemero,ephemeral,efimero,ephemere,effimero,efemero,efemer
peculiar,peculiar,peculiar,particulier,peculiare,peculiar,ciudat
incondicional,unconditional,incondicional,inconditionnel,incondizionato,incondicional,neconditionat
ininteligivel,unintelligible,ininteligible,inintelligible,incomprensibile,inintelixible,neinteligibil
complexidade,complexity,complejidad,complexite,complessita,complexidade,complexitate
verossimil,believable,creible,croyable,credibile,crible,credibil
sagaz,sagacious,sagaz,sagace,sagace,sagaz,sagace
pude,i could,pude,je pourrais,potrei,poderia,am putut
desmistificar,demystify,desmitificar,demystifier,demistificare,desmitificar,demistifica
pos,post,correo,poste,inviare,publicacion,post
incongruencia,incongruity,incongruidad,incongruite,incongruenza,incongruencia,incongruenta
desde,since,desde,depuis,da,xa que,de cand
sancao,sanction,sancion,sanction,sanzione,sancion,sanctiune
culto,cult,culto,culte,culto,culto,cult
sucinto,succinct,sucinto,succinct,conciso,sucinto,succint
receio,fear,miedo,peur,paura,medo,frica
redencao,redemption,redencion,rachat,redenzione,redencion,rascumparare
indeterminado,indeterminate,indeterminado,indetermine,indeterminato,indeterminado,nedeterminat
explicito,explicit,explicito,explicite,esplicito,explicito,explicit
empirico,empirical,empirico,empirique,empirico,empirico,empiric
voo,flight,vuelo,vol,volo,voo,zbor
dom,sun,sol,soleil,sole,sol,soare
homogeneidade,homogeneity,homogeneidad,homogeneite,omogeneita,homoxeneidade,omogenitate
