pt,ro,Alignment Score
equivocado,gresit,0.6333333333333333
identificar,identifica,0.013333333333333308
dificuldade,dificultate,0.1696969696969698
instabilidade,instabilitate,0.1435897435897434
nobre,nobil,0.3466666666666668
vulgar,vulgar,0.0
militancia,militantism,0.19333333333333336
substantivo,substantiv,0.013333333333333308
sempre,vreodata,0.5888888888888888
esplendido,splendid,0.033333333333333326
reconciliacao,reconciliere,0.21666666666666645
singularidade,singularitate,0.1435897435897434
compaixao,compasiune,0.2962962962962963
hipocrita,ipocrit,0.03809523809523818
protagonista,protagonist,0.012121212121212088
resignacao,demisie,0.5333333333333334
limitrofe,la limita,0.37777777777777777
pal,prietene,0.6888888888888889
complacente,multumit,0.575
efemero,efemer,0.022222222222222143
peculiar,ciudat,0.47777777777777786
incondicional,neconditionat,0.2153846153846154
ininteligivel,neinteligibil,0.20512820512820507
complexidade,complexitate,0.15555555555555545
verossimil,credibil,0.4666666666666667
sagaz,sagace,0.19999999999999996
pude,am putut,0.5166666666666666
desmistificar,demistifica,0.024242424242424176
pos,post,0.04444444444444451
incongruencia,incongruenta,0.08333333333333337
desde,de cand,0.3866666666666667
sancao,sanctiune,0.3222222222222223
culto,cult,0.033333333333333326
sucinto,succint,0.13333333333333341
receio,frica,0.5466666666666666
redencao,rascumparare,0.575
indeterminado,nedeterminat,0.16111111111111098
explicito,explicit,0.016666666666666607
empirico,empiric,0.01904761904761898
voo,zbor,0.6222222222222222
dom,soare,0.6666666666666667
homogeneidade,omogenitate,0.19393939393939397
inercia,inertie,0.2666666666666667
isento,gratuit,0.5777777777777777
todo,toate,0.45000000000000007
subjacente,subiacent,0.11851851851851858
sutil,subtil,0.026666666666666727
reverberar,reverbera,0.014814814814814725
consciencioso,constiincios,0.16111111111111098
compulsorio,obligatoriu,0.47878787878787876
sobrio,sobru,0.19999999999999996
arbitrario,arbitrar,0.025000000000000022
vicio,dependenta,0.8933333333333333
perpendicular,perpendicular,0.0
contudo,in orice caz,0.6666666666666667
experiencia,experienta,0.09999999999999998
brado,strigat,0.5733333333333334
sobremaneira,extrem de,0.5037037037037038
amago,miez,0.6666666666666667
meio,destul de,0.7333333333333334
vislumbrar,o privire,0.5629629629629629
aurelio,aurelio,0.0
prescindir,fa fara,0.7428571428571429
transcendencia,transcendenta,0.07692307692307687
espectro,spectru,0.1523809523809525
possibilidade,posibilitate,0.16666666666666663
preponderante,preponderent,0.0888888888888888
irrepreensivel,ireprosabil,0.2666666666666666
mexer,a amesteca,0.45333333333333337
lua,luna,0.04444444444444451
pusilanime,pusilC/nime,0.09999999999999998
prudente,prudent,0.01904761904761898
exclusivamente,exclusiv,0.05833333333333324
mes,luna,0.8666666666666667
amabilidade,bunatate,0.5666666666666667
distinto,distinct,0.1166666666666667
idoneidade,adecvarea,0.5111111111111111
anexo,atasament,0.5733333333333333
mas,dar,0.6222222222222222
idiota,idiot,0.026666666666666727
perspicaz,profund,0.6190476190476191
sisudo,serios,0.43333333333333335
sela,sa,0.09999999999999998
compreender,a intelege,0.6066666666666667
ora,acum,0.6000000000000001
analitico,analitic,0.016666666666666607
excentricidade,excentricitate,0.1333333333333332
animosidade,animozitate,0.25454545454545463
criterio,criteriu,0.1166666666666667
individualismo,individualism,0.01025641025641022
submissao,supunere,0.625
preeminencia,preeminenta,0.09090909090909083
rito,rit,0.04444444444444451
interessante,interesant,0.026666666666666616
primicias,primele fructe,0.4222222222222223
iminente,iminent,0.01904761904761898
conscientizar,constient,0.1407407407407406
imersao,imersiune,0.2666666666666666
importancia,importanta,0.09999999999999998
ingerencia,interferenta,0.2799999999999999
entao,apoi,0.4666666666666667
que,ce,0.5
oriundo,nativ,0.7066666666666668
temor,frica,0.6799999999999999
maquiavelico,machiavelic,0.16969696969696968
cobica,lacomie,0.4666666666666667
contundente,bont,0.3666666666666668
otario,fraier,0.5777777777777777
espontaneo,spontan,0.04761904761904767
pela,pentru,0.4666666666666667
pragmatismo,pragmatism,0.013333333333333308
arrependimento,pocainta,0.4916666666666667
tem,el are,0.6666666666666667
paixao,pasiune,0.44444444444444453
sensato,sensibil,0.37142857142857144
suma,suma,0.0
superestimado,supraestimat,0.16111111111111098
monocromatico,monocrom,0.04999999999999982
periodicamente,periodic,0.05833333333333324
