pt,it,Alignment Score
equivocado,sbagliato,0.5777777777777777
identificar,identificare,0.012121212121212088
dificuldade,difficolta,0.28666666666666674
instabilidade,instabilita,0.10303030303030292
nobre,nobile,0.19999999999999996
vulgar,volgare,0.1777777777777778
militancia,militanza,0.11111111111111116
substantivo,sostanziale,0.4
sempre,mai,0.6666666666666667
esplendido,splendida,0.11851851851851858
reconciliacao,riconciliazione,0.2205128205128204
singularidade,singolarita,0.18787878787878798
compaixao,compassione,0.21481481481481468
hipocrita,ipocrita,0.016666666666666607
protagonista,protagonista,0.0
resignacao,dimissioni,0.5866666666666667
limitrofe,borderline,0.5629629629629629
pal,amico,0.6444444444444445
complacente,compiacente,0.08484848484848484
efemero,effimero,0.1428571428571429
peculiar,peculiare,0.016666666666666607
incondicional,incondizionato,0.14871794871794863
ininteligivel,incomprensibile,0.4820512820512821
complexidade,complessita,0.2545454545454545
verossimil,credibile,0.5037037037037038
sagaz,sagace,0.19999999999999996
pude,potrei,0.4833333333333334
desmistificar,demistificare,0.07179487179487176
pos,inviare,0.9333333333333333
incongruencia,incongruenza,0.08333333333333337
desde,da,0.5666666666666667
sancao,sanzione,0.3222222222222223
culto,culto,0.0
sucinto,conciso,0.49523809523809526
receio,paura,0.6933333333333334
redencao,redenzione,0.24166666666666659
indeterminado,indeterminato,0.07179487179487176
explicito,esplicito,0.10370370370370374
empirico,empirico,0.0
voo,volo,0.04444444444444451
dom,sole,0.6444444444444445
homogeneidade,omogeneita,0.1266666666666667
inercia,inerzia,0.13333333333333341
isento,gratuito,0.4444444444444444
todo,tutto,0.45000000000000007
subjacente,sottostante,0.42666666666666664
sutil,impercettibile,0.4933333333333334
reverberar,riverberare,0.10666666666666669
consciencioso,coscienzioso,0.08888888888888902
compulsorio,obbligatorio,0.4
sobrio,sobrio,0.0
arbitrario,arbitrario,0.0
vicio,dipendenza,0.76
perpendicular,perpendicolare,0.08205128205128198
contudo,tuttavia,0.6095238095238096
experiencia,esperienza,0.19333333333333336
brado,gridare,0.5733333333333334
sobremaneira,estremamente,0.3666666666666667
amago,nucleo,0.6799999999999999
meio,abbastanza,0.9333333333333333
vislumbrar,occhiata,0.6583333333333334
aurelio,aurelio,0.0
prescindir,fare senza,0.5266666666666666
transcendencia,trascendenza,0.09444444444444422
espectro,spettro,0.1523809523809525
possibilidade,possibilita,0.10303030303030292
preponderante,preponderante,0.0
irrepreensivel,irreprensibile,0.19047619047619035
mexer,mescolare,0.41333333333333344
lua,luna,0.04444444444444451
pusilanime,pusilC/nime,0.09999999999999998
prudente,prudente,0.0
exclusivamente,esclusivamente,0.06666666666666665
mes,mese,0.04444444444444451
amabilidade,gentilezza,0.5933333333333334
distinto,distinto,0.0
idoneidade,adeguatezza,0.54
anexo,attaccamento,0.45333333333333337
mas,ma,0.06666666666666676
idiota,idiota,0.0
perspicaz,perspicace,0.11111111111111116
sisudo,serio,0.36
sela,sella,0.033333333333333326
compreender,capire,0.3666666666666667
ora,ora,0.0
analitico,analitico,0.0
excentricidade,eccentricita,0.17222222222222205
animosidade,animosita,0.12592592592592589
criterio,criterio,0.0
individualismo,individualismo,0.0
submissao,sottomissione,0.33333333333333337
preeminencia,preminenza,0.11333333333333329
rito,rito,0.0
interessante,interessante,0.0
primicias,primizie,0.2416666666666667
iminente,imminente,0.016666666666666607
conscientizar,consapevole,0.4666666666666668
imersao,immersione,0.18095238095238098
importancia,importanza,0.09999999999999998
ingerencia,interferenza,0.2799999999999999
entao,poi,0.6444444444444445
que,che cosa,0.7111111111111111
oriundo,nativo,0.5777777777777777
temor,paura,0.6799999999999999
maquiavelico,machiavellico,0.15555555555555556
cobica,avidita,0.5888888888888888
contundente,smussare,0.6583333333333334
otario,ventosa,0.5888888888888889
espontaneo,spontaneo,0.014814814814814725
pela,per il,0.2666666666666667
pragmatismo,pragmatismo,0.0
arrependimento,pentimento,0.1266666666666667
tem,lui ha,0.9111111111111111
paixao,passione,0.3222222222222223
sensato,sensato,0.0
suma,somma,0.25
superestimado,sopravvalutato,0.476923076923077
monocromatico,monocromo,0.03703703703703709
periodicamente,periodicamente,0.0
