es,ro,Alignment Score
equivocado,gresit,0.6333333333333333
identificar,identifica,0.013333333333333308
dificultad,dificultate,0.09999999999999987
inestabilidad,instabilitate,0.21025641025641006
noble,nobil,0.18666666666666676
vulgar,vulgar,0.0
militancia,militantism,0.19333333333333336
sustantivo,substantiv,0.09333333333333327
alguna vez,vreodata,0.6499999999999999
esplendido,splendid,0.033333333333333326
reconciliacion,reconciliere,0.222222222222222
singularidad,singularitate,0.16111111111111098
compasion,compasiune,0.11851851851851858
hipocrita,ipocrit,0.03809523809523818
protagonista,protagonist,0.012121212121212088
resignacion,demisie,0.5428571428571429
limite,la limita,0.20000000000000007
camarada,prietene,0.7333333333333334
suficiente,multumit,0.5666666666666667
efimero,efemer,0.1777777777777778
peculiar,ciudat,0.47777777777777786
incondicional,neconditionat,0.2153846153846154
ininteligible,neinteligibil,0.1435897435897434
complejidad,complexitate,0.2606060606060606
creible,credibil,0.1523809523809525
sagaz,sagace,0.19999999999999996
pude,am putut,0.5166666666666666
desmitificar,demistifica,0.09696969696969693
correo,post,0.6833333333333333
incongruidad,incongruenta,0.21666666666666656
desde,de cand,0.3866666666666667
sancion,sanctiune,0.17142857142857149
culto,cult,0.033333333333333326
sucinto,succint,0.13333333333333341
miedo,frica,0.6933333333333334
redencion,rascumparare,0.6592592592592592
indeterminado,nedeterminat,0.16111111111111098
explicito,explicit,0.016666666666666607
empirico,empiric,0.01904761904761898
vuelo,zbor,0.6666666666666667
sol,soare,0.3555555555555556
homogeneidad,omogenitate,0.2606060606060606
inercia,inertie,0.2666666666666667
gratis,gratuit,0.1777777777777778
todo,toate,0.45000000000000007
subyacente,subiacent,0.11851851851851858
sutil,subtil,0.026666666666666727
reverberar,reverbera,0.014814814814814725
concienzudo,constiincios,0.38787878787878804
obligatorio,obligatoriu,0.08484848484848473
sobrio,sobru,0.19999999999999996
arbitrario,arbitrar,0.025000000000000022
adiccion,dependenta,0.6499999999999999
perpendicular,perpendicular,0.0
sin embargo,in orice caz,0.4787878787878789
experiencia,experienta,0.09999999999999998
gritar,strigat,0.4555555555555555
extremadamente,extrem de,0.14814814814814814
centro,miez,0.7
bastante,destul de,0.5416666666666667
vistazo,o privire,0.6190476190476191
aurelio,aurelio,0.0
hacer sin,fa fara,0.638095238095238
trascendencia,transcendenta,0.1384615384615382
espectro,spectru,0.1523809523809525
posibilidad,posibilitate,0.17575757575757567
preponderante,preponderent,0.0888888888888888
irreprochable,ireprosabil,0.18787878787878798
mezclar,a amesteca,0.4190476190476191
luna,luna,0.0
pusilC/nime,pusilC/nime,0.0
prudente,prudent,0.01904761904761898
exclusivamente,exclusiv,0.05833333333333324
mes,luna,0.8666666666666667
amabilidad,bunatate,0.6583333333333334
distinto,distinct,0.1166666666666667
idoneidad,adecvarea,0.5777777777777777
adjunto,atasament,0.5047619047619047
pero,dar,0.6222222222222222
estupido,idiot,0.4
perspicaz,profund,0.6190476190476191
grave,serios,0.6933333333333334
sillin,sa,0.6000000000000001
comprender,a intelege,0.6733333333333333
ahora,acum,0.6499999999999999
analitico,analitic,0.016666666666666607
excentricidad,excentricitate,0.14871794871794863
animosidad,animozitate,0.28666666666666674
criterio,criteriu,0.1166666666666667
individualismo,individualism,0.01025641025641022
sumision,supunere,0.5250000000000001
preeminencia,preeminenta,0.09090909090909083
rito,rit,0.04444444444444451
interesante,interesant,0.013333333333333308
primeros frutos,primele fructe,0.257142857142857
inminente,iminent,0.03809523809523818
consciente,constient,0.11851851851851858
inmersion,imersiune,0.20740740740740748
importancia,importanta,0.09999999999999998
interferencia,interferenta,0.08333333333333337
entonces,apoi,0.7333333333333334
que,ce,0.5
nativo,nativ,0.026666666666666727
miedo,frica,0.6933333333333334
maquiavelico,machiavelic,0.16969696969696968
codicia,lacomie,0.5047619047619049
desafilado,bont,0.75
ventosa,fraier,0.711111111111111
espontaneo,spontan,0.04761904761904767
para el,pentru,0.5777777777777777
pragmatismo,pragmatism,0.013333333333333308
arrepentimiento,pocainta,0.5
el tiene,el are,0.3111111111111112
pasion,pasiune,0.1777777777777778
sensitivo,sensibil,0.2416666666666667
suma,suma,0.0
sobreestimado,supraestimat,0.3055555555555556
monocromo,monocrom,0.016666666666666607
periodicamente,periodic,0.05833333333333324
