en,ro,Alignment Score
mistaken,gresit,0.6000000000000001
identify,identifica,0.1333333333333333
difficulty,dificultate,0.18666666666666676
instability,instabilitate,0.09696969696969682
noble,nobil,0.18666666666666676
vulgar,vulgar,0.0
militancy,militantism,0.20740740740740737
substantive,substantiv,0.013333333333333308
ever,vreodata,0.5166666666666668
splendid,splendid,0.0
reconciliation,reconciliere,0.222222222222222
singularity,singularitate,0.09696969696969682
compassion,compasiune,0.18666666666666676
hypocrite,ipocrit,0.16190476190476188
protagonist,protagonist,0.0
resignation,demisie,0.5428571428571429
borderline,la limita,0.6592592592592592
pal,prietene,0.6888888888888889
complacent,multumit,0.5583333333333333
ephemeral,efemer,0.19999999999999996
peculiar,ciudat,0.47777777777777786
unconditional,neconditionat,0.1435897435897434
unintelligible,neinteligibil,0.15384615384615385
complexity,complexitate,0.10666666666666658
believable,credibil,0.475
sagacious,sagace,0.18888888888888877
i could,am putut,0.638095238095238
demystify,demistifica,0.2222222222222222
post,post,0.0
incongruity,incongruenta,0.17575757575757567
since,de cand,0.7066666666666668
sanction,sanctiune,0.13333333333333341
cult,cult,0.0
succinct,succint,0.01904761904761898
fear,frica,0.45000000000000007
redemption,rascumparare,0.6000000000000001
indeterminate,nedeterminat,0.08888888888888902
explicit,explicit,0.0
empirical,empiric,0.028571428571428692
flight,zbor,0.8666666666666667
sun,soare,0.6222222222222222
homogeneity,omogenitate,0.24242424242424243
inertia,inertie,0.13333333333333341
free,gratuit,0.7166666666666668
all,toate,0.6444444444444445
underlying,subiacent,0.5851851851851853
subtle,subtil,0.15555555555555556
reverberate,reverbera,0.022222222222222143
conscientious,constiincios,0.23888888888888893
compulsory,obligatoriu,0.5333333333333333
sober,sobru,0.18666666666666676
arbitrary,arbitrar,0.016666666666666607
addiction,dependenta,0.5777777777777777
perpendicular,perpendicular,0.0
however,in orice caz,0.6571428571428571
experience,experienta,0.17333333333333334
shout,strigat,0.5333333333333333
exceedingly,extrem de,0.48888888888888904
core,miez,0.6499999999999999
quite,destul de,0.5733333333333333
glimpse,o privire,0.6285714285714286
aurelio,aurelio,0.0
do without,fa fara,0.7523809523809524
transcendence,transcendenta,0.1333333333333332
spectrum,spectru,0.01904761904761898
possibility,posibilitate,0.16969696969696957
preponderant,preponderent,0.07777777777777772
irreproachable,ireprosabil,0.19393939393939386
to mix,a amesteca,0.6333333333333333
moon,luna,0.6499999999999999
pusilC/nime,pusilC/nime,0.0
prudent,prudent,0.0
exclusively,exclusiv,0.033333333333333215
month,luna,0.6833333333333333
kindness,bunatate,0.6333333333333333
distinct,distinct,0.0
suitability,adecvarea,0.7481481481481482
attachment,atasament,0.20740740740740748
but,dar,0.8444444444444444
idiot,idiot,0.0
insightful,profund,0.638095238095238
serious,serios,0.022222222222222143
saddle,sa,0.16666666666666663
to understand,a intelege,0.6266666666666667
now,acum,0.8666666666666667
analytical,analitic,0.1416666666666666
eccentricity,excentricitate,0.16666666666666652
animosity,animozitate,0.2222222222222222
criterion,criteriu,0.125
individualism,individualism,0.0
submission,supunere,0.5416666666666667
pre-eminence,preeminenta,0.16969696969696957
rite,rit,0.04444444444444451
interesting,interesant,0.17999999999999994
firstfruits,primele fructe,0.503030303030303
imminent,iminent,0.01904761904761898
aware,constient,0.7333333333333334
immersion,imersiune,0.20740740740740748
importance,importanta,0.17333333333333334
interference,interferenta,0.14444444444444438
then,apoi,0.8333333333333334
what,ce,0.9333333333333333
native,nativ,0.026666666666666727
fear,frica,0.45000000000000007
machiavellian,machiavelic,0.10303030303030292
greed,lacomie,0.7066666666666667
blunt,bont,0.25
sucker,fraier,0.5555555555555556
spontaneous,spontan,0.04761904761904767
for the,pentru,0.711111111111111
pragmatism,pragmatism,0.0
repentance,pocainta,0.45000000000000007
he has,el are,0.4555555555555556
passion,pasiune,0.2666666666666667
sensible,sensibil,0.1166666666666667
sum,suma,0.04444444444444451
overestimated,supraestimat,0.2944444444444445
monochrome,monocrom,0.033333333333333326
periodically,periodic,0.04166666666666663
