es,gl,Alignment Score
adaptar,encaixar,0.49523809523809526
excepto,excepto,0.0
expresion,expresion,0.0
extraterrestre,alleo,0.6533333333333333
solidaridad,solidariedade,0.024242424242424176
difusion,difusion,0.0
principalmente,principalmente,0.0
complacencia,compracencia,0.07777777777777772
despota,despota,0.0
afiliacion,adhesion,0.43333333333333335
perseverante,perseverante,0.0
meta,obxectivo,0.5666666666666667
su,teu,0.5
eminente,eminente,0.0
agil,axil,0.2333333333333334
alteridad,alteridade,0.014814814814814725
celula,celula,0.0
establecer,establecer,0.0
rostro,cara,0.6833333333333333
premisa,premisa,0.0
aplazar,procrastinar,0.4380952380952381
beneplacito,beneplacito,0.0
intenso,intenso,0.0
por eso,polo tanto,0.4095238095238096
oportunidad,oportunidade,0.012121212121212088
problema,problema,0.0
tal vez,quizais,0.7142857142857143
hacer,facer,0.18666666666666676
controversia,polemica,0.4916666666666667
celo,celo,0.0
iniquidad,iniquidade,0.014814814814814725
diseminacion,difusion,0.25
el tuvo,tina,0.7
dolor,dor,0.06666666666666665
estilo,garbo,0.6799999999999999
detallado,detallado,0.0
amalgama,amalgama,0.0
sobreviniente,supervindo,0.45333333333333337
literalmente,literalmente,0.0
potencialidad,potencialidade,0.01025641025641022
volatil,volatil,0.0
ambicion,ambicion,0.0
luz,luz,0.0
esplendido,fermoso,0.5142857142857143
de lo contrario,en caso contrario,0.1333333333333333
transeunte,transeunte,0.0
generosidad,xenerosidade,0.09696969696969693
disculpar,escusa,0.3555555555555556
superficial,superficial,0.0
indistinto,indiscriminado,0.21333333333333326
mujer,muller,0.19999999999999996
a traves de,a traves,0.033333333333333215
obstaculo,obstaculo,0.0
magnificencia,magnificencia,0.0
consolidacion,consolidacion,0.0
escoria,escoria,0.0
factual,factual,0.0
incidencia,incidencia,0.0
objetivo,obxectivo,0.1333333333333333
ellos son,eles son,0.125
ambicioso,ambicioso,0.0
resiliencia,resiliencia,0.0
insipido,insipido,0.0
homosexuales,gai,0.8222222222222223
tamiz,peneira,0.7066666666666667
ascendencia,ascendencia,0.0
todavia,ainda,0.3866666666666667
honestidad,honestidade,0.013333333333333308
asignacion,asignacion,0.0
providencia,providencia,0.0
perentorio,perentorio,0.0
ambiguedad,ambiguidade,0.10666666666666669
inconveniente,inconveniente,0.0
resolucion,resolucion,0.0
apoyo,apoiar,0.36
conveniente,conveniente,0.0
contradiccion,contradicion,0.011111111111111072
frivolo,frivolo,0.0
remoto,remoto,0.0
dilacion,procrastinacion,0.29166666666666663
merced,misericordia,0.25555555555555565
acento,acento,0.0
historia,historia,0.0
hola,ola,0.04444444444444451
imprescriptible,imprescriptible,0.0
especulacion,especulacion,0.0
inherente,inherente,0.0
pernicioso,perniciosa,0.09333333333333327
basico,esencial,0.6111111111111112
vida,vida,0.0
apatico,apatico,0.0
reciproco,reciproco,0.0
escrupulo,escrupulo,0.0
pero,pero,0.0
espontaneidad,espontaneidade,0.01025641025641022
profano,profano,0.0
negligencia,neglixencia,0.08484848484848484
discriminar,discriminar,0.0
redundancia,redundancia,0.0
ego,ego,0.0
cuando,cando,0.026666666666666727
desconocido,incognoscible,0.4121212121212121
perfidia,perfidia,0.0
acto,actuar,0.2666666666666667
trae,trae,0.0
inferir,inferir,0.0
elegible,elixibles,0.2333333333333334
paria,paria,0.0
correlacion,correlacionar,0.018181818181817966
receso,recreo,0.15555555555555556
obstaculo,atranco,0.4095238095238095
despecho,despecho,0.0
insuperable,insalvable,0.26
obstinado,obstinado,0.0
irascible,irascible,0.0
inseparable,inseparables,0.012121212121212088
hacer disponible,para poner a disposicion,0.36249999999999993
constitucion,constitucion,0.0
conciencia,consciencia,0.013333333333333308
