gl,ro,Alignment Score
encaixar,potrivi,0.7238095238095238
excepto,cu exceptia,0.18095238095238098
expresion,expresie,0.125
alleo,strain,0.6933333333333334
solidariedade,solidaritate,0.16111111111111098
difusion,difuziune,0.25
principalmente,in principal,0.2222222222222221
compracencia,complezenta,0.3212121212121213
despota,despot,0.022222222222222143
adhesion,calitatea de membru,0.6333333333333333
perseverante,perseverent,0.09696969696969693
obxectivo,poarta,0.6222222222222222
teu,ta,0.5
eminente,eminent,0.01904761904761898
axil,agil,0.2333333333333334
alteridade,alteritate,0.18666666666666676
celula,celula,0.0
establecer,a stabili,0.4
cara,fata,0.4666666666666667
premisa,premisa,0.0
procrastinar,amana,0.4666666666666667
beneplacito,beneplacito,0.0
intenso,intens,0.022222222222222143
polo tanto,prin urmare,0.6066666666666667
oportunidade,oportunitate,0.15555555555555545
problema,problema,0.0
quizais,poate,0.72
facer,a face,0.19999999999999996
polemica,controversa,0.575
celo,zel,0.3555555555555556
iniquidade,nelegiuirea,0.44666666666666677
difusion,diseminare,0.3500000000000001
tina,el a avut,0.7166666666666667
dor,durere,0.3999999999999999
garbo,pompon,0.6933333333333334
detallado,detaliat,0.2416666666666667
amalgama,amalgam,0.01904761904761898
supervindo,supravenind,0.19333333333333336
literalmente,literalmente,0.0
potencialidade,potentialitate,0.19999999999999984
volatil,volatil,0.0
ambicion,ambitie,0.2761904761904762
luz,usoara,0.6666666666666667
fermoso,superba,0.6095238095238096
en caso contrario,in caz contrar,0.1523809523809524
transeunte,trecator,0.45000000000000007
xenerosidade,generozitate,0.3111111111111112
escusa,scuza,0.21333333333333337
superficial,superficial,0.0
indiscriminado,nediscriminatoriu,0.15238095238095217
muller,femeie,0.5777777777777777
a traves,prin,0.7333333333333334
obstaculo,obstacol,0.125
magnificencia,maretie,0.4380952380952382
consolidacion,consolidare,0.16969696969696957
escoria,gunoi,0.56
factual,faptice,0.48571428571428577
incidencia,incidenta,0.11111111111111116
obxectivo,tinta,0.5733333333333334
eles son,sunt,0.5333333333333334
ambicioso,ambitios,0.13333333333333341
resiliencia,rezistenta,0.36
insipido,lipsit de gust,0.5
gai,gay,0.3111111111111111
peneira,sita,0.5166666666666666
ascendencia,origine,0.6476190476190476
ainda,inca,0.2666666666666666
honestidade,onestitate,0.19999999999999996
asignacion,misiune,0.5333333333333333
providencia,providenta,0.09999999999999998
perentorio,peremptorie,0.19333333333333336
ambiguidade,ambiguitate,0.1696969696969698
inconveniente,incomod,0.4190476190476191
resolucion,rezolutie,0.31851851851851853
apoiar,a sustine,0.6111111111111112
conveniente,convenabil,0.2666666666666667
contradicion,contradictie,0.1499999999999999
frivolo,frivol,0.022222222222222143
remoto,la distanta,0.7666666666666667
procrastinacion,procrastinare,0.1435897435897434
misericordia,mila,0.3666666666666667
acento,accent,0.15555555555555556
historia,poveste,0.6190476190476191
ola,buna ziua,0.7111111111111111
imprescriptible,imprescriptibil,0.06222222222222218
especulacion,speculatie,0.20666666666666678
inherente,inerent,0.03809523809523818
perniciosa,pernicios,0.014814814814814725
esencial,esential,0.1166666666666667
vida,viata,0.25
apatico,apatic,0.022222222222222143
reciproco,reciproc,0.016666666666666607
escrupulo,scrupul,0.03809523809523818
pero,dar,0.6222222222222222
espontaneidade,spontaneitate,0.15384615384615363
profano,profan,0.022222222222222143
neglixencia,neglijenta,0.19333333333333336
discriminar,deosebi,0.5428571428571429
redundancia,redundanta,0.09999999999999998
ego,ego-ul,0.08888888888888902
cando,cand,0.033333333333333326
incognoscible,de necunoscut,0.4666666666666667
perfidia,perfidie,0.1166666666666667
actuar,act,0.08888888888888902
trae,aduce,0.45000000000000007
inferir,deduce,0.711111111111111
elixibles,eligibil,0.2416666666666667
paria,paria,0.0
correlacionar,corela,0.09999999999999987
recreo,pauza,0.8400000000000001
atranco,impiedicare,0.6476190476190476
despecho,ciuda,0.72
insalvable,de netrecut,0.6733333333333333
obstinado,incapatanat,0.5777777777777777
irascible,irascibil,0.10370370370370374
inseparables,de nedespartit,0.5111111111111112
para poner a disposicion,a pune la dispozitie,0.2499999999999999
constitucion,constitutie,0.17575757575757567
consciencia,constiinta,0.2733333333333333
