it,gl,Alignment Score
adatto,encaixar,0.6111111111111112
tranne,excepto,0.7
espressione,expresion,0.13333333333333341
alieno,alleo,0.21333333333333326
solidarieta,solidariedade,0.10303030303030292
diffusione,difusion,0.033333333333333326
principalmente,principalmente,0.0
compiacimento,compracencia,0.29999999999999993
despota,despota,0.0
appartenenza,adhesion,0.5666666666666667
perseverante,perseverante,0.0
obiettivo,obxectivo,0.20740740740740748
tuo,teu,0.3111111111111112
eminente,eminente,0.0
agile,axil,0.2666666666666667
alterita,alteridade,0.1416666666666666
cellula,celula,0.022222222222222143
stabilire,establecer,0.3037037037037037
viso,cara,0.8333333333333334
premessa,premisa,0.1428571428571429
procrastinare,procrastinar,0.011111111111111072
beneplacito,beneplacito,0.0
intenso,intenso,0.0
quindi,polo tanto,0.7555555555555555
opportunita,oportunidade,0.17575757575757578
problema,problema,0.0
forse,quizais,0.7066666666666668
fare,facer,0.25
controversia,polemica,0.4916666666666667
zelo,celo,0.2333333333333334
iniquita,iniquidade,0.1416666666666666
diffusione,difusion,0.033333333333333326
lui aveva,tina,0.55
dolore,dor,0.11111111111111116
brio,garbo,0.45000000000000007
dettagliato,detallado,0.23703703703703716
amalgama,amalgama,0.0
sopravvenuto,supervindo,0.3866666666666667
letteralmente,literalmente,0.08333333333333337
potenzialita,potencialidade,0.17222222222222205
volatile,volatil,0.01904761904761898
ambizione,ambicion,0.13333333333333341
leggero,luz,0.6666666666666667
bellissimo,fermoso,0.5333333333333333
altrimenti,en caso contrario,0.5533333333333333
passante,transeunte,0.3583333333333334
generosita,xenerosidade,0.20666666666666678
scusa,escusa,0.026666666666666727
superficiale,superficial,0.012121212121212088
indiscriminato,indiscriminado,0.06666666666666665
donna,muller,0.8400000000000001
attraverso,a traves,0.15000000000000002
ostacolo,obstaculo,0.13333333333333341
magnificenza,magnificencia,0.08333333333333337
consolidamento,consolidacion,0.20512820512820495
feccia,escoria,0.3222222222222223
effettivo,factual,0.638095238095238
incidenza,incidencia,0.11111111111111116
bersaglio,obxectivo,0.4814814814814815
sono,eles son,0.30000000000000016
ambizioso,ambicioso,0.10370370370370374
resilienza,resiliencia,0.09999999999999998
insapore,insipido,0.3333333333333335
gay,gai,0.3111111111111111
setaccio,peneira,0.6285714285714286
ascendenza,ascendencia,0.09999999999999998
ancora,ainda,0.3733333333333334
onesta,honestidade,0.08888888888888902
incarico,asignacion,0.3666666666666667
provvidenza,providencia,0.16363636363636358
perentorio,perentorio,0.0
ambiguita,ambiguidade,0.12592592592592589
sconveniente,inconveniente,0.08333333333333337
risoluzione,resolucion,0.19999999999999996
supporto,apoiar,0.4666666666666667
conveniente,conveniente,0.0
contraddizione,contradicion,0.10000000000000009
frivolo,frivolo,0.0
a distanza,remoto,0.7555555555555555
indugio,procrastinacion,0.4571428571428572
misericordia,misericordia,0.0
accento,acento,0.022222222222222143
storia,historia,0.03333333333333344
ciao,ola,0.6000000000000001
imprescrittibile,imprescriptible,0.07111111111111101
speculazione,especulacion,0.15555555555555556
inerente,inherente,0.016666666666666607
pernicioso,perniciosa,0.09333333333333327
essenziale,esencial,0.15000000000000002
vita,vida,0.2333333333333334
apatico,apatico,0.0
reciproco,reciproco,0.0
scrupolo,escrupulo,0.13333333333333341
ma,pero,0.9333333333333333
spontaneita,espontaneidade,0.115151515151515
profano,profano,0.0
negligenza,neglixencia,0.19333333333333336
discriminare,discriminar,0.012121212121212088
ridondanza,redundancia,0.28666666666666674
ego,ego,0.0
quando,cando,0.19999999999999996
inconoscibile,incognoscible,0.07179487179487176
perfidia,perfidia,0.0
atto,actuar,0.4833333333333334
porta,trae,0.4666666666666667
dedurre,inferir,0.5047619047619047
idoneo,elixibles,0.6222222222222222
paria,paria,0.0
correlare,correlacionar,0.1333333333333333
recesso,recreo,0.16666666666666663
ostacolo,atranco,0.4
dispetto,despecho,0.33333333333333337
insormontabile,insalvable,0.28666666666666674
ostinato,obstinado,0.13333333333333341
irascibile,irascible,0.014814814814814725
inseparabile,inseparables,0.07777777777777772
mettere a disposizione,para poner a disposicion,0.2787878787878788
costituzione,constitucion,0.15555555555555556
coscienza,consciencia,0.12592592592592589
