pt,es,Alignment Score
apto,adaptar,0.30000000000000016
exceto,excepto,0.022222222222222143
expressao,expresion,0.19999999999999996
alheio,extraterrestre,0.6666666666666667
solidariedade,solidaridad,0.024242424242424176
difusao,difusion,0.1523809523809525
principalmente,principalmente,0.0
complacencia,complacencia,0.0
despota,despota,0.0
adesao,afiliacion,0.48888888888888893
perseverante,perseverante,0.0
meta,meta,0.0
seu,su,0.06666666666666676
eminente,eminente,0.0
agil,agil,0.0
alteridade,alteridad,0.014814814814814725
cela,celula,0.04999999999999993
estabelecer,establecer,0.013333333333333308
face,rostro,0.8666666666666667
premissa,premisa,0.01904761904761898
procrastinar,aplazar,0.4380952380952381
beneplacito,beneplacito,0.0
intenso,intenso,0.0
dai,por eso,0.9333333333333333
oportunidade,oportunidad,0.012121212121212088
problema,problema,0.0
quica,tal vez,0.7066666666666668
fazer,hacer,0.3733333333333334
controversia,controversia,0.0
zelo,celo,0.2333333333333334
iniquidade,iniquidad,0.014814814814814725
disseminacao,diseminacion,0.15555555555555545
teve,el tuvo,0.5166666666666666
dor,dolor,0.06666666666666665
brio,estilo,0.4833333333333334
pormenorizado,detallado,0.5037037037037038
amalgama,amalgama,0.0
superveniente,sobreviniente,0.2666666666666666
literalmente,literalmente,0.0
potencialidade,potencialidad,0.01025641025641022
volatil,volatil,0.0
ambicao,ambicion,0.1523809523809525
luz,luz,0.0
deslumbrante,esplendido,0.5200000000000001
outrossim,de lo contrario,0.525925925925926
transeunte,transeunte,0.0
generosidade,generosidad,0.012121212121212088
escusa,disculpar,0.3555555555555556
superficial,superficial,0.0
indiscriminado,indistinto,0.21333333333333326
mulher,mujer,0.19999999999999996
atraves,a traves de,0.05714285714285716
obice,obstaculo,0.42666666666666664
magnificencia,magnificencia,0.0
consolidacao,consolidacion,0.0888888888888888
escoria,escoria,0.0
fatico,factual,0.4444444444444444
incidencia,incidencia,0.0
alvo,objetivo,0.5
sao,ellos son,0.4666666666666667
ambicioso,ambicioso,0.0
resiliencia,resiliencia,0.0
insipido,insipido,0.0
gay,homosexuales,0.8222222222222223
crivo,tamiz,0.6933333333333334
ancestralidade,ascendencia,0.4787878787878789
ainda,todavia,0.3866666666666667
honestidade,honestidad,0.013333333333333308
cessao,asignacion,0.5
providencia,providencia,0.0
peremptorio,perentorio,0.09999999999999998
ambiguidade,ambiguedad,0.10666666666666669
inconveniente,inconveniente,0.0
dissolucao,resolucion,0.3533333333333334
respaldo,apoyo,0.56
conveniente,conveniente,0.0
contradicao,contradiccion,0.10303030303030292
frivolo,frivolo,0.0
remoto,remoto,0.0
procrastinacao,dilacion,0.5083333333333333
misericordia,merced,0.25555555555555565
acento,acento,0.0
estoria,historia,0.1428571428571429
ola,hola,0.04444444444444451
imprescritivel,imprescriptible,0.13809523809523805
especulacao,especulacion,0.09696969696969682
inerente,inherente,0.016666666666666607
pernicioso,pernicioso,0.0
essencial,basico,0.6222222222222222
vida,vida,0.0
apatico,apatico,0.0
reciproco,reciproco,0.0
escrupulo,escrupulo,0.0
mas,pero,0.8666666666666667
espontaneidade,espontaneidad,0.01025641025641022
profano,profano,0.0
negligencia,negligencia,0.0
discriminar,discriminar,0.0
redundancia,redundancia,0.0
ego,ego,0.0
quando,cuando,0.15555555555555556
incognoscivel,desconocido,0.4121212121212121
perfidia,perfidia,0.0
ato,acto,0.04444444444444451
traz,trae,0.2333333333333334
inferir,inferir,0.0
elegivel,elegible,0.22499999999999998
paria,paria,0.0
correlacionar,correlacion,0.018181818181817966
recesso,receso,0.022222222222222143
empecilho,obstaculo,0.5703703703703704
despeito,despecho,0.21666666666666667
intransponivel,insuperable,0.4121212121212121
obstinado,obstinado,0.0
irascivel,irascible,0.19999999999999996
indissociavel,inseparable,0.4727272727272728
disponibilizar,hacer disponible,0.3142857142857143
constituicao,constitucion,0.1499999999999999
consciencia,conciencia,0.013333333333333308
