pt,en,es,fr,it,gl,ro
apto,fit,adaptar,ajuster,adatto,encaixar,potrivi
exceto,except,excepto,sauf,tranne,excepto,cu exceptia
expressao,expression,expresion,expression,espressione,expresion,expresie
alheio,alien,extraterrestre,extraterrestre,alieno,alleo,strain
solidariedade,solidarity,solidaridad,solidarite,solidarieta,solidariedade,solidaritate
difusao,diffusion,difusion,la diffusion,diffusione,difusion,difuziune
principalmente,mainly,principalmente,principalement,principalmente,principalmente,in principal
complacencia,complacency,complacencia,complaisance,compiacimento,compracencia,complezenta
despota,despot,despota,despote,despota,despota,despot
adesao,membership,afiliacion,adhesion,appartenenza,adhesion,calitatea de membru
perseverante,persevering,perseverante,perseverant,perseverante,perseverante,perseverent
meta,goal,meta,but,obiettivo,obxectivo,poarta
seu,your,su,ton,tuo,teu,ta
eminente,eminent,eminente,eminent,eminente,eminente,eminent
agil,agile,agil,agile,agile,axil,agil
alteridade,alterity,alteridad,alterite,alterita,alteridade,alteritate
cela,cell,celula,cellule,cellula,celula,celula
estabelecer,to establish,establecer,etablir,stabilire,establecer,a stabili
face,face,rostro,affronter,viso,cara,fata
premissa,premise,premisa,premisse,premessa,premisa,premisa
procrastinar,procrastinate,aplazar,remettre a plus tard,procrastinare,procrastinar,amana
beneplacito,beneplacito,beneplacito,beneplacito,beneplacito,beneplacito,beneplacito
intenso,intense,intenso,intense,intenso,intenso,intens
dai,hence,por eso,ainsi,quindi,polo tanto,prin urmare
oportunidade,opportunity,oportunidad,opportunite,opportunita,oportunidade,oportunitate
problema,problem,problema,probleme,problema,problema,problema
quica,perhaps,tal vez,peut-etre,forse,quizais,poate
fazer,to do,hacer,faire,fare,facer,a face
controversia,controversy,controversia,controverse,controversia,polemica,controversa
zelo,zeal,celo,zele,zelo,celo,zel
iniquidade,iniquity,iniquidad,iniquite,iniquita,iniquidade,nelegiuirea
disseminacao,dissemination,diseminacion,dissemination,diffusione,difusion,diseminare
teve,he had,el tuvo,il avait,lui aveva,tina,el a avut
dor,pain,dolor,douleur,dolore,dor,durere
brio,panache,estilo,panache,brio,garbo,pompon
pormenorizado,detailed,detallado,detaille,dettagliato,detallado,detaliat
amalgama,amalgam,amalgama,amalgame,amalgama,amalgama,amalgam
superveniente,supervening,sobreviniente,survenant,sopravvenuto,supervindo,supravenind
literalmente,literally,literalmente,litteralement,letteralmente,literalmente,literalmente
potencialidade,potentiality,potencialidad,potentialite,potenzialita,potencialidade,potentialitate
volatil,volatile,volatil,volatil,volatile,volatil,volatil
ambicao,ambition,ambicion,ambition,ambizione,ambicion,ambitie
luz,light,luz,lumiere,leggero,luz,usoara
deslumbrante,gorgeous,esplendido,magnifique,bellissimo,fermoso,superba
outrossim,otherwise,de lo contrario,sinon,altrimenti,en caso contrario,in caz contrar
transeunte,passerby,transeunte,passant,passante,transeunte,trecator
generosidade,generosity,generosidad,generosite,generosita,xenerosidade,generozitate
escusa,excuse,disculpar,excuse,scusa,escusa,scuza
superficial,superficial,superficial,superficiel,superficiale,superficial,superficial
indiscriminado,indiscriminate,indistinto,aveugle,indiscriminato,indiscriminado,nediscriminatoriu
mulher,woman,mujer,femme,donna,muller,femeie
atraves,through,a traves de,a travers,attraverso,a traves,prin
obice,obstacle,obstaculo,obstacle,ostacolo,obstaculo,obstacol
magnificencia,magnificence,magnificencia,magnificence,magnificenza,magnificencia,maretie
consolidacao,consolidation,consolidacion,consolidation,consolidamento,consolidacion,consolidare
escoria,scum,escoria,ecume,feccia,escoria,gunoi
fatico,factual,factual,factuel,effettivo,factual,faptice
incidencia,incidence,incidencia,incidence,incidenza,incidencia,incidenta
alvo,target,objetivo,cible,bersaglio,obxectivo,tinta
sao,they are,ellos son,ils sont,sono,eles son,sunt
ambicioso,ambitious,ambicioso,ambitieux,ambizioso,ambicioso,ambitios
resiliencia,resilience,resiliencia,resilience,resilienza,resiliencia,rezistenta
insipido,tasteless,insipido,insipide,insapore,insipido,lipsit de gust
gay,gay,homosexuales,gay,gay,gai,gay
crivo,sieve,tamiz,tamis,setaccio,peneira,sita
ancestralidade,ancestry,ascendencia,ascendance,ascendenza,ascendencia,origine
ainda,yet,todavia,encore,ancora,ainda,inca
honestidade,honesty,honestidad,honnetete,onesta,honestidade,onestitate
cessao,assignment,asignacion,affectation,incarico,asignacion,misiune
providencia,providence,providencia,providence,provvidenza,providencia,providenta
peremptorio,peremptory,perentorio,peremptoire,perentorio,perentorio,peremptorie
ambiguidade,ambiguity,ambiguedad,ambiguite,ambiguita,ambiguidade,ambiguitate
inconveniente,inconvenient,inconveniente,incommode,sconveniente,inconveniente,incomod
dissolucao,resolution,resolucion,resolution,risoluzione,resolucion,rezolutie
respaldo,support,apoyo,soutien,supporto,apoiar,a sustine
conveniente,convenient,conveniente,pratique,conveniente,conveniente,convenabil
contradicao,contradiction,contradiccion,contradiction,contraddizione,contradicion,contradictie
frivolo,frivolous,frivolo,frivole,frivolo,frivolo,frivol
remoto,remote,remoto,telecommande,a distanza,remoto,la distanta
procrastinacao,procrastination,dilacion,procrastination,indugio,procrastinacion,procrastinare
misericordia,mercy,merced,misericorde,misericordia,misericordia,mila
acento,accent,acento,accent,accento,acento,accent
estoria,story,historia,histoire,storia,historia,poveste
ola,hello,hola,bonjour,ciao,ola,buna ziua
imprescritivel,imprescriptible,imprescriptible,imprescriptible,imprescrittibile,imprescriptible,imprescriptibil
especulacao,speculation,especulacion,speculation,speculazione,especulacion,speculatie
inerente,inherent,inherente,inherent,inerente,inherente,inerent
pernicioso,pernicious,pernicioso,pernicieux,pernicioso,perniciosa,pernicios
essencial,essential,basico,essentiel,essenziale,esencial,esential
vida,life,vida,vie,vita,vida,viata
apatico,apathetic,apatico,apathique,apatico,apatico,apatic
reciproco,reciprocal,reciproco,reciproque,reciproco,reciproco,reciproc
escrupulo,scruple,escrupulo,scrupule,scrupolo,escrupulo,scrupul
mas,but,pero,mais,ma,pero,dar
espontaneidade,spontaneity,espontaneidad,spontaneite,spontaneita,espontaneidade,spontaneitate
profano,profane,profano,profane,profano,profano,profan
negligencia,negligence,negligencia,negligence,negligenza,neglixencia,neglijenta
discriminar,discriminate,discriminar,discriminer,discriminare,discriminar,deosebi
redundancia,redundancy,redundancia,redondance,ridondanza,redundancia,redundanta
ego,ego,ego,ego,ego,ego,ego-ul
quando,when,cuando,quand,quando,cando,cand
incognoscivel,unknowable,desconocido,inconnaissable,inconoscibile,incognoscible,de necunoscut
perfidia,perfidy,perfidia,perfidie,perfidia,perfidia,perfidie
ato,act,acto,acte,atto,actuar,act
traz,brings,trae,apporte,porta,trae,aduce
inferir,infer,inferir,deduire,dedurre,inferir,deduce
elegivel,eligible,elegible,admissible,idoneo,elixibles,eligibil
paria,pariah,paria,paria,paria,paria,paria
correlacionar,correlate,correlacion,correlatif,correlare,correlacionar,corela
recesso,recess,receso,recreation,recesso,recreo,pauza
empecilho,hindrance,obstaculo,obstacle,ostacolo,atranco,impiedicare
despeito,spite,despecho,depit,dispetto,despecho,ciuda
intransponivel,insurmountable,insuperable,insurmontable,insormontabile,insalvable,de netrecut
obstinado,obstinate,obstinado,obstine,ostinato,obstinado,incapatanat
irascivel,irascible,irascible,irascible,irascibile,irascible,irascibil
indissociavel,inseparable,inseparable,inseparable,inseparabile,inseparables,de nedespartit
disponibilizar,to make available,hacer disponible,mettre a disposition,mettere a disposizione,para poner a disposicion,a pune la dispozitie
constituicao,constitution,constitucion,constitution,costituzione,constitucion,constitutie
consciencia,conscience,conciencia,conscience,coscienza,consciencia,constiinta
