pt,ro,Alignment Score
apto,potrivi,0.5
exceto,cu exceptia,0.23333333333333328
expressao,expresie,0.22499999999999998
alheio,strain,0.5777777777777777
solidariedade,solidaritate,0.16111111111111098
difusao,difuziune,0.38095238095238104
principalmente,in principal,0.2222222222222221
complacencia,complezenta,0.24848484848484842
despota,despot,0.022222222222222143
adesao,calitatea de membru,0.5888888888888889
perseverante,perseverent,0.09696969696969693
meta,poarta,0.4666666666666667
seu,ta,0.9
eminente,eminent,0.01904761904761898
agil,agil,0.0
alteridade,alteritate,0.18666666666666676
cela,celula,0.04999999999999993
estabelecer,a stabili,0.41481481481481497
face,fata,0.43333333333333335
premissa,premisa,0.01904761904761898
procrastinar,amana,0.4666666666666667
beneplacito,beneplacito,0.0
intenso,intens,0.022222222222222143
dai,prin urmare,0.7777777777777778
oportunidade,oportunitate,0.15555555555555545
problema,problema,0.0
quica,poate,0.6799999999999999
fazer,a face,0.3866666666666667
controversia,controversa,0.012121212121212088
zelo,zel,0.04444444444444451
iniquidade,nelegiuirea,0.44666666666666677
disseminacao,diseminare,0.19333333333333325
teve,el a avut,0.55
dor,durere,0.3999999999999999
brio,pompon,0.6833333333333333
pormenorizado,detaliat,0.6000000000000001
amalgama,amalgam,0.01904761904761898
superveniente,supravenind,0.18787878787878798
literalmente,literalmente,0.0
potencialidade,potentialitate,0.19999999999999984
volatil,volatil,0.0
ambicao,ambitie,0.36190476190476195
luz,usoara,0.6666666666666667
deslumbrante,superba,0.4476190476190476
outrossim,in caz contrar,0.6074074074074074
transeunte,trecator,0.45000000000000007
generosidade,generozitate,0.2333333333333334
escusa,scuza,0.21333333333333337
superficial,superficial,0.0
indiscriminado,nediscriminatoriu,0.15238095238095217
mulher,femeie,0.5777777777777777
atraves,prin,0.7166666666666668
obice,obstacol,0.41333333333333344
magnificencia,maretie,0.4380952380952382
consolidacao,consolidare,0.16363636363636347
escoria,gunoi,0.56
fatico,faptice,0.1777777777777778
incidencia,incidenta,0.11111111111111116
alvo,tinta,0.6500000000000001
sao,sunt,0.6000000000000001
ambicioso,ambitios,0.13333333333333341
resiliencia,rezistenta,0.36
insipido,lipsit de gust,0.5
gay,gay,0.0
crivo,sita,0.6833333333333333
ancestralidade,origine,0.5714285714285714
ainda,inca,0.2666666666666666
honestidade,onestitate,0.19999999999999996
cessao,misiune,0.711111111111111
providencia,providenta,0.09999999999999998
peremptorio,peremptorie,0.08484848484848473
ambiguidade,ambiguitate,0.1696969696969698
inconveniente,incomod,0.4190476190476191
dissolucao,rezolutie,0.5703703703703704
respaldo,a sustine,0.7333333333333334
conveniente,convenabil,0.2666666666666667
contradicao,contradictie,0.16363636363636347
frivolo,frivol,0.022222222222222143
remoto,la distanta,0.7666666666666667
procrastinacao,procrastinare,0.1384615384615382
misericordia,mila,0.3666666666666667
acento,accent,0.15555555555555556
estoria,poveste,0.48571428571428577
ola,buna ziua,0.7111111111111111
imprescritivel,imprescriptibil,0.1333333333333332
especulacao,speculatie,0.2666666666666667
inerente,inerent,0.01904761904761898
pernicioso,pernicios,0.014814814814814725
essencial,esential,0.13333333333333341
vida,viata,0.25
apatico,apatic,0.022222222222222143
reciproco,reciproc,0.016666666666666607
escrupulo,scrupul,0.03809523809523818
mas,dar,0.6222222222222222
espontaneidade,spontaneitate,0.15384615384615363
profano,profan,0.022222222222222143
negligencia,neglijenta,0.19333333333333336
discriminar,deosebi,0.5428571428571429
redundancia,redundanta,0.09999999999999998
ego,ego-ul,0.08888888888888902
quando,cand,0.2833333333333333
incognoscivel,de necunoscut,0.4666666666666667
perfidia,perfidie,0.1166666666666667
ato,act,0.3111111111111112
traz,aduce,0.6666666666666667
inferir,deduce,0.711111111111111
elegivel,eligibil,0.33333333333333337
paria,paria,0.0
correlacionar,corela,0.09999999999999987
recesso,pauza,0.8533333333333334
empecilho,impiedicare,0.5037037037037038
despeito,ciuda,0.72
intransponivel,de netrecut,0.5636363636363637
obstinado,incapatanat,0.5777777777777777
irascivel,irascibil,0.19259259259259254
indissociavel,de nedespartit,0.6051282051282052
disponibilizar,a pune la dispozitie,0.4619047619047618
constituicao,constitutie,0.16969696969696957
consciencia,constiinta,0.2733333333333333
