es,it,Alignment Score
adaptar,adatto,0.3111111111111112
excepto,tranne,0.7
expresion,espressione,0.13333333333333341
extraterrestre,alieno,0.6666666666666667
solidaridad,solidarieta,0.16363636363636358
difusion,diffusione,0.033333333333333326
principalmente,principalmente,0.0
complacencia,compiacimento,0.29999999999999993
despota,despota,0.0
afiliacion,appartenenza,0.6066666666666667
perseverante,perseverante,0.0
meta,obiettivo,0.55
su,tuo,0.5333333333333334
eminente,eminente,0.0
agil,agile,0.033333333333333326
alteridad,alterita,0.13333333333333341
celula,cellula,0.022222222222222143
establecer,stabilire,0.3037037037037037
rostro,viso,0.4833333333333334
premisa,premessa,0.1428571428571429
aplazar,procrastinare,0.4571428571428572
beneplacito,beneplacito,0.0
intenso,intenso,0.0
por eso,quindi,0.8333333333333334
oportunidad,opportunita,0.1696969696969698
problema,problema,0.0
tal vez,forse,0.7066666666666668
hacer,fare,0.4833333333333334
controversia,controversia,0.0
celo,zelo,0.2333333333333334
iniquidad,iniquita,0.13333333333333341
diseminacion,diffusione,0.3533333333333334
el tuvo,lui aveva,0.5238095238095238
dolor,dolore,0.026666666666666727
estilo,brio,0.4833333333333334
detallado,dettagliato,0.23703703703703716
amalgama,amalgama,0.0
sobreviniente,sopravvenuto,0.3833333333333334
literalmente,letteralmente,0.08333333333333337
potencialidad,potenzialita,0.16666666666666652
volatil,volatile,0.01904761904761898
ambicion,ambizione,0.13333333333333341
luz,leggero,0.6666666666666667
esplendido,bellissimo,0.5133333333333334
de lo contrario,altrimenti,0.5466666666666666
transeunte,passante,0.3583333333333334
generosidad,generosita,0.10666666666666669
disculpar,scusa,0.2666666666666667
superficial,superficiale,0.012121212121212088
indistinto,indiscriminato,0.1266666666666666
mujer,donna,0.8266666666666667
a traves de,attraverso,0.2799999999999999
obstaculo,ostacolo,0.13333333333333341
magnificencia,magnificenza,0.08333333333333337
consolidacion,consolidamento,0.20512820512820495
escoria,feccia,0.3222222222222223
factual,effettivo,0.638095238095238
incidencia,incidenza,0.11111111111111116
objetivo,bersaglio,0.45000000000000007
ellos son,sono,0.31666666666666676
ambicioso,ambizioso,0.10370370370370374
resiliencia,resilienza,0.09999999999999998
insipido,insapore,0.3333333333333335
homosexuales,gay,0.8222222222222223
tamiz,setaccio,0.42666666666666664
ascendencia,ascendenza,0.09999999999999998
todavia,ancora,0.5777777777777777
honestidad,onesta,0.07777777777777772
asignacion,incarico,0.3666666666666667
providencia,provvidenza,0.16363636363636358
perentorio,perentorio,0.0
ambiguedad,ambiguita,0.20740740740740748
inconveniente,sconveniente,0.08333333333333337
resolucion,risoluzione,0.19999999999999996
apoyo,supporto,0.41333333333333333
conveniente,conveniente,0.0
contradiccion,contraddizione,0.14871794871794863
frivolo,frivolo,0.0
remoto,a distanza,0.7555555555555555
dilacion,indugio,0.5047619047619047
merced,misericordia,0.25555555555555565
acento,accento,0.022222222222222143
historia,storia,0.03333333333333344
hola,ciao,0.6499999999999999
imprescriptible,imprescrittibile,0.07111111111111101
especulacion,speculazione,0.15555555555555556
inherente,inerente,0.016666666666666607
pernicioso,pernicioso,0.0
basico,essenziale,0.6333333333333333
vida,vita,0.2333333333333334
apatico,apatico,0.0
reciproco,reciproco,0.0
escrupulo,scrupolo,0.13333333333333341
pero,ma,0.9333333333333333
espontaneidad,spontaneita,0.1090909090909089
profano,profano,0.0
negligencia,negligenza,0.09999999999999998
discriminar,discriminare,0.012121212121212088
redundancia,ridondanza,0.28666666666666674
ego,ego,0.0
cuando,quando,0.15555555555555556
desconocido,inconoscibile,0.406060606060606
perfidia,perfidia,0.0
acto,atto,0.2333333333333334
trae,porta,0.4666666666666667
inferir,dedurre,0.5047619047619047
elegible,idoneo,0.6000000000000001
paria,paria,0.0
correlacion,correlare,0.20740740740740737
receso,recesso,0.022222222222222143
obstaculo,ostacolo,0.13333333333333341
despecho,dispetto,0.33333333333333337
insuperable,insormontabile,0.2606060606060606
obstinado,ostinato,0.13333333333333341
irascible,irascibile,0.014814814814814725
inseparable,inseparabile,0.012121212121212088
hacer disponible,mettere a disposizione,0.3458333333333332
constitucion,costituzione,0.15555555555555556
conciencia,coscienza,0.2148148148148148
