pt,it,Alignment Score
apto,adatto,0.2666666666666666
exceto,tranne,0.6888888888888889
expressao,espressione,0.22962962962962974
alheio,alieno,0.28888888888888886
solidariedade,solidarieta,0.10303030303030292
difusao,diffusione,0.18095238095238098
principalmente,principalmente,0.0
complacencia,compiacimento,0.29999999999999993
despota,despota,0.0
adesao,appartenenza,0.5222222222222223
perseverante,perseverante,0.0
meta,obiettivo,0.55
seu,tuo,0.6000000000000001
eminente,eminente,0.0
agil,agile,0.033333333333333326
alteridade,alterita,0.1416666666666666
cela,cellula,0.06666666666666676
estabelecer,stabilire,0.31851851851851853
face,viso,0.8333333333333334
premissa,premessa,0.1166666666666667
procrastinar,procrastinare,0.011111111111111072
beneplacito,beneplacito,0.0
intenso,intenso,0.0
dai,quindi,0.37777777777777777
oportunidade,opportunita,0.17575757575757578
problema,problema,0.0
quica,forse,0.8266666666666667
fazer,fare,0.25
controversia,controversia,0.0
zelo,zelo,0.0
iniquidade,iniquita,0.1416666666666666
disseminacao,diffusione,0.44000000000000006
teve,lui aveva,0.5333333333333334
dor,dolore,0.11111111111111116
brio,brio,0.0
pormenorizado,dettagliato,0.5636363636363637
amalgama,amalgama,0.0
superveniente,sopravvenuto,0.3833333333333333
literalmente,letteralmente,0.08333333333333337
potencialidade,potenzialita,0.17222222222222205
volatil,volatile,0.01904761904761898
ambicao,ambizione,0.2761904761904762
luz,leggero,0.6666666666666667
deslumbrante,bellissimo,0.62
outrossim,altrimenti,0.4814814814814815
transeunte,passante,0.3583333333333334
generosidade,generosita,0.11333333333333329
escusa,scusa,0.026666666666666727
superficial,superficiale,0.012121212121212088
indiscriminado,indiscriminato,0.06666666666666665
mulher,donna,0.8400000000000001
atraves,attraverso,0.05714285714285727
obice,ostacolo,0.5733333333333334
magnificencia,magnificenza,0.08333333333333337
consolidacao,consolidamento,0.15555555555555545
escoria,feccia,0.3222222222222223
fatico,effettivo,0.3555555555555556
incidencia,incidenza,0.11111111111111116
alvo,bersaglio,0.35
sao,sono,0.33333333333333337
ambicioso,ambizioso,0.10370370370370374
resiliencia,resilienza,0.09999999999999998
insipido,insapore,0.3333333333333335
gay,gay,0.0
crivo,setaccio,0.4
ancestralidade,ascendenza,0.4600000000000002
ainda,ancora,0.3733333333333334
honestidade,onesta,0.08888888888888902
cessao,incarico,0.4555555555555555
providencia,provvidenza,0.16363636363636358
peremptorio,perentorio,0.09999999999999998
ambiguidade,ambiguita,0.12592592592592589
inconveniente,sconveniente,0.08333333333333337
dissolucao,risoluzione,0.3666666666666667
respaldo,supporto,0.5333333333333334
conveniente,conveniente,0.0
contradicao,contraddizione,0.18181818181818166
frivolo,frivolo,0.0
remoto,a distanza,0.7555555555555555
procrastinacao,indugio,0.5523809523809524
misericordia,misericordia,0.0
acento,accento,0.022222222222222143
estoria,storia,0.022222222222222143
ola,ciao,0.6000000000000001
imprescritivel,imprescrittibile,0.13809523809523805
especulacao,speculazione,0.24848484848484842
inerente,inerente,0.0
pernicioso,pernicioso,0.0
essencial,essenziale,0.11851851851851858
vida,vita,0.2333333333333334
apatico,apatico,0.0
reciproco,reciproco,0.0
escrupulo,scrupolo,0.13333333333333341
mas,ma,0.06666666666666676
espontaneidade,spontaneita,0.115151515151515
profano,profano,0.0
negligencia,negligenza,0.09999999999999998
discriminar,discriminare,0.012121212121212088
redundancia,ridondanza,0.28666666666666674
ego,ego,0.0
quando,quando,0.0
incognoscivel,inconoscibile,0.20512820512820495
perfidia,perfidia,0.0
ato,atto,0.04444444444444451
traz,porta,0.4666666666666667
inferir,dedurre,0.5047619047619047
elegivel,idoneo,0.6111111111111112
paria,paria,0.0
correlacionar,correlare,0.1333333333333333
recesso,recesso,0.0
empecilho,ostacolo,0.55
despeito,dispetto,0.2333333333333334
intransponivel,insormontabile,0.4285714285714286
obstinado,ostinato,0.13333333333333341
irascivel,irascibile,0.20740740740740748
indissociavel,inseparabile,0.4944444444444446
disponibilizar,mettere a disposizione,0.4619047619047618
constituicao,costituzione,0.2222222222222221
consciencia,coscienza,0.12592592592592589
