es,fr,Alignment Score
adaptar,ajuster,0.49523809523809526
excepto,sauf,0.8833333333333334
expresion,expression,0.014814814814814725
extraterrestre,extraterrestre,0.0
solidaridad,solidarite,0.17999999999999994
difusion,la diffusion,0.04999999999999993
principalmente,principalement,0.06666666666666665
complacencia,complaisance,0.2777777777777777
despota,despote,0.13333333333333341
afiliacion,adhesion,0.43333333333333335
perseverante,perseverant,0.012121212121212088
meta,but,0.6222222222222222
su,ton,0.9
eminente,eminent,0.01904761904761898
agil,agile,0.033333333333333326
alteridad,alterite,0.22499999999999998
celula,cellule,0.1777777777777778
establecer,etablir,0.17142857142857149
rostro,affronter,0.3555555555555556
premisa,premisse,0.1428571428571429
aplazar,remettre a plus tard,0.40000000000000013
beneplacito,beneplacito,0.0
intenso,intense,0.13333333333333341
por eso,ainsi,0.72
oportunidad,opportunite,0.23636363636363633
problema,probleme,0.1166666666666667
tal vez,peut-etre,0.6285714285714286
hacer,faire,0.5466666666666666
controversia,controverse,0.09090909090909083
celo,zele,0.4666666666666667
iniquidad,iniquite,0.22499999999999998
diseminacion,dissemination,0.08888888888888902
el tuvo,il avait,0.5047619047619049
dolor,douleur,0.2266666666666668
estilo,panache,0.7
detallado,detaille,0.2333333333333334
amalgama,amalgame,0.1166666666666667
sobreviniente,survenant,0.3407407407407409
literalmente,litteralement,0.08888888888888902
potencialidad,potentialite,0.22777777777777763
volatil,volatil,0.0
ambicion,ambition,0.1166666666666667
luz,lumiere,0.4
esplendido,magnifique,0.6733333333333333
de lo contrario,sinon,0.6533333333333333
transeunte,passant,0.4285714285714286
generosidad,generosite,0.17999999999999994
disculpar,excuse,0.6111111111111112
superficial,superficiel,0.08484848484848473
indistinto,aveugle,0.8476190476190477
mujer,femme,0.52
a traves de,a travers,0.11851851851851847
obstaculo,obstacle,0.13333333333333341
magnificencia,magnificence,0.08333333333333337
consolidacion,consolidation,0.07179487179487176
escoria,ecume,0.5466666666666667
factual,factuel,0.13333333333333341
incidencia,incidence,0.11111111111111116
objetivo,cible,0.5866666666666667
ellos son,ils sont,0.2416666666666667
ambicioso,ambitieux,0.3851851851851852
resiliencia,resilience,0.09999999999999987
insipido,insipide,0.1166666666666667
homosexuales,gay,0.8222222222222223
tamiz,tamis,0.18666666666666676
ascendencia,ascendance,0.19333333333333336
todavia,encore,0.7222222222222222
honestidad,honnetete,0.3925925925925926
asignacion,affectation,0.42666666666666664
providencia,providence,0.09999999999999987
perentorio,peremptoire,0.2799999999999999
ambiguedad,ambiguite,0.19999999999999996
inconveniente,incommode,0.40000000000000013
resolucion,resolution,0.09333333333333338
apoyo,soutien,0.7066666666666668
conveniente,pratique,0.6499999999999999
contradiccion,contradiction,0.07179487179487176
frivolo,frivole,0.13333333333333341
remoto,telecommande,0.6333333333333333
dilacion,procrastination,0.4083333333333333
merced,misericorde,0.2333333333333334
acento,accent,0.15555555555555556
historia,histoire,0.22499999999999998
hola,bonjour,0.7166666666666668
imprescriptible,imprescriptible,0.0
especulacion,speculation,0.09696969696969704
inherente,inherent,0.016666666666666607
pernicioso,pernicieux,0.2533333333333333
basico,essentiel,0.6222222222222222
vida,vie,0.33333333333333337
apatico,apathique,0.2761904761904761
reciproco,reciproque,0.19999999999999996
escrupulo,scrupule,0.13333333333333341
pero,mais,0.8333333333333334
espontaneidad,spontaneite,0.17575757575757556
profano,profane,0.13333333333333341
negligencia,negligence,0.09999999999999987
discriminar,discriminer,0.08484848484848473
redundancia,redondance,0.19333333333333336
ego,ego,0.0
cuando,quand,0.21333333333333337
desconocido,inconnaissable,0.5636363636363637
perfidia,perfidie,0.1166666666666667
acto,acte,0.2333333333333334
trae,apporte,0.4833333333333333
inferir,deduire,0.5047619047619047
elegible,admissible,0.43333333333333335
paria,paria,0.0
correlacion,correlatif,0.19333333333333336
receso,recreation,0.22222222222222232
obstaculo,obstacle,0.13333333333333341
despecho,depit,0.40000000000000013
insuperable,insurmontable,0.1696969696969698
obstinado,obstine,0.1523809523809524
irascible,irascible,0.0
inseparable,inseparable,0.0
hacer disponible,mettre a disposition,0.3916666666666666
constitucion,constitution,0.07777777777777772
conciencia,conscience,0.17999999999999994
