pt,fr,Alignment Score
apto,ajuster,0.5166666666666666
exceto,sauf,0.8666666666666667
expressao,expression,0.11851851851851858
alheio,extraterrestre,0.6666666666666667
solidariedade,solidarite,0.11333333333333317
difusao,la diffusion,0.20952380952380945
principalmente,principalement,0.06666666666666665
complacencia,complaisance,0.2777777777777777
despota,despote,0.13333333333333341
adesao,adhesion,0.20000000000000007
perseverante,perseverant,0.012121212121212088
meta,but,0.6222222222222222
seu,ton,0.8444444444444444
eminente,eminent,0.01904761904761898
agil,agile,0.033333333333333326
alteridade,alterite,0.1333333333333333
cela,cellule,0.28333333333333355
estabelecer,etablir,0.19047619047619047
face,affronter,0.55
premissa,premisse,0.1166666666666667
procrastinar,remettre a plus tard,0.4222222222222223
beneplacito,beneplacito,0.0
intenso,intense,0.13333333333333341
dai,ainsi,0.3555555555555556
oportunidade,opportunite,0.1696969696969698
problema,probleme,0.1166666666666667
quica,peut-etre,0.7466666666666667
fazer,faire,0.36
controversia,controverse,0.09090909090909083
zelo,zele,0.2333333333333334
iniquidade,iniquite,0.1333333333333333
disseminacao,dissemination,0.15555555555555545
teve,il avait,0.7
dor,douleur,0.11111111111111116
brio,panache,0.8833333333333334
pormenorizado,detaille,0.6916666666666667
amalgama,amalgame,0.1166666666666667
superveniente,survenant,0.14814814814814814
literalmente,litteralement,0.08888888888888902
potencialidade,potentialite,0.16666666666666652
volatil,volatil,0.0
ambicao,ambition,0.2666666666666667
luz,lumiere,0.4
deslumbrante,magnifique,0.5266666666666666
outrossim,sinon,0.5733333333333334
transeunte,passant,0.4285714285714286
generosidade,generosite,0.10666666666666669
escusa,excuse,0.3111111111111112
superficial,superficiel,0.08484848484848473
indiscriminado,aveugle,0.780952380952381
mulher,femme,0.5333333333333333
atraves,a travers,0.03809523809523818
obice,obstacle,0.2400000000000001
magnificencia,magnificence,0.08333333333333337
consolidacao,consolidation,0.15555555555555545
escoria,ecume,0.5466666666666667
fatico,factuel,0.4444444444444444
incidencia,incidence,0.11111111111111116
alvo,cible,0.6833333333333333
sao,ils sont,0.4444444444444444
ambicioso,ambitieux,0.3851851851851852
resiliencia,resilience,0.09999999999999987
insipido,insipide,0.1166666666666667
gay,gay,0.0
crivo,tamis,0.6933333333333334
ancestralidade,ascendance,0.3866666666666667
ainda,encore,0.7066666666666668
honestidade,honnetete,0.3037037037037038
cessao,affectation,0.5111111111111112
providencia,providence,0.09999999999999987
peremptorio,peremptoire,0.16363636363636347
ambiguidade,ambiguite,0.11851851851851847
inconveniente,incommode,0.40000000000000013
dissolucao,resolution,0.43333333333333335
respaldo,soutien,0.6095238095238096
conveniente,pratique,0.6499999999999999
contradicao,contradiction,0.10303030303030292
frivolo,frivole,0.13333333333333341
remoto,telecommande,0.6333333333333333
procrastinacao,procrastination,0.1333333333333332
misericordia,misericorde,0.09090909090909083
acento,accent,0.15555555555555556
estoria,histoire,0.40000000000000013
ola,bonjour,0.6888888888888889
imprescritivel,imprescriptible,0.13809523809523805
especulacao,speculation,0.24242424242424243
inerente,inherent,0.1166666666666667
pernicioso,pernicieux,0.2533333333333333
essencial,essentiel,0.20740740740740748
vida,vie,0.33333333333333337
apatico,apathique,0.2761904761904761
reciproco,reciproque,0.19999999999999996
escrupulo,scrupule,0.13333333333333341
mas,mais,0.04444444444444451
espontaneidade,spontaneite,0.1090909090909089
profano,profane,0.13333333333333341
negligencia,negligence,0.09999999999999987
discriminar,discriminer,0.08484848484848473
redundancia,redondance,0.19333333333333336
ego,ego,0.0
quando,quand,0.026666666666666727
incognoscivel,inconnaissable,0.405128205128205
perfidia,perfidie,0.1166666666666667
ato,acte,0.3555555555555556
traz,apporte,0.7
inferir,deduire,0.5047619047619047
elegivel,admissible,0.6416666666666666
paria,paria,0.0
correlacionar,correlatif,0.20666666666666667
recesso,recreation,0.2952380952380953
empecilho,obstacle,0.6499999999999999
despeito,depit,0.08000000000000007
intransponivel,insurmontable,0.4666666666666668
obstinado,obstine,0.1523809523809524
irascivel,irascible,0.19999999999999996
indissociavel,inseparable,0.4727272727272728
disponibilizar,mettre a disposition,0.4619047619047618
constituicao,constitution,0.1499999999999999
consciencia,conscience,0.09999999999999987
